TargetField,DataType
ParentSystemId,INTEGER
SystemId,INTEGER
CodeCombinationId,INTEGER
ChartOfAccountsId,INTEGER
DetailPostingAllowedFlag,BOOLEAN
DetailBudgetingAllowedFlag,BOOLEAN
AccountType,STRING
EnabledFlag,BOOLEAN
Location,STRING
LocationDescription,STRING
Client,STRING
ClientDescription,STRING
Department,STRING
DepartmentDescription,STRING
Account,STRING
AccountDescription,STRING
InterCompany,INTEGER
Future2,INTEGER
BusinessSegment,STRING
DepartmentLeader,STRING
LoadBy,STRING
LoadDate,TIMESTAMP
LoadProcess,STRING
CreateBy,STRING
CreateDate,TIMESTAMP
CreateProcess,STRING
UpdateBy,STRING
UpdateDate,TIMESTAMP
UpdateProcess,STRING
InactiveInd,BOOLEAN
InactiveDate,STRING
InactiveReason,STRING
