TargetField,DataType
ParentSystemId,INTEGER
SystemId,INTEGER
CustAccountId,NUMERIC
PartyId,NUMERIC
CustomerNumber,STRING
CustomerName,STRING
CustomerTaxReference,STRING
Address1,STRING
Address2,STRING
Address3,STRING
Address4,STRING
PostalCode,STRING
City,STRING
Province,STRING
CustomerAddress,STRING
LoadBy,STRING
LoadDate,TIMESTAMP
LoadProcess,STRING
CreateBy,STRING
CreateDate,TIMESTAMP
CreateProcess,STRING
UpdateBy,STRING
UpdateDate,TIMESTAMP
UpdateProcess,STRING
InactiveInd,BOOLEAN
InactiveDate,TIMESTAMP
InactiveReason,STRING
