TargetField,DataType
ParentSystemId,INTEGER
SystemId,INTEGER
PeriodKey,STRING
PeriodSetName,STRING
PeriodName,STRING
LastUpdateDate,DATETIME
LastUpdatedBy,NUMERIC
StartDate,DATETIME
EndDate,DATETIME
YearStartDate,DATETIME
QuarterStartDate,DATETIME
PeriodType,STRING
PeriodYear,NUMERIC
PeriodNum,NUMERIC
QuarterNum,NUMERIC
EnteredPeriodName,STRING
AdjustmentPeriodFlag,STRING
CreationDate,DATETIME
CreatedBy,NUMERIC
LastUpdateLogin,NUMERIC
Description,STRING
Attribute1,STRING
Attribute2,STRING
Attribute3,STRING
Attribute4,STRING
Attribute5,STRING
Attribute6,STRING
Attribute7,STRING
Attribute8,STRING
Context,STRING
LoadBy,STRING
LoadDate,TIMESTAMP
LoadProcess,STRING
CreateBy,STRING
CreateDate,TIMESTAMP
CreateProcess,STRING
UpdateBy,STRING
UpdateDate,TIMESTAMP
UpdateProcess,STRING
InactiveInd,BOOLEAN
InactiveDate,TIMESTAMP
InactiveReason,STRING
