TargetField,DataType
ParentSystemId,INTEGER
SystemId,INTEGER
VendorId,NUMERIC
VendorNumber,STRING
VendorName,STRING
VendorNameAlternate,STRING
MinorityGroupLookupCode,STRING
EndDateActive,DATETIME
StartDateActive,DATETIME
VatCode,STRING
PaymentPriority,NUMERIC
PayDateBasisLookupCode,STRING
TermsId,NUMERIC
ParentVendorId,NUMERIC
CustomerNumber,STRING
VendorTypeLookupCode,STRING
EmployeeId,NUMERIC
EnabledFlag,STRING
TaxReportingName,STRING
VatRegistrationNumber,STRING
FederalReportingFlag,STRING
StateReportableFlag,STRING
AmountIncludesTaxFlag,STRING
StandardIndustryClass,STRING
SmallBusinessFlag,STRING
WomenOwnedFlag,STRING
OneTimeFlag,STRING
QuantityReceiveTolerance,NUMERIC
QuantityReceiveExceptionCode,STRING
DaysEarlyReceiptAllowed,NUMERIC
DaysLateReceiptAllowed,NUMERIC
ReceiptDaysExceptionCode,STRING
OrganisationTypeLookupCode,STRING
PayGroupLookupCode,STRING
TaxVerificationDate,DATETIME
SupplierCreationDate,TIMESTAMP
SupplierLastUpdateDate,TIMESTAMP
HoldAllPaymentsFlag,STRING
HoldUnmatchedInvoicesFlag,STRING
TaxPayerId,STRING
TaxRegistrationNumber,STRING
EnforceShipToLocationCode,STRING
MatchApprovalLevel,STRING
VendorSiteId,NUMERIC
VendorSiteCode,STRING
VendorSiteCodeAlternate,STRING
PurchasingSiteFlag,STRING
PaymentMethodLookupCode,STRING
Telex,STRING
FaxAreaCode,STRING
Fax,STRING
Phone,STRING
AreaCode,STRING
Country,STRING
Province,STRING
PaySiteFlag,STRING
RfqOnlySiteFlag,STRING
PartySiteId,NUMERIC
LocationId,NUMERIC
LegalBusinessName,STRING
RemittanceEmail,STRING
EmailAddress,STRING
AddressLine1,STRING
AddressLine2,STRING
AddressLine3,STRING
AddressLine4,STRING
AddressLinesAlternate,STRING
AddressStyle,STRING
City,STRING
County,STRING
State,STRING
Zip,STRING
PaymentCurrencyCode,STRING
InvoiceCurrencyCode,STRING
DunsNumber,STRING
VendorSiteInactiveDate,DATETIME
OrganisationId,NUMERIC
SiteName,STRING
ManageSiteEmailAddress1,STRING
ManageSiteEmailAddress2,STRING
ManageSiteEmailAddress3,STRING
TaxReportingSiteFlag,STRING
OffsetTaxFlag,STRING
PaymentHoldReason,STRING
TermsDateBasis,STRING
AddressName,STRING
AddressStatus,STRING
ShipToLocation,STRING
BillToLocation,STRING
OrganisationName,STRING
SupplierCreatedBy,STRING
SupplierLastUpdateBy,STRING
LatestInvoiceDate,DATETIME
LatestCheckDate,DATETIME
PaymentTerm,STRING
ToleranceName,STRING
RoutingName,STRING
LoadBy,STRING
LoadDate,TIMESTAMP
LoadProcess,STRING
CreateBy,STRING
CreateDate,TIMESTAMP
CreateProcess,STRING
UpdateBy,STRING
UpdateDate,TIMESTAMP
UpdateProcess,STRING
InactiveInd,BOOLEAN
InactiveDate,TIMESTAMP
InactiveReason,STRING
