TargetField,DataType
ParentSystemId,INTEGER
SystemId,INTEGER
LedgerId,NUMERIC
VendorId,NUMERIC
VendorSiteID,NUMERIC
OrganisationId,NUMERIC
LegalEntityId,NUMERIC
OperatingUnitName,STRING
AccountsPayCodeCombinationId,NUMERIC
PayGroupLookupCode,STRING
PaymentMethodName,STRING
TermsId,NUMERIC
PaymentTerms,STRING
InvoiceTypeLookupCode,STRING
Source,STRING
GLDateYear,INTEGER
GLDateQuarter,INTEGER
GLDatePeriodNum,INTEGER
GLDatePeriod,STRING
InvoiceDateYear,INTEGER
InvoiceDateQuarter,INTEGER
InvoiceDatePeriodNum,INTEGER
InvoiceDatePeriod,STRING
CurrencyCode,STRING
NumberOfInvoices,INTEGER
NumberOfCancelledInvoices,INTEGER
NumberOfHoldInvoices,INTEGER
InvoiceAmount,NUMERIC
InvoiceAmountUSD,NUMERIC
AmountApplicableToDiscount,NUMERIC
DiscountAmountTaken,NUMERIC
AmountPaid,NUMERIC
AmountPaidUSD,NUMERIC
NumberOfPayment,INTEGER
NumberOfOnTimePayment,INTEGER
NumberOfEarlyPayment,INTEGER
NumberOfLatePayment,INTEGER
NumberOfOverduePayment,INTEGER
OverdueAmount,NUMERIC
OverdueAmountUSD,NUMERIC
BalanceAmount,NUMERIC
BalanceAmountUSD,NUMERIC
FreightAmount,NUMERIC
InvoiceCreationYear,INTEGER
InvoiceCreationQuarter,INTEGER
InvoiceCreationPeriodNum,INTEGER
InvoiceCreationPeriod,STRING
QuantityInvoiced,NUMERIC
LineAmount,NUMERIC
LineAmountUSD,NUMERIC
DistributionAmount,NUMERIC
DistributionAmountUSD,NUMERIC
NumberOfPurchaseOrder,INTEGER
PurchaseOrderHeaderAmount,NUMERIC
NumberOfRequisition,INTEGER
InvoiceAmountQtdByInvoiceDate,NUMERIC
InvoiceAmountUSDQtdByInvoiceDate,NUMERIC
AmountPaidQtdByInvoiceDate,NUMERIC
AmountPaidUSDQtdByInvoiceDate,NUMERIC
NumberOfPaymentQtdByInvoiceDate,INTEGER
NumberOfOnTimePaymentQtdByInvoiceDate,INTEGER
NumberOfEarlyPaymentQtdByInvoiceDate,INTEGER
NumberOfLatePaymentQtdByInvoiceDate,INTEGER
NumberOfOverduePaymentQtdByInvoiceDate,INTEGER
OverdueAmountQtdByInvoiceDate,NUMERIC
OverdueAmountUSDQtdByInvoiceDate,NUMERIC
BalanceAmountQtdByInvoiceDate,NUMERIC
BalanceAmountUSDQtdByInvoiceDate,NUMERIC
QuantityInvoicedQtdByInvoiceDate,NUMERIC
LineAmountQtdByInvoiceDate,NUMERIC
LineAmountUSDQtdByInvoiceDate,NUMERIC
DistributionAmountQtdByInvoiceDate,NUMERIC
DistributionAmountUSDQtdByInvoiceDate,NUMERIC
NumberOfPurchaseOrderQtdByInvoiceDate,INTEGER
PurchaseOrderAmountQtdByInvoiceDate,NUMERIC
NumberOfRequisitionQtdByInvoiceDate,INTEGER
InvoiceAmountYtdByInvoiceDate,NUMERIC
InvoiceAmountUSDYtdByInvoiceDate,NUMERIC
AmountPaidYtdByInvoiceDate,NUMERIC
AmountPaidUSDYtdByInvoiceDate,NUMERIC
NumberOfPaymentYtdByInvoiceDate,INTEGER
NumberOfOnTimePaymentYtdByInvoiceDate,INTEGER
NumberOfEarlyPaymentYtdByInvoiceDate,INTEGER
NumberOfLatePaymentYtdByInvoiceDate,INTEGER
NumberOfOverduePaymentYtdByInvoiceDate,INTEGER
OverdueAmountYtdByInvoiceDate,NUMERIC
OverdueAmountUSDYtdByInvoiceDate,NUMERIC
BalanceAmountYtdByInvoiceDate,NUMERIC
BalanceAmountUSDYtdByInvoiceDate,NUMERIC
QuantityInvoicedYtdByInvoiceDate,NUMERIC
LineAmountYtdByInvoiceDate,NUMERIC
LineAmountUSDYtdByInvoiceDate,NUMERIC
DistributionAmountYtdByInvoiceDate,NUMERIC
DistributionAmountUSDYtdByInvoiceDate,NUMERIC
NumberOfPurchaseOrderYtdByInvoiceDate,INTEGER
PurchaseOrderAmountYtdByInvoiceDate,NUMERIC
NumberOfRequisitionYtdByInvoiceDate,INTEGER
InvoiceAmountQtdByInvoiceCreationDate,NUMERIC
InvoiceAmountUSDQtdByInvoiceCreationDate,NUMERIC
AmountPaidQtdByInvoiceCreationDate,NUMERIC
AmountPaidUSDQtdByInvoiceCreationDate,NUMERIC
NumberOfPaymentQtdByInvoiceCreationDate,INTEGER
NumberOfOnTimePaymentQtdByInvoiceCreationDate,INTEGER
NumberOfEarlyPaymentQtdByInvoiceCreationDate,INTEGER
NumberOfLatePaymentQtdByInvoiceCreationDate,INTEGER
NumberOfOverduePaymentQtdByInvoiceCreationDate,INTEGER
OverdueAmountQtdByInvoiceCreationDate,NUMERIC
OverdueAmountUSDQtdByInvoiceCreationDate,NUMERIC
BalanceAmountQtdByInvoiceCreationDate,NUMERIC
BalanceAmountUSDQtdByInvoiceCreationDate,NUMERIC
QuantityInvoicedQtdByInvoiceCreationDate,NUMERIC
LineAmountQtdByInvoiceCreationDate,NUMERIC
LineAmountUSDQtdByInvoiceCreationDate,NUMERIC
DistributionAmountQtdByInvoiceCreationDate,NUMERIC
DistributionAmountUSDQtdByInvoiceCreationDate,NUMERIC
NumberOfPurchaseOrderQtdByInvoiceCreationDate,INTEGER
PurchaseOrderAmountQtdByInvoiceCreationDate,NUMERIC
NumberOfRequisitionQtdByInvoiceCreationDate,INTEGER
InvoiceAmountYtdByInvoiceCreationDate,NUMERIC
InvoiceAmountUSDYtdByInvoiceCreationDate,NUMERIC
AmountPaidYtdByInvoiceCreationDate,NUMERIC
AmountPaidUSDYtdByInvoiceCreationDate,NUMERIC
NumberOfPaymentYtdByInvoiceCreationDate,INTEGER
NumberOfOnTimePaymentYtdByInvoiceCreationDate,INTEGER
NumberOfEarlyPaymentYtdByInvoiceCreationDate,INTEGER
NumberOfLatePaymentYtdByInvoiceCreationDate,INTEGER
NumberOfOverduePaymentYtdByInvoiceCreationDate,INTEGER
OverdueAmountYtdByInvoiceCreationDate,NUMERIC
OverdueAmountUSDYtdByInvoiceCreationDate,NUMERIC
BalanceAmountYtdByInvoiceCreationDate,NUMERIC
BalanceAmountUSDYtdByInvoiceCreationDate,NUMERIC
QuantityInvoicedYtdByInvoiceCreationDate,NUMERIC
LineAmountYtdByInvoiceCreationDate,NUMERIC
LineAmountUSDYtdByInvoiceCreationDate,NUMERIC
DistributionAmountYtdByInvoiceCreationDate,NUMERIC
DistributionAmountUSDYtdByInvoiceCreationDate,NUMERIC
NumberOfPurchaseOrderYtdByInvoiceCreationDate,INTEGER
PurchaseOrderAmountYtdByInvoiceCreationDate,NUMERIC
NumberOfRequisitionYtdByInvoiceCreationDate,INTEGER
LoadBy,STRING
LoadDate,TIMESTAMP
LoadProcess,STRING
CreateBy,STRING
CreateDate,TIMESTAMP
CreateProcess,STRING
UpdateBy,STRING
UpdateDate,TIMESTAMP
UpdateProcess,STRING
InactiveInd,BOOLEAN
InactiveDate,TIMESTAMP
InactiveReason,STRING
