TargetField,DataType
ParentSystemId,INTEGER
SystemId,INTEGER
SnapshotKey,STRING
VendorId,NUMERIC
VendorSiteID,NUMERIC
InvoiceId,NUMERIC
LegalEntityId,NUMERIC
GlDate,DATETIME
OrganisationId,NUMERIC
DocumentCategoryCode,STRING
DocumentSequenceValue,NUMERIC
DocumentSequenceID,NUMERIC
ExchangeDate,DATETIME
ExchangeRateType,STRING
ExchangeRate,NUMERIC
InvoiceReceivedDate,DATETIME
GoodsReceivedDate,DATETIME
FreightAmount,NUMERIC
PaymentStatusFlag,STRING
AccountsPayCodeCombinationId,NUMERIC
PayGroupLookupCode,STRING
PaymentMethodLookupCode,STRING
PaymentMethodName,STRING
TermsId,NUMERIC
PaymentTerms,STRING
TermsDate,DATETIME
BatchId,NUMERIC
InvoiceDescription,STRING
InvoiceTypeLookupCode,STRING
Source,STRING
InvoiceDate,DATETIME
InvoiceDateYear,INTEGER
InvoiceDateQuarter,INTEGER
InvoiceDatePeriodNum,INTEGER
InvoiceDatePeriod,STRING
InvoiceAmount,NUMERIC
InvoiceAmountUSD,NUMERIC
AmountApplicableToDiscount,NUMERIC
DiscountAmountTaken,NUMERIC
AmountPaid,NUMERIC
AmountPaidUSD,NUMERIC
CurrencyCode,STRING
InvoiceNumber,STRING
InvoiceCreationDate,DATETIME
InvoiceCreationYear,INTEGER
InvoiceCreationQuarter,INTEGER
InvoiceCreationPeriodNum,INTEGER
InvoiceCreationPeriod,STRING
PaymentCrossRate,NUMERIC
PaymentCurrencyCode,STRING
LedgerId,NUMERIC
LedgerName,STRING
PurchaseOrderNumber,STRING
CapexCode,STRING
PurchaseOrderCreationDate,DATETIME
PurchaseOrderHeaderAmount,NUMERIC
RequisitionNumber,STRING
OperatingUnitName,STRING
InvoiceStatus,STRING
HoldLookupCode,STRING
AlsoOnHold,STRING
CreatedBy,STRING
CreatedByName,STRING
LastUpdatedBy,STRING
LastUpdatedByName,STRING
BalanceAmount,NUMERIC
BalanceAmountUSD,NUMERIC
SnapshotMonth,STRING
SnapshotDate,DATE
SnapshotYear,INTEGER
SnapshotPeriodNum,INTEGER
AgeBucketByCreationDate,STRING
AgeBucketByInvoiceDate,STRING
AgeBucketByReceivedDate,STRING
ConversionRate,NUMERIC
LoadBy,STRING
LoadDate,TIMESTAMP
LoadProcess,STRING
CreateBy,STRING
CreateDate,TIMESTAMP
CreateProcess,STRING
UpdateBy,STRING
UpdateDate,TIMESTAMP
UpdateProcess,STRING
InactiveInd,BOOLEAN
InactiveDate,TIMESTAMP
InactiveReason,STRING
