TargetField,DataType
ParentSystemId,INTEGER
SystemId,INTEGER
InvoiceId,NUMERIC
LastUpdatedBy,NUMERIC
LastUpdatedDate,DATETIME
PaymentCrossRate,NUMERIC
PaymentNumber,NUMERIC
AmountRemaining,NUMERIC
CreatedBy,NUMERIC
CreatedDate,DATETIME
DiscountDate,DATE
DueDate,DATE
FuturePayDueDate,DATE
GrossAmount,NUMERIC
HoldFlag,STRING
LastUpdateLogin,STRING
PaymentMenthodLookupCode,STRING
PaymentPriority,NUMERIC
PaymentStatusFlag,STRING
SecondDiscountDate,DATE
ThirdDiscountDate,DATE
BatchId,NUMERIC
DiscountAmountAvailable,NUMERIC
SecondDiscAmtAvailable,NUMERIC
ThirdDiscAmtAvailable,NUMERIC
AttributeCategory,STRING
DiscountAmountRemaining,NUMERIC
OrgId,NUMERIC
GlobalAttributeCategory,STRING
ExternalBankAccountId,NUMERIC
InvCurrGrossAmount,NUMERIC
CheckrunId,NUMERIC
DbiEventCompleteFlag,STRING
IbyHoldReason,STRING
PaymentMethodCode,STRING
PaymentMethodName,STRING
RemittanceMessage1,STRING
RemittanceMessage2,STRING
RemittanceMessage3,STRING
RemitToSupplierName,STRING
RemitToSupplierId,NUMERIC
RemitToSupplierSite,STRING
RemitToSupplierSiteId,NUMERIC
RelationshipId,NUMERIC
LedgerId,NUMERIC
InvoiceNumber,STRING
InvoiceDate,DATETIME
OracleCreationDate,DATETIME
InvoiceDescription,STRING
InvoiceCurrencyCode,STRING
PaymentCurrencyCode,STRING
Source,STRING
VendorId,NUMERIC
VendorSiteId,NUMERIC
ConversionRate,FLOAT
LastPaymentDate,DATE
AmountPaid,NUMERIC
LastAccountingDate,DATETIME
LoadBy,STRING
LoadDate,TIMESTAMP
LoadProcess,STRING
CreateBy,STRING
CreateDate,TIMESTAMP
CreateProcess,STRING
UpdateBy,STRING
UpdateDate,TIMESTAMP
UpdateProcess,STRING
InactiveInd,BOOLEAN
InactiveDate,TIMESTAMP
InactiveReason,STRING
