TargetField,DataType
ParentSystemId,INTEGER
SystemId,INTEGER
ReceivableTransactionsKey,STRING
CustomerTransactionId,NUMERIC
CustomerTransactionLineId,NUMERIC
LineType,STRING
LineNumber,NUMERIC
LineDescription,STRING
BillToCustomerId,NUMERIC
InterfaceHeaderContext,STRING
GeneralLedgerDate,DATETIME
TransactionDate,DATETIME
LedgerId,INTEGER
DocumentSequenceValue,NUMERIC
TransactionNumber,STRING
InvoiceCurrencyCode,STRING
PostToGeneralLedgerFlag,STRING
AccountClass,STRING
LegalEntity,STRING
CodeCombinationId,NUMERIC
LocationCode,STRING
ClientCode,STRING
BatchSource,STRING
BatchSourceDescription,STRING
DepartmentCode,STRING
AccountCode,STRING
InterCompanyCode,STRING
Future2Code,STRING
ConversionRate,FLOAT
TaxRate,NUMERIC
ExtendedAmountTax,NUMERIC
Amount,NUMERIC
LineRank,NUMERIC
PaymentAmount,NUMERIC
LastPaymentDate,DATETIME
PeriodName,STRING
PeriodYear,NUMERIC
LastUpdatedById,NUMERIC
LastUpdatedByName,STRING
CreateById,NUMERIC
CreateByName,STRING
LoadBy,STRING
LoadDate,TIMESTAMP
LoadProcess,STRING
CreateBy,STRING
CreateDate,TIMESTAMP
CreateProcess,STRING
UpdateBy,STRING
UpdateDate,TIMESTAMP
UpdateProcess,STRING
InactiveInd,BOOLEAN
InactiveDate,TIMESTAMP
InactiveReason,STRING
