TargetField,DataType
ParentSystemId,INTEGER
SystemId,INTEGER
BookTypeCode,STRING
BookTypeName,STRING
LedgerId,NUMERIC
InitialDate,DATETIME
LastDepreciationRunDate,DATETIME
AmortizeFlag,STRING
FullyReservedFlag,STRING
DepreciationCalendar,STRING
BookClass,STRING
GeneralLedgerPostingAllowedFlag,STRING
CurrentFiscalYear,NUMERIC
AllowMassChanges,STRING
AllowDepreciationAdjustments,STRING
AccountingFlexStructure,NUMERIC
ProrateCalendar,STRING
DateIneffective,DATETIME
JournalEntryRetirementCategory,STRING
JournalEntryDepreciationCategory,STRING
JournalEntryReclassCategory,STRING
JournalEntrySource,STRING
JournalEntryAdditionCategory,STRING
JournalEntryAdjustmentCategory,STRING
DistributionSourceBook,STRING
JournalEntryTransferBook,STRING
CreatedBy,NUMERIC
CreationDate,DATETIME
LastUpdateDate,DATETIME
LastUpdatedBy,NUMERIC
LastUpdateLogin,NUMERIC
DepreciationStatus,STRING
FiscalYearName,STRING
InitialPeriodCounter,NUMERIC
LastMassCopyPeriodCounter,NUMERIC
LastPeriodCounter,NUMERIC
LastPurgePeriodCounter,NUMERIC
OrganizationId,NUMERIC
LoadBy,STRING
LoadDate,TIMESTAMP
LoadProcess,STRING
CreateBy,STRING
CreateDate,TIMESTAMP
CreateProcess,STRING
UpdateBy,STRING
UpdateDate,TIMESTAMP
UpdateProcess,STRING
InactiveInd,BOOLEAN
InactiveDate,TIMESTAMP
InactiveReason,STRING
