TargetField,DataType
ParentSystemId,INTEGER
SystemId,INTEGER
CategoryId,NUMERIC
SummaryFlag,STRING
EnabledFlag,STRING
OwnerLeased,STRING
ProductionCapacity,NUMERIC
CategoryType,STRING
CapitalizeFlag,STRING
MajorCategory,STRING
MinorCategory,STRING
Segment3,STRING
Segment4,STRING
Segment5,STRING
Segment6,STRING
Segment7,STRING
ActiveStartDate,DATETIME
ActiveEndDate,DATETIME
PropertyTypeCode,STRING
DateIneffective,DATETIME
CreatedBy,NUMERIC
CreationDate,DATETIME
LastUpdateDate,DATETIME
LastUpdatedBy,NUMERIC
LastUpdateLogin,NUMERIC
Inventorial,STRING
LoadBy,STRING
LoadDate,TIMESTAMP
LoadProcess,STRING
CreateBy,STRING
CreateDate,TIMESTAMP
CreateProcess,STRING
UpdateBy,STRING
UpdateDate,TIMESTAMP
UpdateProcess,STRING
InactiveInd,BOOLEAN
InactiveDate,TIMESTAMP
InactiveReason,STRING
