TargetField,DataType
ParentSystemId,INTEGER
SystemId,INTEGER
LocationId,NUMERIC
Country,STRING
State,STRING
County,STRING
City,STRING
Zipcode,STRING
Segment6,STRING
Segment7,STRING
SummaryFlag,STRING
EnabledFlag,STRING
StartDateActive,DATETIME
EndDateActive,DATETIME
LastUpdateDate,DATETIME
LastUpdateBy,NUMERIC
LastUpdateLogin,NUMERIC
LoadBy,STRING
LoadDate,TIMESTAMP
LoadProcess,STRING
CreateBy,STRING
CreateDate,TIMESTAMP
CreateProcess,STRING
UpdateBy,STRING
UpdateDate,TIMESTAMP
UpdateProcess,STRING
InactiveInd,BOOLEAN
InactiveDate,TIMESTAMP
InactiveReason,STRING
