TargetField,DataType
ParentSystemId,INTEGER
SystemId,INTEGER
LedgerId,INTEGER
LedgerIdName,STRING
LedgerName,STRING
LedgerCurrencyCode,STRING
GeneralLedgerJournalKey,STRING
JournalBatchId,NUMERIC
JournalHeaderId,NUMERIC
JournalHeaderName,STRING
JournalHeaderDesc,STRING
AccrualRevFlag,STRING
JournalLineNumber,NUMERIC
JournalLineDesc,STRING
JournalBatchName,STRING
JournalBatchDesc,STRING
JournalBatchPostedDate,DATETIME
JournalCategory,STRING
JournalCategoryDesc,STRING
LegalEntity,STRING
CodeCombinationId,NUMERIC
LocationCode,STRING
ClientCode,STRING
DepartmentCode,STRING
AccountCode,STRING
InterCompanyCode,STRING
Future2Code,STRING
PeriodName,STRING
EffectiveDate,DATETIME
JournalSource,STRING
JournalSourceName,STRING
JournalStatus,STRING
ApplicationId,NUMERIC
EventId,NUMERIC
AccountingDate,DATETIME
GeneralLedgerTransferDate,DATETIME
AccountingEventHeaderId,NUMERIC
AccountingEventLineNumber,NUMERIC
AccountingEventDate,DATETIME
AccountingEventNumber,NUMERIC
CurrencyConversionRate,NUMERIC
CurrencyConversionDate,DATETIME
CurrencyConversionType,STRING
AccountingEventClassName,STRING
AccountingEventTypeName,STRING
EnteredDebit,NUMERIC
EnteredCredit,NUMERIC
AccountedDebit,NUMERIC
AccountedCredit,NUMERIC
EntityCode,STRING
SourceId,NUMERIC
CapexCode,STRING
ReconciliationReference,STRING
GeneralHeaderExternalReference,STRING
JournalHeaderBalanceType,STRING
JournalHeaderBalancedFlag,STRING
JournalHeaderContext,STRING
JournalHeaderPostedDate,DATETIME
SourceCreatedBy,NUMERIC
SourceCreationDate,DATETIME
SourceLastUpdatedBy,NUMERIC
SourceLastUpdateDate,DATETIME
JournalLineContext,STRING
JournalLineTaxCode,STRING
JournalLineIgnoreRateFlag,STRING
TransferToIntercompany,STRING
CustomerTransactionNumber,STRING
CustomerTransactionId,NUMERIC
BillToCustomerId,NUMERIC
BillToSiteUseId,NUMERIC
VendorId,INTEGER
VendorSiteId,INTEGER
DocumentSequenceValue,NUMERIC
TransactionCurrencyCode,STRING
CustomerTransLineNumber,NUMERIC
DistributionOriginalGLDate,DATETIME
DistributionAmount,NUMERIC
DistributionAmountBase,NUMERIC
DistributionGLDate,DATETIME
DistributionGLPostedDate,DATETIME
DistributionIncompleteFlag,STRING
LineCreditedQuantity,NUMERIC
LineInvoicedQuantity,NUMERIC
LineOrderedQuantity,NUMERIC
LineTaxRate,NUMERIC
TransLineRevenueAmount,NUMERIC
TransLineRevenueAmtBase,NUMERIC
TransactionCompleteFlag,STRING
TransactionCreationDate,DATETIME
TransactionDate,DATETIME
TransactionLineAmount,NUMERIC
TransactionLineAmountBase,NUMERIC
TransactionShipmentDate,DATETIME
TransactionType,STRING
UnitSellingPrice,NUMERIC
UnitSellingPriceBase,NUMERIC
TransactionLineDescription,STRING
AccountingClass,STRING
InvoiceDistributionId,NUMERIC
DistributionDetailAmountCredit,NUMERIC
DistributionDetailAmountDebit,NUMERIC
DistributionDetailAmountCreditBase,NUMERIC
DistributionDetailAmountDebitBase,NUMERIC
DistributionDetailLineNumber,NUMERIC
DistributionCount,NUMERIC
InvoiceCount,NUMERIC
LoadBy,STRING
LoadDate,TIMESTAMP
LoadProcess,STRING
CreateBy,STRING
CreateDate,TIMESTAMP
CreateProcess,STRING
UpdateBy,STRING
UpdateDate,TIMESTAMP
UpdateProcess,STRING
InactiveInd,BOOLEAN
InactiveDate,TIMESTAMP
InactiveReason,STRING
