TargetField,DataType
ParentSystemId,INTEGER
SystemId,INTEGER
VendorId,NUMERIC
InvoiceId,NUMERIC
QuickPOHeaderId,NUMERIC
PaymentMethodCode,STRING
LegalEntityId,NUMERIC
TaxationCountry,STRING
SelfAssessedTaxAmount,NUMERIC
TotalTaxAmount,NUMERIC
AwardId,NUMERIC
GlDate,DATETIME
PaymentCrossRateDate,DATETIME
PaymentCrossRateType,STRING
AutoTaxCalculationFlag,STRING
OrganisationId,NUMERIC
DocumentCategoryCode,STRING
DocumentSequenceValue,NUMERIC
DocumentSequenceId,NUMERIC
ExcludeFreightFromDiscount,STRING
DiscountIsInvoiceLessTaxFlag,STRING
ExchangeDate,DATETIME
ExchangeRateType,STRING
ExchangeRate,NUMERIC
VoucherNumber,STRING
InvoiceReceivedDate,DATETIME
GoodsReceivedDate,DATETIME
FreightAmount,NUMERIC
PaymentStatusFlag,STRING
AccountsPayCodeCombinationId,NUMERIC
PayGroupLookupCode,STRING
PaymentMethodLookupCode,STRING
TermsDate,DATETIME
TermsId,NUMERIC
AmountApplicableToDiscount,NUMERIC
BatchId,NUMERIC
InvoiceDescription,STRING
InvoiceTypeLookupCode,STRING
Source,STRING
InvoiceDate,DATETIME
CancelledDate,DATETIME
DiscountAmountTaken,NUMERIC
AmountPaid,NUMERIC
VendorSiteId,NUMERIC
InvoiceAmount,NUMERIC
PaymentCrossRate,NUMERIC
PaymentCurrencyCode,STRING
CurrencyCode,STRING
InvoiceNumber,STRING
OracleCreationDate,DATETIME
WfApprovalStatus,STRING
CapexCode,STRING
RcvShipmentLineId,NUMERIC
IncludedTaxAmount,NUMERIC
PODistributionId,NUMERIC
POLineLocationId,NUMERIC
POLineId,NUMERIC
POHeaderId,NUMERIC
UnitMeasureLookupCode,STRING
QuantityInvoiced,NUMERIC
PeriodName,STRING
ItemDescription,STRING
InventoryItemId,NUMERIC
LineDescription,STRING
LineTypeLookupCode,STRING
LineNumber,NUMERIC
TaxRate,NUMERIC
LineAmount,NUMERIC
InvoiceLineNumber,NUMERIC
AccountingEventId,NUMERIC
MatchedUomLookupCode,STRING
InvoiceDistributionId,NUMERIC
PostedFlag,STRING
DistributionAmount,NUMERIC
LedgerId,NUMERIC
DistributionCodeCombinationId,NUMERIC
AccountingDate,DATETIME
MatchStatusFlag,STRING
LedgerName,STRING
ConversionRate,FLOAT
PONumber,STRING
POCreationDate,DATETIME
POHeaderAmount,NUMERIC
POConversionRate,FLOAT
CheckNumber,NUMERIC
LastPaymentDate,DATE
OperatingUnitName,STRING
PaymentTerms,STRING
LocationCountry,STRING
PaymentMethodName,STRING
InvoiceStatus,STRING
LoadBy,STRING
LoadDate,TIMESTAMP
LoadProcess,STRING
CreateBy,STRING
CreateDate,TIMESTAMP
CreateProcess,STRING
UpdateBy,STRING
UpdateDate,TIMESTAMP
UpdateProcess,STRING
InactiveInd,BOOLEAN
InactiveDate,TIMESTAMP
InactiveReason,STRING
Rank,INTEGER
RankPOHeader,INTEGER
DistributionLineNumber,NUMERIC
HoldLookupCode,STRING
AlsoOnHold,STRING
InvoiceVsDistribution,STRING
CheckPaymentStatus,STRING
CreatedBy,NUMERIC
LastUpdatedBy,NUMERIC
