TargetField,DataType
ParentSystemId,INTEGER
SystemId,INTEGER
HOLD_LOOKUP_CODE,STRING
HOLD_TYPE,STRING
DESCRIPTION,STRING
LAST_UPDATE_DATE,DATETIME
LAST_UPDATED_BY,NUMERIC
USER_RELEASEABLE_FLAG,STRING
USER_UPDATEABLE_FLAG,STRING
INACTIVE_DATE,DATE
POSTABLE_FLAG,STRING
LAST_UPDATE_LOGIN,NUMERIC
CREATION_DATE,DATETIME
CREATED_BY,NUMERIC
EXTERNAL_DESCRIPTION,STRING
HOLD_INSTRUCTION,STRING
WAIT_BEFORE_NOTIFY_DAYS,NUMERIC
REMINDER_DAYS,NUMERIC
INITIATE_WORKFLOW_FLAG,STRING
LoadBy,STRING
LoadDate,TIMESTAMP
LoadProcess,STRING
CreateBy,STRING
CreateDate,TIMESTAMP
CreateProcess,STRING
UpdateBy,STRING
UpdateDate,TIMESTAMP
UpdateProcess,STRING
InactiveInd,BOOLEAN
InactiveDate,TIMESTAMP
InactiveReason,STRING
