TargetField,DataType
ParentSystemId,INTEGER
SystemId,INTEGER
INVOICE_ID,NUMERIC
LAST_UPDATED_BY,NUMERIC
LAST_UPDATE_DATE,DATETIME
PAYMENT_CROSS_RATE,NUMERIC
PAYMENT_NUM,NUMERIC
AMOUNT_REMAINING,NUMERIC
CREATED_BY,NUMERIC
CREATION_DATE,DATETIME
DISCOUNT_DATE,DATE
DUE_DATE,DATE
FUTURE_PAY_DUE_DATE,DATE
GROSS_AMOUNT,NUMERIC
HOLD_FLAG,STRING
LAST_UPDATE_LOGIN,STRING
PAYMENT_METHOD_LOOKUP_CODE,STRING
PAYMENT_PRIORITY,NUMERIC
PAYMENT_STATUS_FLAG,STRING
SECOND_DISCOUNT_DATE,DATE
THIRD_DISCOUNT_DATE,DATE
BATCH_ID,NUMERIC
DISCOUNT_AMOUNT_AVAILABLE,NUMERIC
SECOND_DISC_AMT_AVAILABLE,NUMERIC
THIRD_DISC_AMT_AVAILABLE,NUMERIC
ATTRIBUTE1,STRING
ATTRIBUTE10,STRING
ATTRIBUTE11,STRING
ATTRIBUTE12,STRING
ATTRIBUTE13,STRING
ATTRIBUTE14,STRING
ATTRIBUTE15,STRING
ATTRIBUTE2,STRING
ATTRIBUTE3,STRING
ATTRIBUTE4,STRING
ATTRIBUTE5,STRING
ATTRIBUTE6,STRING
ATTRIBUTE7,STRING
ATTRIBUTE8,STRING
ATTRIBUTE9,STRING
ATTRIBUTE_CATEGORY,STRING
DISCOUNT_AMOUNT_REMAINING,NUMERIC
ORG_ID,NUMERIC
GLOBAL_ATTRIBUTE_CATEGORY,STRING
GLOBAL_ATTRIBUTE1,STRING
GLOBAL_ATTRIBUTE2,STRING
GLOBAL_ATTRIBUTE3,STRING
GLOBAL_ATTRIBUTE4,STRING
GLOBAL_ATTRIBUTE5,STRING
GLOBAL_ATTRIBUTE6,STRING
GLOBAL_ATTRIBUTE7,STRING
GLOBAL_ATTRIBUTE8,STRING
GLOBAL_ATTRIBUTE9,STRING
GLOBAL_ATTRIBUTE10,STRING
GLOBAL_ATTRIBUTE11,STRING
GLOBAL_ATTRIBUTE12,STRING
GLOBAL_ATTRIBUTE13,STRING
GLOBAL_ATTRIBUTE14,STRING
GLOBAL_ATTRIBUTE15,STRING
GLOBAL_ATTRIBUTE16,STRING
GLOBAL_ATTRIBUTE17,STRING
GLOBAL_ATTRIBUTE18,STRING
GLOBAL_ATTRIBUTE19,STRING
GLOBAL_ATTRIBUTE20,STRING
EXTERNAL_BANK_ACCOUNT_ID,NUMERIC
INV_CURR_GROSS_AMOUNT,NUMERIC
CHECKRUN_ID,NUMERIC
DBI_EVENTS_COMPLETE_FLAG,STRING
IBY_HOLD_REASON,STRING
PAYMENT_METHOD_CODE,STRING
REMITTANCE_MESSAGE1,STRING
REMITTANCE_MESSAGE2,STRING
REMITTANCE_MESSAGE3,STRING
REMIT_TO_SUPPLIER_NAME,STRING
REMIT_TO_SUPPLIER_ID,NUMERIC
REMIT_TO_SUPPLIER_SITE,STRING
REMIT_TO_SUPPLIER_SITE_ID,NUMERIC
RELATIONSHIP_ID,NUMERIC
LoadBy,STRING
LoadDate,TIMESTAMP
LoadProcess,STRING
CreateBy,STRING
CreateDate,TIMESTAMP
CreateProcess,STRING
UpdateBy,STRING
UpdateDate,TIMESTAMP
UpdateProcess,STRING
InactiveInd,BOOLEAN
InactiveDate,TIMESTAMP
InactiveReason,STRING
