TargetField,DataType
TERM_ID,NUMERIC
SEQUENCE_NUM,NUMERIC
LAST_UPDATE_DATE,DATETIME
LAST_UPDATED_BY,NUMERIC
CREATION_DATE,DATETIME
CREATED_BY,NUMERIC
LAST_UPDATE_LOGIN,NUMERIC
DUE_PERCENT,NUMERIC
DUE_AMOUNT,NUMERIC
DUE_DAYS,NUMERIC
DUE_DAY_OF_MONTH,NUMERIC
DUE_MONTHS_FORWARD,NUMERIC
DISCOUNT_PERCENT,NUMERIC
DISCOUNT_DAYS,NUMERIC
DISCOUNT_DAY_OF_MONTH,NUMERIC
DISCOUNT_MONTHS_FORWARD,NUMERIC
DISCOUNT_PERCENT_2,NUMERIC
DISCOUNT_DAYS_2,NUMERIC
DISCOUNT_DAY_OF_MONTH_2,NUMERIC
DISCOUNT_MONTHS_FORWARD_2,NUMERIC
DISCOUNT_PERCENT_3,NUMERIC
DISCOUNT_DAYS_3,NUMERIC
DISCOUNT_DAY_OF_MONTH_3,NUMERIC
DISCOUNT_MONTHS_FORWARD_3,NUMERIC
ATTRIBUTE_CATEGORY,STRING
ATTRIBUTE1,STRING
ATTRIBUTE2,STRING
ATTRIBUTE3,STRING
ATTRIBUTE4,STRING
ATTRIBUTE5,STRING
ATTRIBUTE6,STRING
ATTRIBUTE7,STRING
ATTRIBUTE8,STRING
ATTRIBUTE9,STRING
ATTRIBUTE10,STRING
ATTRIBUTE11,STRING
ATTRIBUTE12,STRING
ATTRIBUTE13,STRING
ATTRIBUTE14,STRING
ATTRIBUTE15,STRING
FIXED_DATE,DATE
CALENDAR,STRING
DISCOUNT_AMOUNT,NUMERIC
DISCOUNT_CRITERIA,STRING
DISCOUNT_AMOUNT_2,NUMERIC
DISCOUNT_CRITERIA_2,STRING
DISCOUNT_AMOUNT_3,NUMERIC
DISCOUNT_CRITERIA_3,STRING
