TargetField,DataType
ParentSystemId,INTEGER
SystemId,INTEGER
CASH_RECEIPT_ID,NUMERIC
LAST_UPDATED_BY,NUMERIC
LAST_UPDATE_DATE,DATETIME
LAST_UPDATE_LOGIN,NUMERIC
CREATED_BY,NUMERIC
CREATION_DATE,DATETIME
AMOUNT,NUMERIC
SET_OF_BOOKS_ID,NUMERIC
CURRENCY_CODE,STRING
RECEIVABLES_TRX_ID,NUMERIC
PAY_FROM_CUSTOMER,NUMERIC
STATUS,STRING
TYPE,STRING
RECEIPT_NUMBER,STRING
RECEIPT_DATE,DATETIME
MISC_PAYMENT_SOURCE,STRING
COMMENTS,STRING
DISTRIBUTION_SET_ID,NUMERIC
REVERSAL_DATE,DATETIME
REVERSAL_CATEGORY,STRING
REVERSAL_REASON_CODE,STRING
REVERSAL_COMMENTS,STRING
EXCHANGE_RATE_TYPE,STRING
EXCHANGE_RATE,NUMERIC
EXCHANGE_DATE,DATETIME
ATTRIBUTE_CATEGORY,STRING
ATTRIBUTE1,STRING
ATTRIBUTE2,STRING
ATTRIBUTE3,STRING
ATTRIBUTE4,STRING
ATTRIBUTE5,STRING
ATTRIBUTE6,STRING
ATTRIBUTE7,STRING
ATTRIBUTE8,STRING
ATTRIBUTE9,STRING
ATTRIBUTE10,STRING
REMITTANCE_BANK_ACCOUNT_ID,NUMERIC
ATTRIBUTE11,STRING
ATTRIBUTE12,STRING
ATTRIBUTE13,STRING
ATTRIBUTE14,STRING
ATTRIBUTE15,STRING
CONFIRMED_FLAG,STRING
CUSTOMER_BANK_ACCOUNT_ID,NUMERIC
CUSTOMER_SITE_USE_ID,NUMERIC
DEPOSIT_DATE,DATETIME
PROGRAM_APPLICATION_ID,NUMERIC
PROGRAM_ID,NUMERIC
PROGRAM_UPDATE_DATE,DATETIME
RECEIPT_METHOD_ID,NUMERIC
REQUEST_ID,NUMERIC
SELECTED_FOR_FACTORING_FLAG,STRING
SELECTED_REMITTANCE_BATCH_ID,NUMERIC
FACTOR_DISCOUNT_AMOUNT,NUMERIC
USSGL_TRANSACTION_CODE,STRING
USSGL_TRANSACTION_CODE_CONTEXT,STRING
DOC_SEQUENCE_VALUE,NUMERIC
DOC_SEQUENCE_ID,NUMERIC
VAT_TAX_ID,NUMERIC
REFERENCE_TYPE,STRING
REFERENCE_ID,NUMERIC
CUSTOMER_RECEIPT_REFERENCE,STRING
OVERRIDE_REMIT_ACCOUNT_FLAG,STRING
ORG_ID,NUMERIC
ANTICIPATED_CLEARING_DATE,DATETIME
GLOBAL_ATTRIBUTE1,STRING
GLOBAL_ATTRIBUTE2,STRING
GLOBAL_ATTRIBUTE3,STRING
GLOBAL_ATTRIBUTE4,STRING
GLOBAL_ATTRIBUTE5,STRING
GLOBAL_ATTRIBUTE6,STRING
GLOBAL_ATTRIBUTE7,STRING
GLOBAL_ATTRIBUTE8,STRING
GLOBAL_ATTRIBUTE9,STRING
GLOBAL_ATTRIBUTE10,STRING
GLOBAL_ATTRIBUTE11,STRING
GLOBAL_ATTRIBUTE12,STRING
GLOBAL_ATTRIBUTE13,STRING
GLOBAL_ATTRIBUTE14,STRING
GLOBAL_ATTRIBUTE15,STRING
GLOBAL_ATTRIBUTE16,STRING
GLOBAL_ATTRIBUTE17,STRING
GLOBAL_ATTRIBUTE18,STRING
GLOBAL_ATTRIBUTE19,STRING
GLOBAL_ATTRIBUTE20,STRING
GLOBAL_ATTRIBUTE_CATEGORY,STRING
CUSTOMER_BANK_BRANCH_ID,NUMERIC
ISSUER_NAME,STRING
ISSUE_DATE,DATETIME
ISSUER_BANK_BRANCH_ID,NUMERIC
MRC_EXCHANGE_RATE_TYPE,STRING
MRC_EXCHANGE_RATE,STRING
MRC_EXCHANGE_DATE,STRING
PAYMENT_SERVER_ORDER_NUM,STRING
APPROVAL_CODE,STRING
ADDRESS_VERIFICATION_CODE,STRING
TAX_RATE,NUMERIC
ACTUAL_VALUE_DATE,DATETIME
POSTMARK_DATE,DATETIME
APPLICATION_NOTES,STRING
UNIQUE_REFERENCE,STRING
PROMISE_SOURCE,STRING
REC_VERSION_NUMBER,NUMERIC
CC_ERROR_CODE,STRING
CC_ERROR_TEXT,STRING
CC_ERROR_FLAG,STRING
REMIT_BANK_ACCT_USE_ID,NUMERIC
OLD_CUSTOMER_BANK_BRANCH_ID,NUMERIC
OLD_ISSUER_BANK_BRANCH_ID,NUMERIC
LEGAL_ENTITY_ID,NUMERIC
PAYMENT_TRXN_EXTENSION_ID,NUMERIC
AX_ACCOUNTED_FLAG,STRING
OLD_CUSTOMER_BANK_ACCOUNT_ID,NUMERIC
CASH_APPLN_OWNER_ID,NUMERIC
WORK_ITEM_ASSIGNMENT_DATE,DATETIME
WORK_ITEM_REVIEW_DATE,DATETIME
WORK_ITEM_STATUS_CODE,STRING
WORK_ITEM_REVIEW_NOTE,STRING
PREV_PAY_FROM_CUSTOMER,NUMERIC
PREV_CUSTOMER_SITE_USE_ID,NUMERIC
WORK_ITEM_EXCEPTION_REASON,STRING
AUTOMATCH_SET_ID,NUMERIC
AUTOAPPLY_FLAG,STRING
SEQ_TYPE_LAST,STRING
CreateBy,STRING
CreateDate,TIMESTAMP
CreateProcess,STRING
UpdateBy,STRING
UpdateDate,TIMESTAMP
UpdateProcess,STRING
InactiveInd,BOOLEAN
InactiveDate,TIMESTAMP
InactiveReason,STRING
LoadBy,STRING
LoadDate,TIMESTAMP
LoadProcess,STRING
