TargetField,DataType
ParentSystemId,INTEGER
SystemId,INTEGER
ASSET_ID,NUMERIC
ASSET_NUMBER,STRING
ASSET_KEY_CCID,NUMERIC
CURRENT_UNITS,NUMERIC
ASSET_TYPE,STRING
TAG_NUMBER,STRING
ASSET_CATEGORY_ID,NUMERIC
PARENT_ASSET_ID,NUMERIC
MANUFACTURER_NAME,STRING
SERIAL_NUMBER,STRING
MODEL_NUMBER,STRING
PROPERTY_TYPE_CODE,STRING
PROPERTY_1245_1250_CODE,STRING
IN_USE_FLAG,STRING
OWNED_LEASED,STRING
NEW_USED,STRING
UNIT_ADJUSTMENT_FLAG,STRING
ADD_COST_JE_FLAG,STRING
ATTRIBUTE1,STRING
ATTRIBUTE2,STRING
ATTRIBUTE3,STRING
ATTRIBUTE4,STRING
ATTRIBUTE5,STRING
ATTRIBUTE6,STRING
ATTRIBUTE7,STRING
ATTRIBUTE8,STRING
ATTRIBUTE9,STRING
ATTRIBUTE10,STRING
ATTRIBUTE11,STRING
ATTRIBUTE12,STRING
ATTRIBUTE13,STRING
ATTRIBUTE14,STRING
ATTRIBUTE15,STRING
ATTRIBUTE16,STRING
ATTRIBUTE17,STRING
ATTRIBUTE18,STRING
ATTRIBUTE19,STRING
ATTRIBUTE20,STRING
ATTRIBUTE21,STRING
ATTRIBUTE22,STRING
ATTRIBUTE23,STRING
ATTRIBUTE24,STRING
ATTRIBUTE25,STRING
ATTRIBUTE26,STRING
ATTRIBUTE27,STRING
ATTRIBUTE28,STRING
ATTRIBUTE29,STRING
ATTRIBUTE30,STRING
ATTRIBUTE_CATEGORY_CODE,STRING
CONTEXT,STRING
LEASE_ID,NUMERIC
LAST_UPDATE_DATE,DATETIME
LAST_UPDATED_BY,NUMERIC
CREATED_BY,NUMERIC
CREATION_DATE,DATETIME
LAST_UPDATE_LOGIN,NUMERIC
GLOBAL_ATTRIBUTE1,STRING
GLOBAL_ATTRIBUTE2,STRING
GLOBAL_ATTRIBUTE3,STRING
GLOBAL_ATTRIBUTE4,STRING
GLOBAL_ATTRIBUTE5,STRING
GLOBAL_ATTRIBUTE6,STRING
GLOBAL_ATTRIBUTE7,STRING
GLOBAL_ATTRIBUTE8,STRING
GLOBAL_ATTRIBUTE9,STRING
GLOBAL_ATTRIBUTE10,STRING
GLOBAL_ATTRIBUTE11,STRING
GLOBAL_ATTRIBUTE12,STRING
GLOBAL_ATTRIBUTE13,STRING
GLOBAL_ATTRIBUTE14,STRING
GLOBAL_ATTRIBUTE15,STRING
GLOBAL_ATTRIBUTE16,STRING
GLOBAL_ATTRIBUTE17,STRING
GLOBAL_ATTRIBUTE18,STRING
GLOBAL_ATTRIBUTE19,STRING
GLOBAL_ATTRIBUTE20,STRING
GLOBAL_ATTRIBUTE_CATEGORY,STRING
INVENTORIAL,STRING
COMMITMENT,STRING
INVESTMENT_LAW,STRING
LoadBy,STRING
LoadDate,TIMESTAMP
LoadProcess,STRING
CreateBy,STRING
CreateDate,TIMESTAMP
CreateProcess,STRING
UpdateBy,STRING
UpdateDate,TIMESTAMP
UpdateProcess,STRING
InactiveInd,BOOLEAN
InactiveDate,TIMESTAMP
InactiveReason,STRING
