TargetField,DataType
ParentSystemId,INTEGER
SystemId,INTEGER
LOCATION_ID,NUMERIC
SEGMENT1,STRING
SEGMENT2,STRING
SEGMENT3,STRING
SEGMENT4,STRING
SEGMENT5,STRING
SEGMENT6,STRING
SEGMENT7,STRING
SUMMARY_FLAG,STRING
ENABLED_FLAG,STRING
START_DATE_ACTIVE,DATETIME
END_DATE_ACTIVE,DATETIME
LAST_UPDATE_DATE,DATETIME
LAST_UPDATED_BY,NUMERIC
LAST_UPDATE_LOGIN,NUMERIC
ATTRIBUTE1,STRING
ATTRIBUTE2,STRING
ATTRIBUTE3,STRING
ATTRIBUTE4,STRING
ATTRIBUTE5,STRING
ATTRIBUTE6,STRING
ATTRIBUTE7,STRING
ATTRIBUTE8,STRING
ATTRIBUTE9,STRING
ATTRIBUTE10,STRING
ATTRIBUTE11,STRING
ATTRIBUTE12,STRING
ATTRIBUTE13,STRING
ATTRIBUTE14,STRING
ATTRIBUTE15,STRING
ATTRIBUTE_CATEGORY_CODE,STRING
CreateBy,STRING
CreateDate,TIMESTAMP
CreateProcess,STRING
UpdateBy,STRING
UpdateDate,TIMESTAMP
UpdateProcess,STRING
InactiveInd,BOOLEAN
InactiveDate,TIMESTAMP
InactiveReason,STRING
LoadBy,STRING
LoadDate,TIMESTAMP
LoadProcess,STRING
