TargetField,DataType
ParentSystemId,INTEGER
SystemId,INTEGER
USER_ID,NUMERIC
USER_NAME,STRING
LAST_UPDATE_DATE,DATETIME
LAST_UPDATED_BY,NUMERIC
CREATION_DATE,DATETIME
CREATED_BY,NUMERIC
LAST_UPDATE_LOGIN,NUMERIC
ENCRYPTED_FOUNDATION_PASSWORD,STRING
ENCRYPTED_USER_PASSWORD,STRING
SESSION_NUMBER,NUMERIC
START_DATE,DATETIME
END_DATE,DATETIME
DESCRIPTION,STRING
LAST_LOGON_DATE,DATETIME
PASSWORD_DATE,DATETIME
PASSWORD_ACCESSES_LEFT,NUMERIC
PASSWORD_LIFESPAN_ACCESSES,NUMERIC
PASSWORD_LIFESPAN_DAYS,NUMERIC
EMPLOYEE_ID,NUMERIC
EMAIL_ADDRESS,STRING
FAX,STRING
CUSTOMER_ID,NUMERIC
SUPPLIER_ID,NUMERIC
WEB_PASSWORD,STRING
USER_GUID,STRING
GCN_CODE_COMBINATION_ID,NUMERIC
PERSON_PARTY_ID,NUMERIC
LoadDate,TIMESTAMP
LoadProcess,STRING
CreateBy,STRING
CreateDate,TIMESTAMP
CreateProcess,STRING
UpdateBy,STRING
UpdateDate,TIMESTAMP
UpdateProcess,STRING
InactiveInd,BOOLEAN
InactiveDate,TIMESTAMP
InactiveReason,STRING
LoadBy,STRING
