TargetField,DataType
ParentSystemId,INTEGER
SystemId,INTEGER
CODE_COMBINATION_ID,NUMERIC
LAST_UPDATE_DATE,DATETIME
LAST_UPDATED_BY,NUMERIC
CHART_OF_ACCOUNTS_ID,NUMERIC
DETAIL_POSTING_ALLOWED_FLAG,STRING
DETAIL_BUDGETING_ALLOWED_FLAG,STRING
ACCOUNT_TYPE,STRING
ENABLED_FLAG,STRING
SUMMARY_FLAG,STRING
SEGMENT1,STRING
SEGMENT2,STRING
SEGMENT3,STRING
SEGMENT4,STRING
SEGMENT5,STRING
SEGMENT6,STRING
SEGMENT7,STRING
SEGMENT8,STRING
SEGMENT9,STRING
SEGMENT10,STRING
SEGMENT11,STRING
SEGMENT12,STRING
SEGMENT13,STRING
SEGMENT14,STRING
SEGMENT15,STRING
SEGMENT16,STRING
SEGMENT17,STRING
SEGMENT18,STRING
SEGMENT19,STRING
SEGMENT20,STRING
SEGMENT21,STRING
SEGMENT22,STRING
SEGMENT23,STRING
SEGMENT24,STRING
SEGMENT25,STRING
SEGMENT26,STRING
SEGMENT27,STRING
SEGMENT28,STRING
SEGMENT29,STRING
SEGMENT30,STRING
DESCRIPTION,STRING
TEMPLATE_ID,NUMERIC
ALLOCATION_CREATE_FLAG,STRING
START_DATE_ACTIVE,DATETIME
END_DATE_ACTIVE,DATETIME
ATTRIBUTE1,STRING
ATTRIBUTE2,STRING
ATTRIBUTE3,STRING
ATTRIBUTE4,STRING
ATTRIBUTE5,STRING
ATTRIBUTE6,STRING
ATTRIBUTE7,STRING
ATTRIBUTE8,STRING
ATTRIBUTE9,STRING
ATTRIBUTE10,STRING
CONTEXT,STRING
SEGMENT_ATTRIBUTE1,STRING
SEGMENT_ATTRIBUTE2,STRING
SEGMENT_ATTRIBUTE3,STRING
SEGMENT_ATTRIBUTE4,STRING
SEGMENT_ATTRIBUTE5,STRING
SEGMENT_ATTRIBUTE6,STRING
SEGMENT_ATTRIBUTE7,STRING
SEGMENT_ATTRIBUTE8,STRING
SEGMENT_ATTRIBUTE9,STRING
SEGMENT_ATTRIBUTE10,STRING
SEGMENT_ATTRIBUTE11,STRING
SEGMENT_ATTRIBUTE12,STRING
SEGMENT_ATTRIBUTE13,STRING
SEGMENT_ATTRIBUTE14,STRING
SEGMENT_ATTRIBUTE15,STRING
SEGMENT_ATTRIBUTE16,STRING
SEGMENT_ATTRIBUTE17,STRING
SEGMENT_ATTRIBUTE18,STRING
SEGMENT_ATTRIBUTE19,STRING
SEGMENT_ATTRIBUTE20,STRING
SEGMENT_ATTRIBUTE21,STRING
SEGMENT_ATTRIBUTE22,STRING
SEGMENT_ATTRIBUTE23,STRING
SEGMENT_ATTRIBUTE24,STRING
SEGMENT_ATTRIBUTE25,STRING
SEGMENT_ATTRIBUTE26,STRING
SEGMENT_ATTRIBUTE27,STRING
SEGMENT_ATTRIBUTE28,STRING
SEGMENT_ATTRIBUTE29,STRING
SEGMENT_ATTRIBUTE30,STRING
SEGMENT_ATTRIBUTE31,STRING
SEGMENT_ATTRIBUTE32,STRING
SEGMENT_ATTRIBUTE33,STRING
SEGMENT_ATTRIBUTE34,STRING
SEGMENT_ATTRIBUTE35,STRING
SEGMENT_ATTRIBUTE36,STRING
SEGMENT_ATTRIBUTE37,STRING
SEGMENT_ATTRIBUTE38,STRING
SEGMENT_ATTRIBUTE39,STRING
SEGMENT_ATTRIBUTE40,STRING
SEGMENT_ATTRIBUTE41,STRING
SEGMENT_ATTRIBUTE42,STRING
REFERENCE1,STRING
REFERENCE2,STRING
REFERENCE3,STRING
REFERENCE4,STRING
REFERENCE5,STRING
JGZZ_RECON_FLAG,STRING
JGZZ_RECON_CONTEXT,STRING
PRESERVE_FLAG,STRING
REFRESH_FLAG,STRING
IGI_BALANCED_BUDGET_FLAG,STRING
COMPANY_COST_CENTER_ORG_ID,NUMERIC
REVALUATION_ID,NUMERIC
LEDGER_SEGMENT,STRING
LEDGER_TYPE_CODE,STRING
ALTERNATE_CODE_COMBINATION_ID,NUMERIC
LoadBy,STRING
LoadDate,TIMESTAMP
LoadProcess,STRING
CreateBy,STRING
CreateDate,TIMESTAMP
CreateProcess,STRING
UpdateBy,STRING
UpdateDate,TIMESTAMP
UpdateProcess,STRING
InactiveInd,BOOLEAN
InactiveDate,TIMESTAMP
InactiveReason,STRING
