TargetField,DataType
ParentSystemId,INTEGER
SystemId,INTEGER
PARTY_ID,NUMERIC
PARTY_NUMBER,STRING
PARTY_NAME,STRING
PARTY_TYPE,STRING
VALIDATED_FLAG,STRING
LAST_UPDATED_BY,NUMERIC
CREATION_DATE,DATETIME
LAST_UPDATE_LOGIN,NUMERIC
REQUEST_ID,NUMERIC
PROGRAM_APPLICATION_ID,NUMERIC
CREATED_BY,NUMERIC
LAST_UPDATE_DATE,DATETIME
PROGRAM_ID,NUMERIC
PROGRAM_UPDATE_DATE,DATETIME
WH_UPDATE_DATE,DATETIME
ATTRIBUTE_CATEGORY,STRING
ATTRIBUTE1,STRING
ATTRIBUTE2,STRING
ATTRIBUTE3,STRING
ATTRIBUTE4,STRING
ATTRIBUTE5,STRING
ATTRIBUTE6,STRING
ATTRIBUTE7,STRING
ATTRIBUTE8,STRING
ATTRIBUTE9,STRING
ATTRIBUTE10,STRING
ATTRIBUTE11,STRING
ATTRIBUTE12,STRING
ATTRIBUTE13,STRING
ATTRIBUTE14,STRING
ATTRIBUTE15,STRING
ATTRIBUTE16,STRING
ATTRIBUTE17,STRING
ATTRIBUTE18,STRING
ATTRIBUTE19,STRING
ATTRIBUTE20,STRING
ATTRIBUTE21,STRING
ATTRIBUTE22,STRING
ATTRIBUTE23,STRING
ATTRIBUTE24,STRING
GLOBAL_ATTRIBUTE_CATEGORY,STRING
GLOBAL_ATTRIBUTE1,STRING
GLOBAL_ATTRIBUTE2,STRING
GLOBAL_ATTRIBUTE4,STRING
GLOBAL_ATTRIBUTE3,STRING
GLOBAL_ATTRIBUTE5,STRING
GLOBAL_ATTRIBUTE6,STRING
GLOBAL_ATTRIBUTE7,STRING
GLOBAL_ATTRIBUTE8,STRING
GLOBAL_ATTRIBUTE9,STRING
GLOBAL_ATTRIBUTE10,STRING
GLOBAL_ATTRIBUTE11,STRING
GLOBAL_ATTRIBUTE12,STRING
GLOBAL_ATTRIBUTE13,STRING
GLOBAL_ATTRIBUTE14,STRING
GLOBAL_ATTRIBUTE15,STRING
GLOBAL_ATTRIBUTE16,STRING
GLOBAL_ATTRIBUTE17,STRING
GLOBAL_ATTRIBUTE18,STRING
GLOBAL_ATTRIBUTE19,STRING
GLOBAL_ATTRIBUTE20,STRING
ORIG_SYSTEM_REFERENCE,STRING
SIC_CODE,STRING
HQ_BRANCH_IND,STRING
CUSTOMER_KEY,STRING
TAX_REFERENCE,STRING
JGZZ_FISCAL_CODE,STRING
DUNS_NUMBER,NUMERIC
TAX_NAME,STRING
PERSON_PRE_NAME_ADJUNCT,STRING
PERSON_FIRST_NAME,STRING
PERSON_MIDDLE_NAME,STRING
PERSON_LAST_NAME,STRING
PERSON_NAME_SUFFIX,STRING
PERSON_TITLE,STRING
PERSON_ACADEMIC_TITLE,STRING
PERSON_PREVIOUS_LAST_NAME,STRING
KNOWN_AS,STRING
PERSON_IDEN_TYPE,STRING
PERSON_IDENTIFIER,STRING
GROUP_TYPE,STRING
COUNTRY,STRING
ADDRESS1,STRING
ADDRESS2,STRING
ADDRESS3,STRING
ADDRESS4,STRING
CITY,STRING
POSTAL_CODE,STRING
STATE,STRING
PROVINCE,STRING
STATUS,STRING
COUNTY,STRING
SIC_CODE_TYPE,STRING
TOTAL_NUM_OF_ORDERS,NUMERIC
TOTAL_ORDERED_AMOUNT,NUMERIC
LAST_ORDERED_DATE,DATETIME
URL,STRING
EMAIL_ADDRESS,STRING
DO_NOT_MAIL_FLAG,STRING
ANALYSIS_FY,STRING
FISCAL_YEAREND_MONTH,STRING
EMPLOYEES_TOTAL,NUMERIC
CURR_FY_POTENTIAL_REVENUE,NUMERIC
NEXT_FY_POTENTIAL_REVENUE,NUMERIC
YEAR_ESTABLISHED,NUMERIC
GSA_INDICATOR_FLAG,STRING
MISSION_STATEMENT,STRING
ORGANIZATION_NAME_PHONETIC,STRING
PERSON_FIRST_NAME_PHONETIC,STRING
PERSON_LAST_NAME_PHONETIC,STRING
LANGUAGE_NAME,STRING
CATEGORY_CODE,STRING
REFERENCE_USE_FLAG,STRING
THIRD_PARTY_FLAG,STRING
COMPETITOR_FLAG,STRING
SALUTATION,STRING
KNOWN_AS2,STRING
KNOWN_AS3,STRING
KNOWN_AS4,STRING
KNOWN_AS5,STRING
DUNS_NUMBER_C,STRING
OBJECT_VERSION_NUMBER,NUMERIC
CREATED_BY_MODULE,STRING
APPLICATION_ID,NUMERIC
PRIMARY_PHONE_CONTACT_PT_ID,NUMERIC
PRIMARY_PHONE_PURPOSE,STRING
PRIMARY_PHONE_LINE_TYPE,STRING
PRIMARY_PHONE_COUNTRY_CODE,STRING
PRIMARY_PHONE_AREA_CODE,STRING
PRIMARY_PHONE_NUMBER,STRING
PRIMARY_PHONE_EXTENSION,STRING
CERTIFICATION_LEVEL,STRING
CERT_REASON_CODE,STRING
PREFERRED_CONTACT_METHOD,STRING
HOME_COUNTRY,STRING
PERSON_BO_VERSION,NUMERIC
ORG_BO_VERSION,NUMERIC
PERSON_CUST_BO_VERSION,NUMERIC
ORG_CUST_BO_VERSION,NUMERIC
LoadBy,STRING
LoadDate,TIMESTAMP
LoadProcess,STRING
CreateBy,STRING
CreateDate,TIMESTAMP
CreateProcess,STRING
UpdateBy,STRING
UpdateDate,TIMESTAMP
UpdateProcess,STRING
InactiveInd,BOOLEAN
InactiveDate,TIMESTAMP
InactiveReason,STRING
