TargetField,DataType
ParentSystemId,INTEGER
SystemId,INTEGER
PAYMENT_METHOD_CODE,STRING
LANGUAGE,STRING
SOURCE_LANG,STRING
PAYMENT_METHOD_NAME,STRING
CREATED_BY,NUMERIC
CREATION_DATE,DATETIME
LAST_UPDATED_BY,NUMERIC
LAST_UPDATE_DATE,DATETIME
LAST_UPDATE_LOGIN,NUMERIC
OBJECT_VERSION_NUMBER,NUMERIC
DESCRIPTION,STRING
LoadBy,STRING
LoadDate,TIMESTAMP
LoadProcess,STRING
CreateBy,STRING
CreateDate,TIMESTAMP
CreateProcess,STRING
UpdateBy,STRING
UpdateDate,TIMESTAMP
UpdateProcess,STRING
InactiveInd,BOOLEAN
InactiveDate,TIMESTAMP
InactiveReason,STRING
