TargetField,DataType
ParentSystemId,INTEGER
SystemId,INTEGER
SALESREP_ID,NUMERIC
RESOURCE_ID,NUMERIC
LAST_UPDATE_DATE,DATETIME
LAST_UPDATED_BY,NUMERIC
CREATION_DATE,DATETIME
CREATED_BY,NUMERIC
LAST_UPDATE_LOGIN,NUMERIC
SALES_CREDIT_TYPE_ID,NUMERIC
NAME,STRING
STATUS,STRING
START_DATE_ACTIVE,DATETIME
END_DATE_ACTIVE,DATETIME
GL_ID_REV,NUMERIC
GL_ID_FREIGHT,NUMERIC
GL_ID_REC,NUMERIC
SET_OF_BOOKS_ID,NUMERIC
SALESREP_NUMBER,STRING
ORG_ID,NUMERIC
EMAIL_ADDRESS,STRING
WH_UPDATE_DATE,DATETIME
PERSON_ID,NUMERIC
SALES_TAX_GEOCODE,STRING
SALES_TAX_INSIDE_CITY_LIMITS,STRING
OBJECT_VERSION_NUMBER,NUMERIC
ATTRIBUTE_CATEGORY,STRING
ATTRIBUTE1,STRING
ATTRIBUTE2,STRING
ATTRIBUTE3,STRING
ATTRIBUTE4,STRING
ATTRIBUTE5,STRING
ATTRIBUTE6,STRING
ATTRIBUTE7,STRING
ATTRIBUTE8,STRING
ATTRIBUTE9,STRING
ATTRIBUTE10,STRING
ATTRIBUTE11,STRING
ATTRIBUTE12,STRING
ATTRIBUTE13,STRING
ATTRIBUTE14,STRING
ATTRIBUTE15,STRING
SECURITY_GROUP_ID,NUMERIC
LoadBy,STRING
LoadDate,TIMESTAMP
LoadProcess,STRING
CreateBy,STRING
CreateDate,TIMESTAMP
CreateProcess,STRING
UpdateBy,STRING
UpdateDate,TIMESTAMP
UpdateProcess,STRING
InactiveInd,BOOLEAN
InactiveDate,TIMESTAMP
InactiveReason,STRING
