TargetField,DataType
ParentSystemId,INTEGER
SystemId,INTEGER
PAYMENT_SCHEDULE_ID,NUMERIC
STAGED_DUNNING_LEVEL,NUMERIC
DUNNING_LEVEL_OVERRIDE_DATE,DATE
LAST_UPDATE_DATE,DATETIME
LAST_UPDATED_BY,NUMERIC
CREATION_DATE,DATETIME
CREATED_BY,NUMERIC
LAST_UPDATE_LOGIN,NUMERIC
DUE_DATE,DATE
AMOUNT_DUE_ORIGINAL,NUMERIC
AMOUNT_DUE_REMAINING,NUMERIC
NUMBER_OF_DUE_DATES,NUMERIC
STATUS,STRING
INVOICE_CURRENCY_CODE,STRING
CLASS,STRING
CUST_TRX_TYPE_ID,STRING
CUSTOMER_ID,NUMERIC
CUSTOMER_SITE_USE_ID,NUMERIC
CUSTOMER_TRX_ID,NUMERIC
CASH_RECEIPT_ID,NUMERIC
ASSOCIATED_CASH_RECEIPT_ID,NUMERIC
TERM_ID,NUMERIC
TERMS_SEQUENCE_NUMBER,NUMERIC
GL_DATE_CLOSED,DATE
ACTUAL_DATE_CLOSED,DATE
DISCOUNT_DATE,DATE
AMOUNT_LINE_ITEMS_ORIGINAL,NUMERIC
AMOUNT_LINE_ITEMS_REMAINING,NUMERIC
AMOUNT_APPLIED,NUMERIC
AMOUNT_ADJUSTED,NUMERIC
AMOUNT_IN_DISPUTE,NUMERIC
AMOUNT_CREDITED,NUMERIC
RECEIVABLES_CHARGES_CHARGED,NUMERIC
RECEIVABLES_CHARGES_REMAINING,NUMERIC
FREIGHT_ORIGINAL,NUMERIC
FREIGHT_REMAINING,NUMERIC
TAX_ORIGINAL,NUMERIC
TAX_REMAINING,NUMERIC
DISCOUNT_ORIGINAL,NUMERIC
DISCOUNT_REMAINING,NUMERIC
DISCOUNT_TAKEN_EARNED,NUMERIC
DISCOUNT_TAKEN_UNEARNED,NUMERIC
IN_COLLECTION,STRING
CASH_APPLIED_ID_LAST,NUMERIC
CASH_APPLIED_DATE_LAST,DATE
CASH_APPLIED_AMOUNT_LAST,NUMERIC
CASH_APPLIED_STATUS_LAST,STRING
CASH_GL_DATE_LAST,DATE
CASH_RECEIPT_ID_LAST,NUMERIC
CASH_RECEIPT_DATE_LAST,DATE
CASH_RECEIPT_AMOUNT_LAST,NUMERIC
CASH_RECEIPT_STATUS_LAST,STRING
EXCHANGE_RATE_TYPE,STRING
EXCHANGE_DATE,DATE
EXCHANGE_RATE,NUMERIC
ADJUSTMENT_ID_LAST,NUMERIC
ADJUSTMENT_DATE_LAST,DATE
ADJUSTMENT_GL_DATE_LAST,DATE
ADJUSTMENT_AMOUNT_LAST,NUMERIC
FOLLOW_UP_DATE_LAST,DATE
FOLLOW_UP_CODE_LAST,STRING
PROMISE_DATE_LAST,DATE
PROMISE_AMOUNT_LAST,NUMERIC
COLLECTOR_LAST,NUMERIC
CALL_DATE_LAST,DATE
TRX_NUMBER,STRING
TRX_DATE,DATE
ATTRIBUTE_CATEGORY,STRING
ATTRIBUTE1,STRING
ATTRIBUTE2,STRING
ATTRIBUTE3,STRING
ATTRIBUTE4,STRING
ATTRIBUTE5,STRING
ATTRIBUTE6,STRING
ATTRIBUTE7,STRING
ATTRIBUTE8,STRING
ATTRIBUTE9,STRING
ATTRIBUTE10,STRING
REVERSED_CASH_RECEIPT_ID,NUMERIC
AMOUNT_ADJUSTED_PENDING,NUMERIC
ATTRIBUTE11,STRING
ATTRIBUTE12,STRING
ATTRIBUTE13,STRING
ATTRIBUTE14,STRING
ATTRIBUTE15,STRING
GL_DATE,DATE
ACCTD_AMOUNT_DUE_REMAINING,NUMERIC
PROGRAM_APPLICATION_ID,NUMERIC
PROGRAM_ID,NUMERIC
PROGRAM_UPDATE_DATE,DATE
RECEIPT_CONFIRMED_FLAG,STRING
REQUEST_ID,NUMERIC
SELECTED_FOR_RECEIPT_BATCH_ID,NUMERIC
LAST_CHARGE_DATE,DATE
SECOND_LAST_CHARGE_DATE,DATE
DISPUTE_DATE,DATE
ORG_ID,NUMERIC
GLOBAL_ATTRIBUTE1,STRING
GLOBAL_ATTRIBUTE2,STRING
GLOBAL_ATTRIBUTE3,STRING
GLOBAL_ATTRIBUTE4,STRING
GLOBAL_ATTRIBUTE5,STRING
GLOBAL_ATTRIBUTE6,STRING
GLOBAL_ATTRIBUTE7,STRING
GLOBAL_ATTRIBUTE8,STRING
GLOBAL_ATTRIBUTE9,STRING
GLOBAL_ATTRIBUTE10,STRING
GLOBAL_ATTRIBUTE11,STRING
GLOBAL_ATTRIBUTE12,STRING
GLOBAL_ATTRIBUTE13,STRING
GLOBAL_ATTRIBUTE14,STRING
GLOBAL_ATTRIBUTE15,STRING
GLOBAL_ATTRIBUTE16,STRING
GLOBAL_ATTRIBUTE17,STRING
GLOBAL_ATTRIBUTE18,STRING
GLOBAL_ATTRIBUTE19,STRING
GLOBAL_ATTRIBUTE20,STRING
GLOBAL_ATTRIBUTE_CATEGORY,STRING
CONS_INV_ID,NUMERIC
CONS_INV_ID_REV,NUMERIC
EXCLUDE_FROM_DUNNING_FLAG,STRING
MRC_EXCHANGE_RATE_TYPE,STRING
MRC_EXCHANGE_DATE,STRING
MRC_EXCHANGE_RATE,STRING
MRC_ACCTD_AMOUNT_DUE_REMAINING,STRING
MRC_CUSTOMER_TRX_ID,STRING
BR_AMOUNT_ASSIGNED,NUMERIC
RESERVED_TYPE,STRING
RESERVED_VALUE,NUMERIC
ACTIVE_CLAIM_FLAG,STRING
EXCLUDE_FROM_CONS_BILL_FLAG,STRING
PAYMENT_APPROVAL,STRING
LoadBy,STRING
LoadDate,TIMESTAMP
LoadProcess,STRING
CreateBy,STRING
CreateDate,TIMESTAMP
CreateProcess,STRING
UpdateBy,STRING
UpdateDate,TIMESTAMP
UpdateProcess,STRING
InactiveInd,BOOLEAN
InactiveDate,TIMESTAMP
InactiveReason,STRING
