TargetField,DataType
ParentSystemId,INTEGER
SystemId,INTEGER
BOOK_TYPE_CODE,STRING
ASSET_ID,NUMERIC
DEPRN_RUN_DATE,DATETIME
DEPRN_AMOUNT,NUMERIC
YTD_DEPRN,NUMERIC
DEPRN_RESERVE,NUMERIC
DEPRN_SOURCE_CODE,STRING
ADJUSTED_COST,NUMERIC
BONUS_RATE,NUMERIC
LTD_PRODUCTION,NUMERIC
PERIOD_COUNTER,NUMERIC
PRODUCTION,NUMERIC
REVAL_AMORTIZATION,NUMERIC
REVAL_AMORTIZATION_BASIS,NUMERIC
REVAL_DEPRN_EXPENSE,NUMERIC
REVAL_RESERVE,NUMERIC
YTD_PRODUCTION,NUMERIC
YTD_REVAL_DEPRN_EXPENSE,NUMERIC
PRIOR_FY_EXPENSE,NUMERIC
BONUS_DEPRN_AMOUNT,NUMERIC
BONUS_YTD_DEPRN,NUMERIC
BONUS_DEPRN_RESERVE,NUMERIC
PRIOR_FY_BONUS_EXPENSE,NUMERIC
DEPRN_OVERRIDE_FLAG,STRING
SYSTEM_DEPRN_AMOUNT,NUMERIC
SYSTEM_BONUS_DEPRN_AMOUNT,NUMERIC
IMPAIRMENT_AMOUNT,NUMERIC
YTD_IMPAIRMENT,NUMERIC
IMPAIRMENT_RESERVE,NUMERIC
EVENT_ID,NUMERIC
DEPRN_RUN_ID,NUMERIC
DEPRN_ADJUSTMENT_AMOUNT,NUMERIC
BONUS_DEPRN_ADJUSTMENT_AMOUNT,NUMERIC
CAPITAL_ADJUSTMENT,NUMERIC
GENERAL_FUND,NUMERIC
REVAL_LOSS_BALANCE,NUMERIC
UNREVALUED_COST,NUMERIC
HISTORICAL_NBV,NUMERIC
CreateBy,STRING
CreateDate,TIMESTAMP
CreateProcess,STRING
UpdateBy,STRING
UpdateDate,TIMESTAMP
UpdateProcess,STRING
InactiveInd,BOOLEAN
InactiveDate,TIMESTAMP
InactiveReason,STRING
LoadBy,STRING
LoadDate,TIMESTAMP
LoadProcess,STRING
