TargetField,DataType
ParentSystemId,INTEGER
SystemId,INTEGER
FLEX_VALUE_ID,NUMERIC
LANGUAGE,STRING
LAST_UPDATE_DATE,DATETIME
LAST_UPDATED_BY,NUMERIC
CREATION_DATE,DATETIME
CREATED_BY,NUMERIC
LAST_UPDATE_LOGIN,NUMERIC
DESCRIPTION,STRING
SOURCE_LANG,STRING
FLEX_VALUE_MEANING,STRING
LoadDate,TIMESTAMP
LoadProcess,STRING
CreateBy,STRING
CreateDate,TIMESTAMP
CreateProcess,STRING
UpdateBy,STRING
UpdateDate,TIMESTAMP
UpdateProcess,STRING
InactiveInd,BOOLEAN
InactiveDate,TIMESTAMP
InactiveReason,STRING
LoadBy,STRING
