TargetField,DataType
ParentSystemId,INTEGER
SystemId,INTEGER
FROM_CURRENCY,STRING
TO_CURRENCY,STRING
CONVERSION_DATE,DATETIME
CONVERSION_TYPE,STRING
CONVERSION_RATE,NUMERIC
STATUS_CODE,STRING
CREATION_DATE,DATETIME
CREATED_BY,NUMERIC
LAST_UPDATE_DATE,DATETIME
LAST_UPDATED_BY,NUMERIC
LAST_UPDATE_LOGIN,NUMERIC
CONTEXT,STRING
ATTRIBUTE1,STRING
ATTRIBUTE2,STRING
ATTRIBUTE3,STRING
ATTRIBUTE4,STRING
ATTRIBUTE5,STRING
ATTRIBUTE6,STRING
ATTRIBUTE7,STRING
ATTRIBUTE8,STRING
ATTRIBUTE9,STRING
ATTRIBUTE10,STRING
ATTRIBUTE11,STRING
ATTRIBUTE12,STRING
ATTRIBUTE13,STRING
ATTRIBUTE14,STRING
ATTRIBUTE15,STRING
RATE_SOURCE_CODE,STRING
LoadBy,STRING
LoadDate,TIMESTAMP
LoadProcess,STRING
CreateBy,STRING
CreateDate,TIMESTAMP
CreateProcess,STRING
UpdateBy,STRING
UpdateDate,TIMESTAMP
UpdateProcess,STRING
InactiveInd,BOOLEAN
InactiveDate,TIMESTAMP
InactiveReason,STRING
