TargetField,DataType
ParentSystemId,INTEGER
SystemId,INTEGER
JE_CATEGORY_NAME,STRING
USER_JE_CATEGORY_NAME,STRING
REVERSAL_OPTION_CODE,STRING
LAST_UPDATE_DATE,DATETIME
LAST_UPDATED_BY,NUMERIC
CREATION_DATE,DATETIME
CREATED_BY,NUMERIC
LAST_UPDATE_LOGIN,NUMERIC
DESCRIPTION,STRING
ATTRIBUTE1,STRING
ATTRIBUTE2,STRING
ATTRIBUTE3,STRING
ATTRIBUTE4,STRING
ATTRIBUTE5,STRING
CONTEXT,STRING
LANGUAGE,STRING
SOURCE_LANG,STRING
CONSOLIDATION_FLAG,STRING
JE_CATEGORY_KEY,STRING
LoadDate,TIMESTAMP
LoadProcess,STRING
CreateBy,STRING
CreateDate,TIMESTAMP
CreateProcess,STRING
UpdateBy,STRING
UpdateDate,TIMESTAMP
UpdateProcess,STRING
InactiveInd,BOOLEAN
InactiveDate,TIMESTAMP
InactiveReason,STRING
LoadBy,STRING
