TargetField,DataType
ParentSystemId,INTEGER
SystemId,INTEGER
JE_HEADER_ID,NUMERIC
JE_LINE_NUM,NUMERIC
LAST_UPDATE_DATE,DATETIME
LAST_UPDATED_BY,NUMERIC
LEDGER_ID,NUMERIC
CODE_COMBINATION_ID,NUMERIC
PERIOD_NAME,STRING
EFFECTIVE_DATE,DATETIME
STATUS,STRING
CREATION_DATE,DATETIME
CREATED_BY,NUMERIC
LAST_UPDATE_LOGIN,NUMERIC
ENTERED_DR,NUMERIC
ENTERED_CR,NUMERIC
ACCOUNTED_DR,NUMERIC
ACCOUNTED_CR,NUMERIC
DESCRIPTION,STRING
REFERENCE_1,STRING
REFERENCE_2,STRING
REFERENCE_3,STRING
REFERENCE_4,STRING
REFERENCE_5,STRING
ATTRIBUTE1,STRING
ATTRIBUTE2,STRING
ATTRIBUTE3,STRING
ATTRIBUTE4,STRING
ATTRIBUTE5,STRING
ATTRIBUTE6,STRING
ATTRIBUTE7,STRING
ATTRIBUTE8,STRING
ATTRIBUTE9,STRING
ATTRIBUTE10,STRING
ATTRIBUTE11,STRING
ATTRIBUTE12,STRING
ATTRIBUTE13,STRING
ATTRIBUTE14,STRING
ATTRIBUTE15,STRING
ATTRIBUTE16,STRING
ATTRIBUTE17,STRING
ATTRIBUTE18,STRING
ATTRIBUTE19,STRING
ATTRIBUTE20,STRING
CONTEXT,STRING
CONTEXT2,STRING
INVOICE_DATE,DATETIME
TAX_CODE,STRING
INVOICE_IDENTIFIER,STRING
INVOICE_AMOUNT,NUMERIC
NO1,STRING
STAT_AMOUNT,NUMERIC
IGNORE_RATE_FLAG,STRING
CONTEXT3,STRING
USSGL_TRANSACTION_CODE,STRING
SUBLEDGER_DOC_SEQUENCE_ID,NUMERIC
CONTEXT4,STRING
SUBLEDGER_DOC_SEQUENCE_VALUE,NUMERIC
REFERENCE_6,STRING
REFERENCE_7,STRING
REFERENCE_8,STRING
REFERENCE_9,STRING
REFERENCE_10,STRING
GLOBAL_ATTRIBUTE_CATEGORY,STRING
GLOBAL_ATTRIBUTE1,STRING
GLOBAL_ATTRIBUTE2,STRING
GLOBAL_ATTRIBUTE3,STRING
GLOBAL_ATTRIBUTE4,STRING
GLOBAL_ATTRIBUTE5,STRING
GLOBAL_ATTRIBUTE6,STRING
GLOBAL_ATTRIBUTE7,STRING
GLOBAL_ATTRIBUTE8,STRING
GLOBAL_ATTRIBUTE9,STRING
GLOBAL_ATTRIBUTE10,STRING
JGZZ_RECON_STATUS_11I,STRING
JGZZ_RECON_DATE_11I,DATETIME
JGZZ_RECON_ID_11I,NUMERIC
JGZZ_RECON_REF_11I,STRING
JGZZ_RECON_CONTEXT_11I,STRING
TAXABLE_LINE_FLAG,STRING
TAX_TYPE_CODE,STRING
TAX_CODE_ID,NUMERIC
TAX_ROUNDING_RULE_CODE,STRING
AMOUNT_INCLUDES_TAX_FLAG,STRING
TAX_DOCUMENT_IDENTIFIER,STRING
TAX_DOCUMENT_DATE,DATETIME
TAX_CUSTOMER_NAME,STRING
TAX_CUSTOMER_REFERENCE,STRING
TAX_REGISTRATION_NUMBER,STRING
TAX_LINE_FLAG,STRING
TAX_GROUP_ID,NUMERIC
LINE_TYPE_CODE,STRING
GL_SL_LINK_ID,NUMERIC
GL_SL_LINK_TABLE,STRING
CO_THIRD_PARTY,STRING
CO_PROCESSED_FLAG,STRING
LoadBy,STRING
LoadDate,TIMESTAMP
LoadProcess,STRING
CreateBy,STRING
CreateDate,TIMESTAMP
CreateProcess,STRING
UpdateBy,STRING
UpdateDate,TIMESTAMP
UpdateProcess,STRING
InactiveInd,BOOLEAN
InactiveDate,TIMESTAMP
InactiveReason,STRING
