TargetField,DataType
ParentSystemId,INTEGER
SystemId,INTEGER
PO_DISTRIBUTION_ID,NUMERIC
LAST_UPDATE_DATE,DATETIME
LAST_UPDATED_BY,NUMERIC
PO_HEADER_ID,NUMERIC
PO_LINE_ID,NUMERIC
LINE_LOCATION_ID,NUMERIC
SET_OF_BOOKS_ID,NUMERIC
CODE_COMBINATION_ID,NUMERIC
QUANTITY_ORDERED,NUMERIC
LAST_UPDATE_LOGIN,NUMERIC
CREATION_DATE,DATETIME
CREATED_BY,NUMERIC
PO_RELEASE_ID,NUMERIC
QUANTITY_DELIVERED,NUMERIC
QUANTITY_BILLED,NUMERIC
QUANTITY_CANCELLED,NUMERIC
REQ_HEADER_REFERENCE_NUM,STRING
REQ_LINE_REFERENCE_NUM,STRING
REQ_DISTRIBUTION_ID,NUMERIC
DELIVER_TO_LOCATION_ID,NUMERIC
DELIVER_TO_PERSON_ID,NUMERIC
RATE_DATE,DATETIME
RATE,NUMERIC
AMOUNT_BILLED,NUMERIC
ACCRUED_FLAG,STRING
ENCUMBERED_FLAG,STRING
ENCUMBERED_AMOUNT,NUMERIC
UNENCUMBERED_QUANTITY,NUMERIC
UNENCUMBERED_AMOUNT,NUMERIC
FAILED_FUNDS_LOOKUP_CODE,STRING
GL_ENCUMBERED_DATE,DATETIME
GL_ENCUMBERED_PERIOD_NAME,STRING
GL_CANCELLED_DATE,DATETIME
DESTINATION_TYPE_CODE,STRING
DESTINATION_ORGANIZATION_ID,NUMERIC
DESTINATION_SUBINVENTORY,STRING
ATTRIBUTE_CATEGORY,STRING
ATTRIBUTE1,STRING
ATTRIBUTE2,STRING
ATTRIBUTE3,STRING
ATTRIBUTE4,STRING
ATTRIBUTE5,STRING
ATTRIBUTE6,STRING
ATTRIBUTE7,STRING
ATTRIBUTE8,STRING
ATTRIBUTE9,STRING
ATTRIBUTE10,STRING
ATTRIBUTE11,STRING
ATTRIBUTE12,STRING
ATTRIBUTE13,STRING
ATTRIBUTE14,STRING
ATTRIBUTE15,STRING
WIP_ENTITY_ID,NUMERIC
WIP_OPERATION_SEQ_NUM,NUMERIC
WIP_RESOURCE_SEQ_NUM,NUMERIC
WIP_REPETITIVE_SCHEDULE_ID,NUMERIC
WIP_LINE_ID,NUMERIC
BOM_RESOURCE_ID,NUMERIC
BUDGET_ACCOUNT_ID,NUMERIC
ACCRUAL_ACCOUNT_ID,NUMERIC
VARIANCE_ACCOUNT_ID,NUMERIC
PREVENT_ENCUMBRANCE_FLAG,STRING
USSGL_TRANSACTION_CODE,STRING
GOVERNMENT_CONTEXT,STRING
DESTINATION_CONTEXT,STRING
DISTRIBUTION_NUM,NUMERIC
SOURCE_DISTRIBUTION_ID,NUMERIC
REQUEST_ID,NUMERIC
PROGRAM_APPLICATION_ID,NUMERIC
PROGRAM_ID,NUMERIC
PROGRAM_UPDATE_DATE,DATETIME
PROJECT_ID,NUMERIC
TASK_ID,NUMERIC
EXPENDITURE_TYPE,STRING
PROJECT_ACCOUNTING_CONTEXT,STRING
EXPENDITURE_ORGANIZATION_ID,NUMERIC
GL_CLOSED_DATE,DATETIME
ACCRUE_ON_RECEIPT_FLAG,STRING
EXPENDITURE_ITEM_DATE,DATETIME
ORG_ID,NUMERIC
KANBAN_CARD_ID,NUMERIC
AWARD_ID,NUMERIC
MRC_RATE_DATE,STRING
MRC_RATE,STRING
MRC_ENCUMBERED_AMOUNT,STRING
MRC_UNENCUMBERED_AMOUNT,STRING
END_ITEM_UNIT_NUMBER,STRING
TAX_RECOVERY_OVERRIDE_FLAG,STRING
RECOVERABLE_TAX,NUMERIC
NONRECOVERABLE_TAX,NUMERIC
RECOVERY_RATE,NUMERIC
OKE_CONTRACT_LINE_ID,NUMERIC
OKE_CONTRACT_DELIVERABLE_ID,NUMERIC
AMOUNT_ORDERED,NUMERIC
AMOUNT_DELIVERED,NUMERIC
AMOUNT_CANCELLED,NUMERIC
DISTRIBUTION_TYPE,STRING
AMOUNT_TO_ENCUMBER,NUMERIC
INVOICE_ADJUSTMENT_FLAG,STRING
DEST_CHARGE_ACCOUNT_ID,NUMERIC
DEST_VARIANCE_ACCOUNT_ID,NUMERIC
QUANTITY_FINANCED,NUMERIC
AMOUNT_FINANCED,NUMERIC
QUANTITY_RECOUPED,NUMERIC
AMOUNT_RECOUPED,NUMERIC
RETAINAGE_WITHHELD_AMOUNT,NUMERIC
RETAINAGE_RELEASED_AMOUNT,NUMERIC
WF_ITEM_KEY,STRING
INVOICED_VAL_IN_NTFN,NUMERIC
TAX_ATTRIBUTE_UPDATE_CODE,STRING
INTERFACE_DISTRIBUTION_REF,STRING
LCM_FLAG,STRING
GROUP_LINE_ID,NUMERIC
UDA_TEMPLATE_ID,NUMERIC
DRAFT_ID,NUMERIC
AMOUNT_FUNDED,NUMERIC
FUNDED_VALUE,NUMERIC
PARTIAL_FUNDED_FLAG,STRING
QUANTITY_FUNDED,NUMERIC
AMOUNT_CHANGED_FLAG,STRING
AMOUNT_REVERSED,NUMERIC
GLOBAL_ATTRIBUTE_CATEGORY,STRING
GLOBAL_ATTRIBUTE1,STRING
GLOBAL_ATTRIBUTE2,STRING
GLOBAL_ATTRIBUTE3,STRING
GLOBAL_ATTRIBUTE4,STRING
GLOBAL_ATTRIBUTE5,STRING
GLOBAL_ATTRIBUTE6,STRING
GLOBAL_ATTRIBUTE7,STRING
GLOBAL_ATTRIBUTE8,STRING
GLOBAL_ATTRIBUTE9,STRING
GLOBAL_ATTRIBUTE10,STRING
GLOBAL_ATTRIBUTE11,STRING
GLOBAL_ATTRIBUTE12,STRING
GLOBAL_ATTRIBUTE13,STRING
GLOBAL_ATTRIBUTE14,STRING
GLOBAL_ATTRIBUTE15,STRING
GLOBAL_ATTRIBUTE16,STRING
GLOBAL_ATTRIBUTE17,STRING
GLOBAL_ATTRIBUTE18,STRING
GLOBAL_ATTRIBUTE19,STRING
GLOBAL_ATTRIBUTE20,STRING
LoadBy,STRING
LoadDate,TIMESTAMP
LoadProcess,STRING
CreateBy,STRING
CreateDate,TIMESTAMP
CreateProcess,STRING
UpdateBy,STRING
UpdateDate,TIMESTAMP
UpdateProcess,STRING
InactiveInd,BOOLEAN
InactiveDate,TIMESTAMP
InactiveReason,STRING
