TargetField,DataType
ParentSystemId,INTEGER
SystemId,INTEGER
EVENT_ID,NUMERIC
APPLICATION_ID,NUMERIC
EVENT_TYPE_CODE,STRING
EVENT_DATE,DATETIME
ENTITY_ID,NUMERIC
EVENT_STATUS_CODE,STRING
PROCESS_STATUS_CODE,STRING
REFERENCE_NUM_1,NUMERIC
REFERENCE_NUM_2,NUMERIC
REFERENCE_NUM_3,NUMERIC
REFERENCE_NUM_4,NUMERIC
REFERENCE_CHAR_1,STRING
REFERENCE_CHAR_2,STRING
REFERENCE_CHAR_3,STRING
REFERENCE_CHAR_4,STRING
REFERENCE_DATE_1,DATETIME
REFERENCE_DATE_2,DATETIME
REFERENCE_DATE_3,DATETIME
REFERENCE_DATE_4,DATETIME
EVENT_NUMBER,NUMERIC
ON_HOLD_FLAG,STRING
CREATION_DATE,DATETIME
CREATED_BY,NUMERIC
LAST_UPDATE_DATE,DATETIME
LAST_UPDATED_BY,NUMERIC
LAST_UPDATE_LOGIN,NUMERIC
PROGRAM_UPDATE_DATE,DATETIME
PROGRAM_APPLICATION_ID,NUMERIC
PROGRAM_ID,NUMERIC
REQUEST_ID,NUMERIC
UPG_BATCH_ID,NUMERIC
UPG_SOURCE_APPLICATION_ID,NUMERIC
UPG_VALID_FLAG,STRING
TRANSACTION_DATE,DATETIME
BUDGETARY_CONTROL_FLAG,STRING
MERGE_EVENT_SET_ID,NUMERIC
LoadBy,STRING
LoadDate,TIMESTAMP
LoadProcess,STRING
CreateBy,STRING
CreateDate,TIMESTAMP
CreateProcess,STRING
UpdateBy,STRING
UpdateDate,TIMESTAMP
UpdateProcess,STRING
InactiveInd,BOOLEAN
InactiveDate,TIMESTAMP
InactiveReason,STRING
