TargetField,DataType
ParentSystemId,INTEGER
SystemId,INTEGER
APPLICATION_ID,NUMERIC
ENTITY_CODE,STRING
EVENT_CLASS_CODE,STRING
EVENT_TYPE_CODE,STRING
LANGUAGE,STRING
NAME,STRING
DESCRIPTION,STRING
SOURCE_LANG,STRING
CREATION_DATE,DATETIME
CREATED_BY,NUMERIC
LAST_UPDATE_DATE,DATETIME
LAST_UPDATED_BY,NUMERIC
LAST_UPDATE_LOGIN,NUMERIC
LoadBy,STRING
LoadDate,TIMESTAMP
LoadProcess,STRING
CreateBy,STRING
CreateDate,TIMESTAMP
CreateProcess,STRING
UpdateBy,STRING
UpdateDate,TIMESTAMP
UpdateProcess,STRING
InactiveInd,BOOLEAN
InactiveDate,TIMESTAMP
InactiveReason,STRING
