TargetField,DataType
ParentSystemId,INTEGER
SystemId,INTEGER
LEGAL_ENTITY_ID,NUMERIC
PARTY_ID,NUMERIC
LEGAL_ENTITY_IDENTIFIER,STRING
NAME,STRING
GEOGRAPHY_ID,NUMERIC
TRANSACTING_ENTITY_FLAG,STRING
EFFECTIVE_FROM,DATE
EFFECTIVE_TO,DATE
LE_INFORMATION_CONTEXT,STRING
LE_INFORMATION1,STRING
LE_INFORMATION2,STRING
LE_INFORMATION3,STRING
LE_INFORMATION4,STRING
LE_INFORMATION5,STRING
LE_INFORMATION6,STRING
LE_INFORMATION7,STRING
LE_INFORMATION8,STRING
LE_INFORMATION9,STRING
LE_INFORMATION10,STRING
LE_INFORMATION11,STRING
LE_INFORMATION12,STRING
LE_INFORMATION13,STRING
LE_INFORMATION14,STRING
LE_INFORMATION15,STRING
LE_INFORMATION16,STRING
LE_INFORMATION17,STRING
LE_INFORMATION18,STRING
LE_INFORMATION19,STRING
LE_INFORMATION20,STRING
LAST_UPDATED_BY,NUMERIC
CREATION_DATE,DATETIME
LAST_UPDATE_LOGIN,NUMERIC
LAST_UPDATE_DATE,DATETIME
CREATED_BY,NUMERIC
OBJECT_VERSION_NUMBER,NUMERIC
ATTRIBUTE_CATEGORY,STRING
ATTRIBUTE1,STRING
ATTRIBUTE2,STRING
ATTRIBUTE3,STRING
ATTRIBUTE4,STRING
ATTRIBUTE5,STRING
ATTRIBUTE6,STRING
ATTRIBUTE7,STRING
ATTRIBUTE8,STRING
ATTRIBUTE9,STRING
ATTRIBUTE10,STRING
ATTRIBUTE11,STRING
ATTRIBUTE12,STRING
ATTRIBUTE13,STRING
ATTRIBUTE14,STRING
ATTRIBUTE15,STRING
ATTRIBUTE16,STRING
ATTRIBUTE17,STRING
ATTRIBUTE18,STRING
ATTRIBUTE19,STRING
ATTRIBUTE20,STRING
ACTIVITY_CODE,STRING
SUB_ACTIVITY_CODE,STRING
TYPE_OF_COMPANY,STRING
LoadBy,STRING
LoadDate,TIMESTAMP
LoadProcess,STRING
CreateBy,STRING
CreateDate,TIMESTAMP
CreateProcess,STRING
UpdateBy,STRING
UpdateDate,TIMESTAMP
UpdateProcess,STRING
InactiveInd,BOOLEAN
InactiveDate,TIMESTAMP
InactiveReason,STRING
