TargetField,DataType
ParentSystemId,INTEGER
SystemId,INTEGER
LINE_LOCATION_ID,NUMERIC
LAST_UPDATE_DATE,DATETIME
LAST_UPDATED_BY,NUMERIC
PO_HEADER_ID,NUMERIC
PO_LINE_ID,NUMERIC
LAST_UPDATE_LOGIN,NUMERIC
CREATION_DATE,DATETIME
CREATED_BY,NUMERIC
QUANTITY,NUMERIC
QUANTITY_RECEIVED,NUMERIC
QUANTITY_ACCEPTED,NUMERIC
QUANTITY_REJECTED,NUMERIC
QUANTITY_BILLED,NUMERIC
QUANTITY_CANCELLED,NUMERIC
UNIT_MEAS_LOOKUP_CODE,STRING
PO_RELEASE_ID,NUMERIC
SHIP_TO_LOCATION_ID,NUMERIC
SHIP_VIA_LOOKUP_CODE,STRING
NEED_BY_DATE,DATETIME
PROMISED_DATE,DATETIME
LAST_ACCEPT_DATE,DATETIME
PRICE_OVERRIDE,NUMERIC
ENCUMBERED_FLAG,STRING
ENCUMBERED_DATE,DATETIME
UNENCUMBERED_QUANTITY,NUMERIC
FOB_LOOKUP_CODE,STRING
FREIGHT_TERMS_LOOKUP_CODE,STRING
TAXABLE_FLAG,STRING
TAX_NAME,STRING
ESTIMATED_TAX_AMOUNT,NUMERIC
FROM_HEADER_ID,NUMERIC
FROM_LINE_ID,NUMERIC
FROM_LINE_LOCATION_ID,NUMERIC
START_DATE,DATETIME
END_DATE,DATETIME
LEAD_TIME,NUMERIC
LEAD_TIME_UNIT,STRING
PRICE_DISCOUNT,NUMERIC
TERMS_ID,NUMERIC
APPROVED_FLAG,STRING
APPROVED_DATE,DATETIME
CLOSED_FLAG,STRING
CANCEL_FLAG,STRING
CANCELLED_BY,NUMERIC
CANCEL_DATE,DATETIME
CANCEL_REASON,STRING
FIRM_STATUS_LOOKUP_CODE,STRING
FIRM_DATE,DATETIME
ATTRIBUTE_CATEGORY,STRING
ATTRIBUTE1,STRING
ATTRIBUTE2,STRING
ATTRIBUTE3,STRING
ATTRIBUTE4,STRING
ATTRIBUTE5,STRING
ATTRIBUTE6,STRING
ATTRIBUTE7,STRING
ATTRIBUTE8,STRING
ATTRIBUTE9,STRING
ATTRIBUTE10,STRING
UNIT_OF_MEASURE_CLASS,STRING
ENCUMBER_NOW,STRING
ATTRIBUTE11,STRING
ATTRIBUTE12,STRING
ATTRIBUTE13,STRING
ATTRIBUTE14,STRING
ATTRIBUTE15,STRING
INSPECTION_REQUIRED_FLAG,STRING
RECEIPT_REQUIRED_FLAG,STRING
QTY_RCV_TOLERANCE,NUMERIC
QTY_RCV_EXCEPTION_CODE,STRING
ENFORCE_SHIP_TO_LOCATION_CODE,STRING
ALLOW_SUBSTITUTE_RECEIPTS_FLAG,STRING
DAYS_EARLY_RECEIPT_ALLOWED,NUMERIC
DAYS_LATE_RECEIPT_ALLOWED,NUMERIC
RECEIPT_DAYS_EXCEPTION_CODE,STRING
INVOICE_CLOSE_TOLERANCE,NUMERIC
RECEIVE_CLOSE_TOLERANCE,NUMERIC
SHIP_TO_ORGANIZATION_ID,NUMERIC
SHIPMENT_NUM,NUMERIC
SOURCE_SHIPMENT_ID,NUMERIC
SHIPMENT_TYPE,STRING
CLOSED_CODE,STRING
REQUEST_ID,NUMERIC
PROGRAM_APPLICATION_ID,NUMERIC
PROGRAM_ID,NUMERIC
PROGRAM_UPDATE_DATE,DATETIME
USSGL_TRANSACTION_CODE,STRING
GOVERNMENT_CONTEXT,STRING
RECEIVING_ROUTING_ID,NUMERIC
ACCRUE_ON_RECEIPT_FLAG,STRING
CLOSED_REASON,STRING
CLOSED_DATE,DATETIME
CLOSED_BY,NUMERIC
ORG_ID,NUMERIC
GLOBAL_ATTRIBUTE1,STRING
GLOBAL_ATTRIBUTE2,STRING
GLOBAL_ATTRIBUTE3,STRING
GLOBAL_ATTRIBUTE4,STRING
GLOBAL_ATTRIBUTE5,STRING
GLOBAL_ATTRIBUTE6,STRING
GLOBAL_ATTRIBUTE7,STRING
GLOBAL_ATTRIBUTE8,STRING
GLOBAL_ATTRIBUTE9,STRING
GLOBAL_ATTRIBUTE10,STRING
GLOBAL_ATTRIBUTE11,STRING
GLOBAL_ATTRIBUTE12,STRING
GLOBAL_ATTRIBUTE13,STRING
GLOBAL_ATTRIBUTE14,STRING
GLOBAL_ATTRIBUTE15,STRING
GLOBAL_ATTRIBUTE16,STRING
GLOBAL_ATTRIBUTE17,STRING
GLOBAL_ATTRIBUTE18,STRING
GLOBAL_ATTRIBUTE19,STRING
GLOBAL_ATTRIBUTE20,STRING
GLOBAL_ATTRIBUTE_CATEGORY,STRING
QUANTITY_SHIPPED,NUMERIC
COUNTRY_OF_ORIGIN_CODE,STRING
TAX_USER_OVERRIDE_FLAG,STRING
MATCH_OPTION,STRING
TAX_CODE_ID,NUMERIC
CALCULATE_TAX_FLAG,STRING
CHANGE_PROMISED_DATE_REASON,STRING
NOTE_TO_RECEIVER,STRING
SECONDARY_QUANTITY,NUMERIC
SECONDARY_UNIT_OF_MEASURE,STRING
PREFERRED_GRADE,STRING
SECONDARY_QUANTITY_RECEIVED,NUMERIC
SECONDARY_QUANTITY_ACCEPTED,NUMERIC
SECONDARY_QUANTITY_REJECTED,NUMERIC
SECONDARY_QUANTITY_CANCELLED,NUMERIC
VMI_FLAG,STRING
CONSIGNED_FLAG,STRING
RETROACTIVE_DATE,DATETIME
SUPPLIER_ORDER_LINE_NUMBER,STRING
AMOUNT,NUMERIC
AMOUNT_RECEIVED,NUMERIC
AMOUNT_BILLED,NUMERIC
AMOUNT_CANCELLED,NUMERIC
AMOUNT_REJECTED,NUMERIC
AMOUNT_ACCEPTED,NUMERIC
DROP_SHIP_FLAG,STRING
SALES_ORDER_UPDATE_DATE,DATETIME
TRANSACTION_FLOW_HEADER_ID,NUMERIC
MANUAL_PRICE_CHANGE_FLAG,STRING
FINAL_MATCH_FLAG,STRING
SHIPMENT_CLOSED_DATE,DATETIME
CLOSED_FOR_RECEIVING_DATE,DATETIME
CLOSED_FOR_INVOICE_DATE,DATETIME
SECONDARY_QUANTITY_SHIPPED,NUMERIC
VALUE_BASIS,STRING
MATCHING_BASIS,STRING
PAYMENT_TYPE,STRING
DESCRIPTION,STRING
WORK_APPROVER_ID,NUMERIC
BID_PAYMENT_ID,NUMERIC
QUANTITY_FINANCED,NUMERIC
AMOUNT_FINANCED,NUMERIC
QUANTITY_RECOUPED,NUMERIC
AMOUNT_RECOUPED,NUMERIC
RETAINAGE_WITHHELD_AMOUNT,NUMERIC
RETAINAGE_RELEASED_AMOUNT,NUMERIC
AMOUNT_SHIPPED,NUMERIC
OUTSOURCED_ASSEMBLY,NUMERIC
TAX_ATTRIBUTE_UPDATE_CODE,STRING
ORIGINAL_SHIPMENT_ID,NUMERIC
LCM_FLAG,STRING
UDA_TEMPLATE_ID,NUMERIC
DRAFT_ID,NUMERIC
LoadBy,STRING
LoadDate,TIMESTAMP
LoadProcess,STRING
CreateBy,STRING
CreateDate,TIMESTAMP
CreateProcess,STRING
UpdateBy,STRING
UpdateDate,TIMESTAMP
UpdateProcess,STRING
InactiveInd,BOOLEAN
InactiveDate,TIMESTAMP
InactiveReason,STRING
