TargetField,DataType
ParentSystemId,INTEGER
SystemId,INTEGER
REQUISITION_HEADER_ID,NUMERIC
PREPARER_ID,NUMERIC
LAST_UPDATE_DATE,DATETIME
LAST_UPDATED_BY,NUMERIC
SEGMENT1,STRING
SUMMARY_FLAG,STRING
ENABLED_FLAG,STRING
SEGMENT2,STRING
SEGMENT3,STRING
SEGMENT4,STRING
SEGMENT5,STRING
START_DATE_ACTIVE,DATETIME
END_DATE_ACTIVE,DATETIME
LAST_UPDATE_LOGIN,NUMERIC
CREATION_DATE,DATETIME
CREATED_BY,NUMERIC
DESCRIPTION,STRING
AUTHORIZATION_STATUS,STRING
NOTE_TO_AUTHORIZER,STRING
TYPE_LOOKUP_CODE,STRING
TRANSFERRED_TO_OE_FLAG,STRING
ATTRIBUTE_CATEGORY,STRING
ATTRIBUTE1,STRING
ATTRIBUTE2,STRING
ATTRIBUTE3,STRING
ATTRIBUTE4,STRING
ATTRIBUTE5,STRING
ON_LINE_FLAG,STRING
PRELIMINARY_RESEARCH_FLAG,STRING
RESEARCH_COMPLETE_FLAG,STRING
PREPARER_FINISHED_FLAG,STRING
PREPARER_FINISHED_DATE,DATETIME
AGENT_RETURN_FLAG,STRING
AGENT_RETURN_NOTE,STRING
CANCEL_FLAG,STRING
ATTRIBUTE6,STRING
ATTRIBUTE7,STRING
ATTRIBUTE8,STRING
ATTRIBUTE9,STRING
ATTRIBUTE10,STRING
ATTRIBUTE11,STRING
ATTRIBUTE12,STRING
ATTRIBUTE13,STRING
ATTRIBUTE14,STRING
ATTRIBUTE15,STRING
USSGL_TRANSACTION_CODE,STRING
GOVERNMENT_CONTEXT,STRING
REQUEST_ID,NUMERIC
PROGRAM_APPLICATION_ID,NUMERIC
PROGRAM_ID,NUMERIC
PROGRAM_UPDATE_DATE,DATETIME
INTERFACE_SOURCE_CODE,STRING
INTERFACE_SOURCE_LINE_ID,NUMERIC
CLOSED_CODE,STRING
ORG_ID,NUMERIC
WF_ITEM_TYPE,STRING
WF_ITEM_KEY,STRING
EMERGENCY_PO_NUM,STRING
PCARD_ID,NUMERIC
APPS_SOURCE_CODE,STRING
CBC_ACCOUNTING_DATE,DATETIME
CHANGE_PENDING_FLAG,STRING
ACTIVE_SHOPPING_CART_FLAG,STRING
CONTRACTOR_STATUS,STRING
CONTRACTOR_REQUISITION_FLAG,STRING
SUPPLIER_NOTIFIED_FLAG,STRING
EMERGENCY_PO_ORG_ID,NUMERIC
APPROVED_DATE,DATETIME
TAX_ATTRIBUTE_UPDATE_CODE,STRING
FIRST_APPROVER_ID,NUMERIC
FIRST_POSITION_ID,NUMERIC
FEDERAL_FLAG,STRING
CONFORMED_HEADER_ID,NUMERIC
REVISION_NUM,NUMERIC
AMENDMENT_TYPE,STRING
AMENDMENT_STATUS,STRING
AMENDMENT_REASON,STRING
UDA_TEMPLATE_ID,NUMERIC
UDA_TEMPLATE_DATE,DATETIME
CLM_ISSUING_OFFICE,STRING
CLM_COTR_OFFICE,STRING
CLM_COTR_CONTACT,STRING
CLM_PRIORITY_CODE,STRING
SUGGESTED_AWARD_NO,STRING
LoadBy,STRING
LoadDate,TIMESTAMP
LoadProcess,STRING
CreateBy,STRING
CreateDate,TIMESTAMP
CreateProcess,STRING
UpdateBy,STRING
UpdateDate,TIMESTAMP
UpdateProcess,STRING
InactiveInd,BOOLEAN
InactiveDate,TIMESTAMP
InactiveReason,STRING
