TargetField,DataType
ParentSystemId,INTEGER
SystemId,INTEGER
REQUISITION_LINE_ID,NUMERIC
REQUISITION_HEADER_ID,NUMERIC
LINE_NUM,NUMERIC
LINE_TYPE_ID,NUMERIC
CATEGORY_ID,NUMERIC
ITEM_DESCRIPTION,STRING
UNIT_MEAS_LOOKUP_CODE,STRING
UNIT_PRICE,NUMERIC
QUANTITY,NUMERIC
DELIVER_TO_LOCATION_ID,NUMERIC
TO_PERSON_ID,NUMERIC
LAST_UPDATE_DATE,DATETIME
LAST_UPDATED_BY,NUMERIC
SOURCE_TYPE_CODE,STRING
LAST_UPDATE_LOGIN,NUMERIC
CREATION_DATE,DATETIME
CREATED_BY,NUMERIC
ITEM_ID,NUMERIC
ITEM_REVISION,STRING
QUANTITY_DELIVERED,NUMERIC
SUGGESTED_BUYER_ID,NUMERIC
ENCUMBERED_FLAG,STRING
RFQ_REQUIRED_FLAG,STRING
NEED_BY_DATE,DATETIME
LINE_LOCATION_ID,NUMERIC
MODIFIED_BY_AGENT_FLAG,STRING
PARENT_REQ_LINE_ID,NUMERIC
JUSTIFICATION,STRING
NOTE_TO_AGENT,STRING
NOTE_TO_RECEIVER,STRING
PURCHASING_AGENT_ID,NUMERIC
DOCUMENT_TYPE_CODE,STRING
BLANKET_PO_HEADER_ID,NUMERIC
BLANKET_PO_LINE_NUM,NUMERIC
CURRENCY_CODE,STRING
RATE_TYPE,STRING
RATE_DATE,DATETIME
RATE,NUMERIC
CURRENCY_UNIT_PRICE,NUMERIC
SUGGESTED_VENDOR_NAME,STRING
SUGGESTED_VENDOR_LOCATION,STRING
SUGGESTED_VENDOR_CONTACT,STRING
SUGGESTED_VENDOR_PHONE,STRING
SUGGESTED_VENDOR_PRODUCT_CODE,STRING
UN_NUMBER_ID,NUMERIC
HAZARD_CLASS_ID,NUMERIC
MUST_USE_SUGG_VENDOR_FLAG,STRING
REFERENCE_NUM,STRING
ON_RFQ_FLAG,STRING
URGENT_FLAG,STRING
CANCEL_FLAG,STRING
SOURCE_ORGANIZATION_ID,NUMERIC
SOURCE_SUBINVENTORY,STRING
DESTINATION_TYPE_CODE,STRING
DESTINATION_ORGANIZATION_ID,NUMERIC
DESTINATION_SUBINVENTORY,STRING
QUANTITY_CANCELLED,NUMERIC
CANCEL_DATE,DATETIME
CANCEL_REASON,STRING
CLOSED_CODE,STRING
AGENT_RETURN_NOTE,STRING
CHANGED_AFTER_RESEARCH_FLAG,STRING
VENDOR_ID,NUMERIC
VENDOR_SITE_ID,NUMERIC
VENDOR_CONTACT_ID,NUMERIC
RESEARCH_AGENT_ID,NUMERIC
ON_LINE_FLAG,STRING
WIP_ENTITY_ID,NUMERIC
WIP_LINE_ID,NUMERIC
WIP_REPETITIVE_SCHEDULE_ID,NUMERIC
WIP_OPERATION_SEQ_NUM,NUMERIC
WIP_RESOURCE_SEQ_NUM,NUMERIC
ATTRIBUTE_CATEGORY,STRING
DESTINATION_CONTEXT,STRING
INVENTORY_SOURCE_CONTEXT,STRING
VENDOR_SOURCE_CONTEXT,STRING
ATTRIBUTE1,STRING
ATTRIBUTE2,STRING
ATTRIBUTE3,STRING
ATTRIBUTE4,STRING
ATTRIBUTE5,STRING
ATTRIBUTE6,STRING
ATTRIBUTE7,STRING
ATTRIBUTE8,STRING
ATTRIBUTE9,STRING
ATTRIBUTE10,STRING
ATTRIBUTE11,STRING
ATTRIBUTE12,STRING
ATTRIBUTE13,STRING
ATTRIBUTE14,STRING
ATTRIBUTE15,STRING
BOM_RESOURCE_ID,NUMERIC
REQUEST_ID,NUMERIC
PROGRAM_APPLICATION_ID,NUMERIC
PROGRAM_ID,NUMERIC
PROGRAM_UPDATE_DATE,DATETIME
USSGL_TRANSACTION_CODE,STRING
GOVERNMENT_CONTEXT,STRING
CLOSED_REASON,STRING
CLOSED_DATE,DATETIME
TRANSACTION_REASON_CODE,STRING
QUANTITY_RECEIVED,NUMERIC
SOURCE_REQ_LINE_ID,NUMERIC
ORG_ID,NUMERIC
GLOBAL_ATTRIBUTE1,STRING
GLOBAL_ATTRIBUTE2,STRING
GLOBAL_ATTRIBUTE3,STRING
GLOBAL_ATTRIBUTE4,STRING
GLOBAL_ATTRIBUTE5,STRING
GLOBAL_ATTRIBUTE6,STRING
GLOBAL_ATTRIBUTE7,STRING
GLOBAL_ATTRIBUTE8,STRING
GLOBAL_ATTRIBUTE9,STRING
GLOBAL_ATTRIBUTE10,STRING
GLOBAL_ATTRIBUTE11,STRING
GLOBAL_ATTRIBUTE12,STRING
GLOBAL_ATTRIBUTE13,STRING
GLOBAL_ATTRIBUTE14,STRING
GLOBAL_ATTRIBUTE15,STRING
GLOBAL_ATTRIBUTE16,STRING
GLOBAL_ATTRIBUTE17,STRING
GLOBAL_ATTRIBUTE18,STRING
GLOBAL_ATTRIBUTE19,STRING
GLOBAL_ATTRIBUTE20,STRING
GLOBAL_ATTRIBUTE_CATEGORY,STRING
KANBAN_CARD_ID,NUMERIC
CATALOG_TYPE,STRING
CATALOG_SOURCE,STRING
MANUFACTURER_ID,NUMERIC
MANUFACTURER_NAME,STRING
MANUFACTURER_PART_NUMBER,STRING
REQUESTER_EMAIL,STRING
REQUESTER_FAX,STRING
REQUESTER_PHONE,STRING
UNSPSC_CODE,STRING
OTHER_CATEGORY_CODE,STRING
SUPPLIER_DUNS,STRING
TAX_STATUS_INDICATOR,STRING
PCARD_FLAG,STRING
NEW_SUPPLIER_FLAG,STRING
AUTO_RECEIVE_FLAG,STRING
NOTE_TO_VENDOR,STRING
TAX_USER_OVERRIDE_FLAG,STRING
TAX_CODE_ID,NUMERIC
OKE_CONTRACT_VERSION_ID,NUMERIC
OKE_CONTRACT_HEADER_ID,NUMERIC
ITEM_SOURCE_ID,NUMERIC
SUPPLIER_REF_NUMBER,STRING
SECONDARY_UNIT_OF_MEASURE,STRING
SECONDARY_QUANTITY,NUMERIC
PREFERRED_GRADE,STRING
SECONDARY_QUANTITY_RECEIVED,NUMERIC
SECONDARY_QUANTITY_CANCELLED,NUMERIC
VMI_FLAG,STRING
AUCTION_HEADER_ID,NUMERIC
AUCTION_DISPLAY_NUMBER,STRING
AUCTION_LINE_NUMBER,NUMERIC
REQS_IN_POOL_FLAG,STRING
BID_NUMBER,NUMERIC
BID_LINE_NUMBER,NUMERIC
NONCAT_TEMPLATE_ID,NUMERIC
SUGGESTED_VENDOR_CONTACT_FAX,STRING
SUGGESTED_VENDOR_CONTACT_EMAIL,STRING
AMOUNT,NUMERIC
CURRENCY_AMOUNT,NUMERIC
LABOR_REQ_LINE_ID,NUMERIC
JOB_ID,NUMERIC
JOB_LONG_DESCRIPTION,STRING
CONTRACTOR_STATUS,STRING
CONTACT_INFORMATION,STRING
SUGGESTED_SUPPLIER_FLAG,STRING
CANDIDATE_SCREENING_REQD_FLAG,STRING
CANDIDATE_FIRST_NAME,STRING
CANDIDATE_LAST_NAME,STRING
ASSIGNMENT_END_DATE,DATETIME
OVERTIME_ALLOWED_FLAG,STRING
CONTRACTOR_REQUISITION_FLAG,STRING
DROP_SHIP_FLAG,STRING
ASSIGNMENT_START_DATE,DATETIME
ORDER_TYPE_LOOKUP_CODE,STRING
PURCHASE_BASIS,STRING
MATCHING_BASIS,STRING
NEGOTIATED_BY_PREPARER_FLAG,STRING
SHIP_METHOD,STRING
ESTIMATED_PICKUP_DATE,DATETIME
SUPPLIER_NOTIFIED_FOR_CANCEL,STRING
BASE_UNIT_PRICE,NUMERIC
TRANSFERRED_TO_OE_FLAG,STRING
AT_SOURCING_FLAG,STRING
TAX_ATTRIBUTE_UPDATE_CODE,STRING
TAX_NAME,STRING
CONFORMED_LINE_ID,NUMERIC
AMENDMENT_TYPE,STRING
AMENDMENT_STATUS,STRING
LINE_NUM_DISPLAY,STRING
GROUP_LINE_ID,NUMERIC
CLM_INFO_FLAG,STRING
CLM_OPTION_INDICATOR,STRING
CLM_BASE_LINE_NUM,NUMERIC
CLM_OPTION_NUM,NUMERIC
CLM_OPTION_FROM_DATE,DATETIME
CLM_OPTION_TO_DATE,DATETIME
CLM_FUNDED_FLAG,STRING
UDA_TEMPLATE_ID,NUMERIC
CONTRACT_TYPE,STRING
COST_CONSTRAINT,STRING
AMENDMENT_RESPONSE_REASON,STRING
