SourceField,DataType
AMOUNT,FLOAT
BANK_ACCOUNT_ID,INTEGER
BANK_ACCOUNT_NAME,STRING
CHECK_DATE,TIMESTAMP
CHECK_ID,INTEGER
CHECK_NUMBER,INTEGER
CURRENCY_CODE,STRING
LAST_UPDATED_BY,INTEGER
LAST_UPDATE_DATE,TIMESTAMP
PAYMENT_METHOD_LOOKUP_CODE,STRING
PAYMENT_TYPE_FLAG,STRING
ADDRESS_LINE1,STRING
ADDRESS_LINE2,STRING
ADDRESS_LINE3,STRING
CHECKRUN_NAME,STRING
CHECK_FORMAT_ID,STRING
CHECK_STOCK_ID,INTEGER
CITY,STRING
COUNTRY,STRING
CREATED_BY,INTEGER
CREATION_DATE,TIMESTAMP
LAST_UPDATE_LOGIN,INTEGER
STATUS_LOOKUP_CODE,STRING
VENDOR_NAME,STRING
VENDOR_SITE_CODE,STRING
ZIP,STRING
BANK_ACCOUNT_NUM,STRING
BANK_ACCOUNT_TYPE,STRING
BANK_NUM,STRING
CHECK_VOUCHER_NUM,STRING
CLEARED_AMOUNT,FLOAT
CLEARED_DATE,TIMESTAMP
DOC_CATEGORY_CODE,STRING
DOC_SEQUENCE_ID,INTEGER
DOC_SEQUENCE_VALUE,INTEGER
PROVINCE,STRING
RELEASED_AT,STRING
RELEASED_BY,STRING
STATE,STRING
STOPPED_AT,STRING
STOPPED_BY,STRING
VOID_DATE,TIMESTAMP
ATTRIBUTE1,STRING
ATTRIBUTE10,STRING
ATTRIBUTE11,STRING
ATTRIBUTE12,STRING
ATTRIBUTE13,STRING
ATTRIBUTE14,STRING
ATTRIBUTE15,STRING
ATTRIBUTE2,STRING
ATTRIBUTE3,STRING
ATTRIBUTE4,STRING
ATTRIBUTE5,STRING
ATTRIBUTE6,STRING
ATTRIBUTE7,STRING
ATTRIBUTE8,STRING
ATTRIBUTE9,STRING
ATTRIBUTE_CATEGORY,STRING
FUTURE_PAY_DUE_DATE,TIMESTAMP
TREASURY_PAY_DATE,STRING
TREASURY_PAY_NUMBER,STRING
USSGL_TRANSACTION_CODE,STRING
USSGL_TRX_CODE_CONTEXT,STRING
WITHHOLDING_STATUS_LOOKUP_CODE,STRING
RECONCILIATION_BATCH_ID,STRING
CLEARED_BASE_AMOUNT,FLOAT
CLEARED_EXCHANGE_RATE,FLOAT
CLEARED_EXCHANGE_DATE,TIMESTAMP
CLEARED_EXCHANGE_RATE_TYPE,STRING
ADDRESS_LINE4,STRING
COUNTY,STRING
ADDRESS_STYLE,STRING
ORG_ID,INTEGER
VENDOR_ID,INTEGER
VENDOR_SITE_ID,INTEGER
EXCHANGE_RATE,FLOAT
EXCHANGE_DATE,TIMESTAMP
EXCHANGE_RATE_TYPE,STRING
BASE_AMOUNT,FLOAT
CHECKRUN_ID,INTEGER
REQUEST_ID,INTEGER
CLEARED_ERROR_AMOUNT,INTEGER
CLEARED_CHARGES_AMOUNT,INTEGER
CLEARED_ERROR_BASE_AMOUNT,INTEGER
CLEARED_CHARGES_BASE_AMOUNT,INTEGER
POSITIVE_PAY_STATUS_CODE,STRING
GLOBAL_ATTRIBUTE_CATEGORY,STRING
GLOBAL_ATTRIBUTE1,STRING
GLOBAL_ATTRIBUTE2,STRING
GLOBAL_ATTRIBUTE3,STRING
GLOBAL_ATTRIBUTE4,STRING
GLOBAL_ATTRIBUTE5,STRING
GLOBAL_ATTRIBUTE6,STRING
GLOBAL_ATTRIBUTE7,STRING
