SourceField,DataType
INVOICE_ID,INTEGER
LAST_UPDATE_DATE,TIMESTAMP
LAST_UPDATED_BY,INTEGER
VENDOR_ID,INTEGER
INVOICE_NUM,STRING
SET_OF_BOOKS_ID,INTEGER
INVOICE_CURRENCY_CODE,STRING
PAYMENT_CURRENCY_CODE,STRING
PAYMENT_CROSS_RATE,INTEGER
INVOICE_AMOUNT,FLOAT
VENDOR_SITE_ID,INTEGER
AMOUNT_PAID,FLOAT
DISCOUNT_AMOUNT_TAKEN,FLOAT
INVOICE_DATE,TIMESTAMP
SOURCE,STRING
INVOICE_TYPE_LOOKUP_CODE,STRING
DESCRIPTION,STRING
BATCH_ID,STRING
AMOUNT_APPLICABLE_TO_DISCOUNT,FLOAT
TAX_AMOUNT,STRING
TERMS_ID,INTEGER
TERMS_DATE,TIMESTAMP
PAYMENT_METHOD_LOOKUP_CODE,STRING
PAY_GROUP_LOOKUP_CODE,STRING
ACCTS_PAY_CODE_COMBINATION_ID,INTEGER
PAYMENT_STATUS_FLAG,STRING
CREATION_DATE,TIMESTAMP
CREATED_BY,INTEGER
BASE_AMOUNT,FLOAT
VAT_CODE,STRING
LAST_UPDATE_LOGIN,INTEGER
EXCLUSIVE_PAYMENT_FLAG,BOOLEAN
PO_HEADER_ID,STRING
FREIGHT_AMOUNT,STRING
GOODS_RECEIVED_DATE,STRING
INVOICE_RECEIVED_DATE,TIMESTAMP
VOUCHER_NUM,STRING
APPROVED_AMOUNT,FLOAT
RECURRING_PAYMENT_ID,STRING
EXCHANGE_RATE,FLOAT
EXCHANGE_RATE_TYPE,STRING
EXCHANGE_DATE,TIMESTAMP
EARLIEST_SETTLEMENT_DATE,TIMESTAMP
ORIGINAL_PREPAYMENT_AMOUNT,STRING
DOC_SEQUENCE_ID,INTEGER
DOC_SEQUENCE_VALUE,INTEGER
DOC_CATEGORY_CODE,STRING
ATTRIBUTE1,STRING
ATTRIBUTE2,STRING
ATTRIBUTE3,STRING
ATTRIBUTE4,STRING
ATTRIBUTE5,STRING
ATTRIBUTE6,STRING
ATTRIBUTE7,STRING
ATTRIBUTE8,STRING
ATTRIBUTE9,STRING
ATTRIBUTE10,STRING
ATTRIBUTE11,STRING
ATTRIBUTE12,STRING
ATTRIBUTE13,STRING
ATTRIBUTE14,STRING
ATTRIBUTE15,INTEGER
ATTRIBUTE_CATEGORY,BOOLEAN
APPROVAL_STATUS,STRING
APPROVAL_DESCRIPTION,STRING
INVOICE_DISTRIBUTION_TOTAL,STRING
POSTING_STATUS,STRING
PREPAY_FLAG,BOOLEAN
AUTHORIZED_BY,STRING
CANCELLED_DATE,TIMESTAMP
CANCELLED_BY,INTEGER
CANCELLED_AMOUNT,FLOAT
TEMP_CANCELLED_AMOUNT,FLOAT
PROJECT_ACCOUNTING_CONTEXT,STRING
USSGL_TRANSACTION_CODE,STRING
USSGL_TRX_CODE_CONTEXT,STRING
PROJECT_ID,STRING
TASK_ID,STRING
EXPENDITURE_TYPE,STRING
EXPENDITURE_ITEM_DATE,STRING
PA_QUANTITY,STRING
EXPENDITURE_ORGANIZATION_ID,STRING
PA_DEFAULT_DIST_CCID,STRING
VENDOR_PREPAY_AMOUNT,INTEGER
PAYMENT_AMOUNT_TOTAL,STRING
AWT_FLAG,STRING
AWT_GROUP_ID,STRING
REFERENCE_1,STRING
REFERENCE_2,STRING
ORG_ID,INTEGER
PRE_WITHHOLDING_AMOUNT,STRING
GLOBAL_ATTRIBUTE_CATEGORY,STRING
GLOBAL_ATTRIBUTE1,BOOLEAN
GLOBAL_ATTRIBUTE2,STRING
GLOBAL_ATTRIBUTE3,STRING
GLOBAL_ATTRIBUTE4,STRING
GLOBAL_ATTRIBUTE5,STRING
GLOBAL_ATTRIBUTE6,STRING
GLOBAL_ATTRIBUTE7,STRING
GLOBAL_ATTRIBUTE8,STRING
GLOBAL_ATTRIBUTE9,STRING
GLOBAL_ATTRIBUTE10,STRING
GLOBAL_ATTRIBUTE11,STRING
GLOBAL_ATTRIBUTE12,STRING
GLOBAL_ATTRIBUTE13,STRING
GLOBAL_ATTRIBUTE14,STRING
GLOBAL_ATTRIBUTE15,STRING
GLOBAL_ATTRIBUTE16,STRING
GLOBAL_ATTRIBUTE17,STRING
GLOBAL_ATTRIBUTE18,STRING
GLOBAL_ATTRIBUTE19,STRING
GLOBAL_ATTRIBUTE20,STRING
AUTO_TAX_CALC_FLAG,STRING
PAYMENT_CROSS_RATE_TYPE,STRING
PAYMENT_CROSS_RATE_DATE,TIMESTAMP
PAY_CURR_INVOICE_AMOUNT,FLOAT
MRC_BASE_AMOUNT,STRING
MRC_EXCHANGE_RATE,STRING
MRC_EXCHANGE_RATE_TYPE,STRING
MRC_EXCHANGE_DATE,STRING
MRC_POSTING_STATUS,STRING
GL_DATE,TIMESTAMP
AWARD_ID,STRING
PAID_ON_BEHALF_EMPLOYEE_ID,STRING
AMT_DUE_CCARD_COMPANY,STRING
AMT_DUE_EMPLOYEE,STRING
APPROVAL_READY_FLAG,BOOLEAN
APPROVAL_ITERATION,INTEGER
WFAPPROVAL_STATUS,STRING
REQUESTER_ID,STRING
VALIDATION_REQUEST_ID,STRING
VALIDATED_TAX_AMOUNT,FLOAT
QUICK_CREDIT,BOOLEAN
CREDITED_INVOICE_ID,STRING
DISTRIBUTION_SET_ID,STRING
APPLICATION_ID,STRING
PRODUCT_TABLE,STRING
REFERENCE_KEY1,STRING
REFERENCE_KEY2,STRING
REFERENCE_KEY3,STRING
REFERENCE_KEY4,STRING
REFERENCE_KEY5,STRING
TOTAL_TAX_AMOUNT,FLOAT
SELF_ASSESSED_TAX_AMOUNT,INTEGER
TAX_RELATED_INVOICE_ID,STRING
TRX_BUSINESS_CATEGORY,STRING
USER_DEFINED_FISC_CLASS,STRING
TAXATION_COUNTRY,STRING
DOCUMENT_SUB_TYPE,STRING
SUPPLIER_TAX_INVOICE_NUMBER,STRING
SUPPLIER_TAX_INVOICE_DATE,STRING
SUPPLIER_TAX_EXCHANGE_RATE,STRING
TAX_INVOICE_RECORDING_DATE,STRING
TAX_INVOICE_INTERNAL_SEQ,STRING
LEGAL_ENTITY_ID,INTEGER
HISTORICAL_FLAG,STRING
FORCE_REVALIDATION_FLAG,BOOLEAN
BANK_CHARGE_BEARER,STRING
REMITTANCE_MESSAGE1,STRING
REMITTANCE_MESSAGE2,STRING
REMITTANCE_MESSAGE3,STRING
UNIQUE_REMITTANCE_IDENTIFIER,STRING
URI_CHECK_DIGIT,STRING
SETTLEMENT_PRIORITY,STRING
PAYMENT_REASON_CODE,STRING
PAYMENT_REASON_COMMENTS,STRING
PAYMENT_METHOD_CODE,STRING
DELIVERY_CHANNEL_CODE,STRING
QUICK_PO_HEADER_ID,INTEGER
NET_OF_RETAINAGE_FLAG,BOOLEAN
RELEASE_AMOUNT_NET_OF_TAX,STRING
CONTROL_AMOUNT,STRING
PARTY_ID,INTEGER
PARTY_SITE_ID,INTEGER
PAY_PROC_TRXN_TYPE_CODE,STRING
PAYMENT_FUNCTION,STRING
CUST_REGISTRATION_CODE,STRING
CUST_REGISTRATION_NUMBER,STRING
PORT_OF_ENTRY_CODE,STRING
EXTERNAL_BANK_ACCOUNT_ID,INTEGER
VENDOR_CONTACT_ID,STRING
INTERNAL_CONTACT_EMAIL,STRING
DISC_IS_INV_LESS_TAX_FLAG,BOOLEAN
EXCLUDE_FREIGHT_FROM_DISCOUNT,BOOLEAN
PAY_AWT_GROUP_ID,INTEGER
ORIGINAL_INVOICE_AMOUNT,STRING
DISPUTE_REASON,STRING
REMIT_TO_SUPPLIER_NAME,STRING
REMIT_TO_SUPPLIER_ID,STRING
REMIT_TO_SUPPLIER_SITE,STRING
REMIT_TO_SUPPLIER_SITE_ID,STRING
RELATIONSHIP_ID,STRING
