SourceField,DataType
ACCOUNTING_DATE,TIMESTAMP
ACCRUAL_POSTED_FLAG,BOOLEAN
ASSETS_ADDITION_FLAG,STRING
ASSETS_TRACKING_FLAG,BOOLEAN
CASH_POSTED_FLAG,BOOLEAN
DISTRIBUTION_LINE_NUMBER,INTEGER
DIST_CODE_COMBINATION_ID,INTEGER
INVOICE_ID,INTEGER
LAST_UPDATED_BY,INTEGER
LAST_UPDATE_DATE,TIMESTAMP
LINE_TYPE_LOOKUP_CODE,STRING
PERIOD_NAME,STRING
SET_OF_BOOKS_ID,INTEGER
ACCTS_PAY_CODE_COMBINATION_ID,STRING
AMOUNT,FLOAT
BASE_AMOUNT,FLOAT
BASE_INVOICE_PRICE_VARIANCE,STRING
BATCH_ID,STRING
CREATED_BY,INTEGER
CREATION_DATE,TIMESTAMP
DESCRIPTION,STRING
EXCHANGE_RATE_VARIANCE,STRING
FINAL_MATCH_FLAG,BOOLEAN
INCOME_TAX_REGION,STRING
INVOICE_PRICE_VARIANCE,STRING
LAST_UPDATE_LOGIN,INTEGER
MATCH_STATUS_FLAG,STRING
POSTED_FLAG,BOOLEAN
PO_DISTRIBUTION_ID,INTEGER
PROGRAM_APPLICATION_ID,INTEGER
PROGRAM_ID,INTEGER
PROGRAM_UPDATE_DATE,TIMESTAMP
QUANTITY_INVOICED,FLOAT
RATE_VAR_CODE_COMBINATION_ID,STRING
REQUEST_ID,INTEGER
REVERSAL_FLAG,BOOLEAN
TYPE_1099,STRING
UNIT_PRICE,FLOAT
AMOUNT_ENCUMBERED,STRING
BASE_AMOUNT_ENCUMBERED,STRING
ENCUMBERED_FLAG,BOOLEAN
EXCHANGE_DATE,STRING
EXCHANGE_RATE,STRING
EXCHANGE_RATE_TYPE,STRING
PRICE_ADJUSTMENT_FLAG,STRING
PRICE_VAR_CODE_COMBINATION_ID,INTEGER
QUANTITY_UNENCUMBERED,STRING
STAT_AMOUNT,STRING
AMOUNT_TO_POST,STRING
ATTRIBUTE1,STRING
ATTRIBUTE10,STRING
ATTRIBUTE11,INTEGER
ATTRIBUTE12,FLOAT
ATTRIBUTE13,STRING
ATTRIBUTE14,STRING
ATTRIBUTE15,STRING
ATTRIBUTE2,STRING
ATTRIBUTE3,STRING
ATTRIBUTE4,STRING
ATTRIBUTE5,STRING
ATTRIBUTE6,STRING
ATTRIBUTE7,STRING
ATTRIBUTE8,STRING
ATTRIBUTE9,STRING
ATTRIBUTE_CATEGORY,STRING
BASE_AMOUNT_TO_POST,STRING
CASH_JE_BATCH_ID,STRING
EXPENDITURE_ITEM_DATE,TIMESTAMP
EXPENDITURE_ORGANIZATION_ID,INTEGER
EXPENDITURE_TYPE,STRING
JE_BATCH_ID,STRING
PARENT_INVOICE_ID,STRING
PA_ADDITION_FLAG,STRING
PA_QUANTITY,FLOAT
POSTED_AMOUNT,INTEGER
POSTED_BASE_AMOUNT,INTEGER
PREPAY_AMOUNT_REMAINING,INTEGER
PROJECT_ACCOUNTING_CONTEXT,STRING
PROJECT_ID,INTEGER
TASK_ID,INTEGER
USSGL_TRANSACTION_CODE,STRING
USSGL_TRX_CODE_CONTEXT,STRING
EARLIEST_SETTLEMENT_DATE,STRING
REQ_DISTRIBUTION_ID,STRING
QUANTITY_VARIANCE,FLOAT
BASE_QUANTITY_VARIANCE,FLOAT
PACKET_ID,STRING
AWT_FLAG,STRING
AWT_GROUP_ID,STRING
AWT_TAX_RATE_ID,INTEGER
AWT_GROSS_AMOUNT,FLOAT
AWT_INVOICE_ID,INTEGER
AWT_ORIGIN_GROUP_ID,INTEGER
REFERENCE_1,STRING
REFERENCE_2,STRING
ORG_ID,INTEGER
OTHER_INVOICE_ID,STRING
AWT_INVOICE_PAYMENT_ID,INTEGER
GLOBAL_ATTRIBUTE_CATEGORY,STRING
GLOBAL_ATTRIBUTE1,STRING
GLOBAL_ATTRIBUTE2,STRING
GLOBAL_ATTRIBUTE3,INTEGER
GLOBAL_ATTRIBUTE4,STRING
GLOBAL_ATTRIBUTE5,INTEGER
GLOBAL_ATTRIBUTE6,STRING
GLOBAL_ATTRIBUTE7,STRING
GLOBAL_ATTRIBUTE8,STRING
GLOBAL_ATTRIBUTE9,STRING
GLOBAL_ATTRIBUTE10,STRING
GLOBAL_ATTRIBUTE11,STRING
GLOBAL_ATTRIBUTE12,STRING
GLOBAL_ATTRIBUTE13,STRING
GLOBAL_ATTRIBUTE14,STRING
GLOBAL_ATTRIBUTE15,STRING
GLOBAL_ATTRIBUTE16,STRING
GLOBAL_ATTRIBUTE17,STRING
GLOBAL_ATTRIBUTE18,STRING
GLOBAL_ATTRIBUTE19,STRING
GLOBAL_ATTRIBUTE20,STRING
LINE_GROUP_NUMBER,STRING
RECEIPT_VERIFIED_FLAG,STRING
RECEIPT_REQUIRED_FLAG,STRING
RECEIPT_MISSING_FLAG,STRING
JUSTIFICATION,STRING
EXPENSE_GROUP,STRING
START_EXPENSE_DATE,STRING
END_EXPENSE_DATE,STRING
RECEIPT_CURRENCY_CODE,STRING
RECEIPT_CONVERSION_RATE,FLOAT
RECEIPT_CURRENCY_AMOUNT,FLOAT
DAILY_AMOUNT,STRING
WEB_PARAMETER_ID,STRING
ADJUSTMENT_REASON,STRING
AWARD_ID,STRING
MRC_ACCRUAL_POSTED_FLAG,STRING
MRC_CASH_POSTED_FLAG,STRING
MRC_DIST_CODE_COMBINATION_ID,STRING
MRC_AMOUNT,STRING
MRC_BASE_AMOUNT,STRING
MRC_BASE_INV_PRICE_VARIANCE,STRING
MRC_EXCHANGE_RATE_VARIANCE,STRING
MRC_POSTED_FLAG,STRING
MRC_PROGRAM_APPLICATION_ID,STRING
MRC_PROGRAM_ID,STRING
MRC_PROGRAM_UPDATE_DATE,STRING
MRC_RATE_VAR_CCID,STRING
MRC_REQUEST_ID,STRING
MRC_EXCHANGE_DATE,STRING
MRC_EXCHANGE_RATE,STRING
MRC_EXCHANGE_RATE_TYPE,STRING
MRC_AMOUNT_TO_POST,STRING
MRC_BASE_AMOUNT_TO_POST,STRING
MRC_CASH_JE_BATCH_ID,STRING
MRC_JE_BATCH_ID,STRING
MRC_POSTED_AMOUNT,STRING
MRC_POSTED_BASE_AMOUNT,STRING
MRC_RECEIPT_CONVERSION_RATE,STRING
CREDIT_CARD_TRX_ID,STRING
DIST_MATCH_TYPE,STRING
RCV_TRANSACTION_ID,STRING
INVOICE_DISTRIBUTION_ID,INTEGER
PARENT_REVERSAL_ID,INTEGER
TAX_RECOVERABLE_FLAG,BOOLEAN
PA_CC_AR_INVOICE_ID,STRING
PA_CC_AR_INVOICE_LINE_NUM,STRING
PA_CC_PROCESSED_CODE,STRING
MERCHANT_DOCUMENT_NUMBER,STRING
MERCHANT_NAME,STRING
MERCHANT_REFERENCE,STRING
MERCHANT_TAX_REG_NUMBER,STRING
MERCHANT_TAXPAYER_ID,STRING
COUNTRY_OF_SUPPLY,STRING
MATCHED_UOM_LOOKUP_CODE,STRING
GMS_BURDENABLE_RAW_COST,STRING
ACCOUNTING_EVENT_ID,INTEGER
PREPAY_DISTRIBUTION_ID,STRING
UPGRADE_POSTED_AMT,STRING
UPGRADE_BASE_POSTED_AMT,STRING
INVENTORY_TRANSFER_STATUS,BOOLEAN
COMPANY_PREPAID_INVOICE_ID,STRING
CC_REVERSAL_FLAG,STRING
AWT_WITHHELD_AMT,STRING
INVOICE_INCLUDES_PREPAY_FLAG,STRING
PRICE_CORRECT_INV_ID,STRING
PRICE_CORRECT_QTY,STRING
PA_CMT_XFACE_FLAG,STRING
CANCELLATION_FLAG,BOOLEAN
INVOICE_LINE_NUMBER,INTEGER
CORRECTED_INVOICE_DIST_ID,STRING
ROUNDING_AMT,FLOAT
CHARGE_APPLICABLE_TO_DIST_ID,INTEGER
CORRECTED_QUANTITY,STRING
RELATED_ID,INTEGER
ASSET_BOOK_TYPE_CODE,STRING
ASSET_CATEGORY_ID,STRING
DISTRIBUTION_CLASS,STRING
FINAL_PAYMENT_ROUNDING,STRING
FINAL_APPLICATION_ROUNDING,STRING
AMOUNT_AT_PREPAY_XRATE,STRING
CASH_BASIS_FINAL_APP_ROUNDING,STRING
AMOUNT_AT_PREPAY_PAY_XRATE,STRING
INTENDED_USE,STRING
DETAIL_TAX_DIST_ID,INTEGER
REC_NREC_RATE,INTEGER
RECOVERY_RATE_ID,STRING
RECOVERY_RATE_NAME,STRING
RECOVERY_TYPE_CODE,STRING
RECOVERY_RATE_CODE,STRING
WITHHOLDING_TAX_CODE_ID,INTEGER
TAX_ALREADY_DISTRIBUTED_FLAG,BOOLEAN
SUMMARY_TAX_LINE_ID,INTEGER
TAXABLE_AMOUNT,STRING
TAXABLE_BASE_AMOUNT,STRING
EXTRA_PO_ERV,STRING
PREPAY_TAX_DIFF_AMOUNT,STRING
TAX_CODE_ID,INTEGER
VAT_CODE,STRING
AMOUNT_INCLUDES_TAX_FLAG,STRING
TAX_CALCULATED_FLAG,STRING
TAX_RECOVERY_RATE,STRING
TAX_RECOVERY_OVERRIDE_FLAG,BOOLEAN
TAX_CODE_OVERRIDE_FLAG,BOOLEAN
TOTAL_DIST_AMOUNT,FLOAT
TOTAL_DIST_BASE_AMOUNT,FLOAT
PREPAY_TAX_PARENT_ID,STRING
CANCELLED_FLAG,STRING
OLD_DISTRIBUTION_ID,INTEGER
OLD_DIST_LINE_NUMBER,INTEGER
AMOUNT_VARIANCE,STRING
BASE_AMOUNT_VARIANCE,STRING
HISTORICAL_FLAG,BOOLEAN
RCV_CHARGE_ADDITION_FLAG,BOOLEAN
AWT_RELATED_ID,INTEGER
RELATED_RETAINAGE_DIST_ID,STRING
RETAINED_AMOUNT_REMAINING,STRING
BC_EVENT_ID,STRING
RETAINED_INVOICE_DIST_ID,STRING
FINAL_RELEASE_ROUNDING,STRING
FULLY_PAID_ACCTD_FLAG,STRING
ROOT_DISTRIBUTION_ID,STRING
XINV_PARENT_REVERSAL_ID,STRING
RECURRING_PAYMENT_ID,STRING
RELEASE_INV_DIST_DERIVED_FROM,STRING
PAY_AWT_GROUP_ID,INTEGER
