SourceField,DataType
INVOICE_ID,INTEGER
LINE_NUMBER,INTEGER
LINE_TYPE_LOOKUP_CODE,STRING
REQUESTER_ID,INTEGER
DESCRIPTION,STRING
LINE_SOURCE,STRING
ORG_ID,INTEGER
LINE_GROUP_NUMBER,STRING
INVENTORY_ITEM_ID,STRING
ITEM_DESCRIPTION,STRING
SERIAL_NUMBER,STRING
MANUFACTURER,STRING
MODEL_NUMBER,STRING
WARRANTY_NUMBER,STRING
GENERATE_DISTS,STRING
MATCH_TYPE,STRING
DISTRIBUTION_SET_ID,STRING
ACCOUNT_SEGMENT,STRING
BALANCING_SEGMENT,STRING
COST_CENTER_SEGMENT,STRING
OVERLAY_DIST_CODE_CONCAT,STRING
DEFAULT_DIST_CCID,INTEGER
PRORATE_ACROSS_ALL_ITEMS,BOOLEAN
ACCOUNTING_DATE,TIMESTAMP
PERIOD_NAME,STRING
DEFERRED_ACCTG_FLAG,BOOLEAN
DEF_ACCTG_START_DATE,STRING
DEF_ACCTG_END_DATE,STRING
DEF_ACCTG_NUMBER_OF_PERIODS,STRING
DEF_ACCTG_PERIOD_TYPE,STRING
SET_OF_BOOKS_ID,INTEGER
AMOUNT,FLOAT
BASE_AMOUNT,FLOAT
ROUNDING_AMT,FLOAT
QUANTITY_INVOICED,FLOAT
UNIT_MEAS_LOOKUP_CODE,STRING
UNIT_PRICE,FLOAT
WFAPPROVAL_STATUS,STRING
USSGL_TRANSACTION_CODE,STRING
DISCARDED_FLAG,BOOLEAN
ORIGINAL_AMOUNT,FLOAT
ORIGINAL_BASE_AMOUNT,FLOAT
ORIGINAL_ROUNDING_AMT,STRING
CANCELLED_FLAG,BOOLEAN
INCOME_TAX_REGION,STRING
TYPE_1099,STRING
STAT_AMOUNT,STRING
PREPAY_INVOICE_ID,INTEGER
PREPAY_LINE_NUMBER,INTEGER
INVOICE_INCLUDES_PREPAY_FLAG,BOOLEAN
CORRECTED_INV_ID,STRING
CORRECTED_LINE_NUMBER,STRING
PO_HEADER_ID,INTEGER
PO_LINE_ID,INTEGER
PO_RELEASE_ID,STRING
PO_LINE_LOCATION_ID,INTEGER
PO_DISTRIBUTION_ID,INTEGER
RCV_TRANSACTION_ID,STRING
FINAL_MATCH_FLAG,BOOLEAN
ASSETS_TRACKING_FLAG,BOOLEAN
ASSET_BOOK_TYPE_CODE,STRING
ASSET_CATEGORY_ID,STRING
PROJECT_ID,STRING
TASK_ID,STRING
EXPENDITURE_TYPE,STRING
EXPENDITURE_ITEM_DATE,TIMESTAMP
EXPENDITURE_ORGANIZATION_ID,STRING
PA_QUANTITY,STRING
PA_CC_AR_INVOICE_ID,STRING
PA_CC_AR_INVOICE_LINE_NUM,STRING
PA_CC_PROCESSED_CODE,STRING
AWARD_ID,STRING
AWT_GROUP_ID,STRING
REFERENCE_1,STRING
REFERENCE_2,STRING
RECEIPT_VERIFIED_FLAG,STRING
RECEIPT_REQUIRED_FLAG,STRING
RECEIPT_MISSING_FLAG,STRING
JUSTIFICATION,STRING
EXPENSE_GROUP,STRING
START_EXPENSE_DATE,TIMESTAMP
END_EXPENSE_DATE,TIMESTAMP
RECEIPT_CURRENCY_CODE,STRING
RECEIPT_CONVERSION_RATE,FLOAT
RECEIPT_CURRENCY_AMOUNT,FLOAT
DAILY_AMOUNT,STRING
WEB_PARAMETER_ID,STRING
ADJUSTMENT_REASON,STRING
MERCHANT_DOCUMENT_NUMBER,STRING
MERCHANT_NAME,STRING
MERCHANT_REFERENCE,STRING
MERCHANT_TAX_REG_NUMBER,STRING
MERCHANT_TAXPAYER_ID,STRING
COUNTRY_OF_SUPPLY,STRING
CREDIT_CARD_TRX_ID,INTEGER
COMPANY_PREPAID_INVOICE_ID,INTEGER
CC_REVERSAL_FLAG,BOOLEAN
CREATION_DATE,TIMESTAMP
CREATED_BY,INTEGER
LAST_UPDATED_BY,INTEGER
LAST_UPDATE_DATE,TIMESTAMP
LAST_UPDATE_LOGIN,INTEGER
PROGRAM_APPLICATION_ID,INTEGER
PROGRAM_ID,INTEGER
PROGRAM_UPDATE_DATE,TIMESTAMP
REQUEST_ID,INTEGER
ATTRIBUTE_CATEGORY,STRING
ATTRIBUTE1,INTEGER
ATTRIBUTE2,FLOAT
ATTRIBUTE3,INTEGER
ATTRIBUTE4,STRING
ATTRIBUTE5,STRING
ATTRIBUTE6,BOOLEAN
ATTRIBUTE7,STRING
ATTRIBUTE8,STRING
ATTRIBUTE9,STRING
ATTRIBUTE10,STRING
ATTRIBUTE11,STRING
ATTRIBUTE12,STRING
ATTRIBUTE13,STRING
ATTRIBUTE14,STRING
ATTRIBUTE15,STRING
GLOBAL_ATTRIBUTE_CATEGORY,STRING
GLOBAL_ATTRIBUTE1,STRING
GLOBAL_ATTRIBUTE2,STRING
GLOBAL_ATTRIBUTE3,STRING
GLOBAL_ATTRIBUTE4,STRING
GLOBAL_ATTRIBUTE5,STRING
GLOBAL_ATTRIBUTE6,STRING
GLOBAL_ATTRIBUTE7,STRING
GLOBAL_ATTRIBUTE8,STRING
GLOBAL_ATTRIBUTE9,STRING
GLOBAL_ATTRIBUTE10,STRING
GLOBAL_ATTRIBUTE11,STRING
GLOBAL_ATTRIBUTE12,STRING
GLOBAL_ATTRIBUTE13,STRING
GLOBAL_ATTRIBUTE14,STRING
GLOBAL_ATTRIBUTE15,STRING
GLOBAL_ATTRIBUTE16,STRING
GLOBAL_ATTRIBUTE17,STRING
GLOBAL_ATTRIBUTE18,STRING
GLOBAL_ATTRIBUTE19,STRING
GLOBAL_ATTRIBUTE20,STRING
LINE_SELECTED_FOR_APPL_FLAG,STRING
PREPAY_APPL_REQUEST_ID,STRING
APPLICATION_ID,INTEGER
PRODUCT_TABLE,STRING
REFERENCE_KEY1,INTEGER
REFERENCE_KEY2,INTEGER
REFERENCE_KEY3,STRING
REFERENCE_KEY4,STRING
REFERENCE_KEY5,STRING
PURCHASING_CATEGORY_ID,STRING
COST_FACTOR_ID,STRING
CONTROL_AMOUNT,STRING
ASSESSABLE_VALUE,FLOAT
TOTAL_REC_TAX_AMOUNT,FLOAT
TOTAL_NREC_TAX_AMOUNT,FLOAT
TOTAL_REC_TAX_AMT_FUNCL_CURR,FLOAT
TOTAL_NREC_TAX_AMT_FUNCL_CURR,FLOAT
INCLUDED_TAX_AMOUNT,INTEGER
PRIMARY_INTENDED_USE,STRING
TAX_ALREADY_CALCULATED_FLAG,BOOLEAN
SHIP_TO_LOCATION_ID,INTEGER
PRODUCT_TYPE,STRING
PRODUCT_CATEGORY,STRING
PRODUCT_FISC_CLASSIFICATION,STRING
USER_DEFINED_FISC_CLASS,STRING
TRX_BUSINESS_CATEGORY,STRING
SUMMARY_TAX_LINE_ID,INTEGER
TAX_REGIME_CODE,STRING
TAX,STRING
TAX_JURISDICTION_CODE,STRING
TAX_STATUS_CODE,STRING
TAX_RATE_ID,INTEGER
TAX_RATE_CODE,STRING
TAX_RATE,FLOAT
TAX_CODE_ID,STRING
HISTORICAL_FLAG,STRING
TAX_CLASSIFICATION_CODE,STRING
SOURCE_APPLICATION_ID,STRING
SOURCE_EVENT_CLASS_CODE,STRING
SOURCE_ENTITY_CODE,STRING
SOURCE_TRX_ID,STRING
SOURCE_LINE_ID,STRING
SOURCE_TRX_LEVEL_TYPE,STRING
RETAINED_AMOUNT,INTEGER
RETAINED_AMOUNT_REMAINING,INTEGER
RETAINED_INVOICE_ID,STRING
RETAINED_LINE_NUMBER,STRING
LINE_SELECTED_FOR_RELEASE_FLAG,STRING
LINE_OWNER_ROLE,STRING
DISPUTABLE_FLAG,STRING
RCV_SHIPMENT_LINE_ID,STRING
