SourceField,DataType
INVOICE_ID,INTEGER
LAST_UPDATED_BY,INTEGER
LAST_UPDATE_DATE,TIMESTAMP
PAYMENT_CROSS_RATE,INTEGER
PAYMENT_NUM,INTEGER
AMOUNT_REMAINING,FLOAT
CREATED_BY,INTEGER
CREATION_DATE,TIMESTAMP
DISCOUNT_DATE,STRING
DUE_DATE,STRING
FUTURE_PAY_DUE_DATE,STRING
GROSS_AMOUNT,FLOAT
HOLD_FLAG,BOOLEAN
LAST_UPDATE_LOGIN,INTEGER
PAYMENT_METHOD_LOOKUP_CODE,STRING
PAYMENT_PRIORITY,INTEGER
PAYMENT_STATUS_FLAG,BOOLEAN
SECOND_DISCOUNT_DATE,STRING
THIRD_DISCOUNT_DATE,STRING
BATCH_ID,STRING
DISCOUNT_AMOUNT_AVAILABLE,STRING
SECOND_DISC_AMT_AVAILABLE,STRING
THIRD_DISC_AMT_AVAILABLE,STRING
ATTRIBUTE1,STRING
ATTRIBUTE10,STRING
ATTRIBUTE11,STRING
ATTRIBUTE12,STRING
ATTRIBUTE13,STRING
ATTRIBUTE14,STRING
ATTRIBUTE15,STRING
ATTRIBUTE2,STRING
ATTRIBUTE3,STRING
ATTRIBUTE4,STRING
ATTRIBUTE5,STRING
ATTRIBUTE6,STRING
ATTRIBUTE7,STRING
ATTRIBUTE8,STRING
ATTRIBUTE9,STRING
ATTRIBUTE_CATEGORY,STRING
DISCOUNT_AMOUNT_REMAINING,INTEGER
ORG_ID,INTEGER
GLOBAL_ATTRIBUTE_CATEGORY,STRING
GLOBAL_ATTRIBUTE1,STRING
GLOBAL_ATTRIBUTE2,STRING
GLOBAL_ATTRIBUTE3,STRING
GLOBAL_ATTRIBUTE4,STRING
GLOBAL_ATTRIBUTE5,STRING
GLOBAL_ATTRIBUTE6,STRING
GLOBAL_ATTRIBUTE7,STRING
GLOBAL_ATTRIBUTE8,BOOLEAN
GLOBAL_ATTRIBUTE9,STRING
GLOBAL_ATTRIBUTE10,STRING
GLOBAL_ATTRIBUTE11,STRING
GLOBAL_ATTRIBUTE12,STRING
GLOBAL_ATTRIBUTE13,STRING
GLOBAL_ATTRIBUTE14,STRING
GLOBAL_ATTRIBUTE15,STRING
GLOBAL_ATTRIBUTE16,STRING
GLOBAL_ATTRIBUTE17,STRING
GLOBAL_ATTRIBUTE18,STRING
GLOBAL_ATTRIBUTE19,STRING
GLOBAL_ATTRIBUTE20,STRING
EXTERNAL_BANK_ACCOUNT_ID,INTEGER
INV_CURR_GROSS_AMOUNT,FLOAT
CHECKRUN_ID,STRING
DBI_EVENTS_COMPLETE_FLAG,BOOLEAN
IBY_HOLD_REASON,STRING
PAYMENT_METHOD_CODE,STRING
REMITTANCE_MESSAGE1,STRING
REMITTANCE_MESSAGE2,STRING
REMITTANCE_MESSAGE3,STRING
REMIT_TO_SUPPLIER_NAME,STRING
REMIT_TO_SUPPLIER_ID,STRING
REMIT_TO_SUPPLIER_SITE,STRING
REMIT_TO_SUPPLIER_SITE_ID,STRING
RELATIONSHIP_ID,INTEGER
