SourceField,DataType
VENDOR_SITE_ID,INTEGER
LAST_UPDATE_DATE,TIMESTAMP
LAST_UPDATED_BY,INTEGER
VENDOR_ID,INTEGER
VENDOR_SITE_CODE,STRING
VENDOR_SITE_CODE_ALT,STRING
LAST_UPDATE_LOGIN,INTEGER
CREATION_DATE,TIMESTAMP
CREATED_BY,INTEGER
PURCHASING_SITE_FLAG,BOOLEAN
RFQ_ONLY_SITE_FLAG,BOOLEAN
PAY_SITE_FLAG,BOOLEAN
ATTENTION_AR_FLAG,BOOLEAN
ADDRESS_LINE1,STRING
ADDRESS_LINES_ALT,STRING
ADDRESS_LINE2,STRING
ADDRESS_LINE3,STRING
CITY,STRING
STATE,STRING
ZIP,STRING
PROVINCE,STRING
COUNTRY,STRING
AREA_CODE,STRING
PHONE,STRING
CUSTOMER_NUM,STRING
SHIP_TO_LOCATION_ID,INTEGER
BILL_TO_LOCATION_ID,INTEGER
SHIP_VIA_LOOKUP_CODE,STRING
FREIGHT_TERMS_LOOKUP_CODE,STRING
FOB_LOOKUP_CODE,STRING
INACTIVE_DATE,TIMESTAMP
FAX,STRING
FAX_AREA_CODE,STRING
TELEX,STRING
PAYMENT_METHOD_LOOKUP_CODE,STRING
BANK_ACCOUNT_NAME,STRING
BANK_ACCOUNT_NUM,STRING
BANK_NUM,STRING
BANK_ACCOUNT_TYPE,STRING
TERMS_DATE_BASIS,STRING
CURRENT_CATALOG_NUM,STRING
VAT_CODE,STRING
DISTRIBUTION_SET_ID,STRING
ACCTS_PAY_CODE_COMBINATION_ID,INTEGER
PREPAY_CODE_COMBINATION_ID,INTEGER
PAY_GROUP_LOOKUP_CODE,STRING
PAYMENT_PRIORITY,INTEGER
TERMS_ID,INTEGER
INVOICE_AMOUNT_LIMIT,STRING
PAY_DATE_BASIS_LOOKUP_CODE,STRING
ALWAYS_TAKE_DISC_FLAG,BOOLEAN
INVOICE_CURRENCY_CODE,STRING
PAYMENT_CURRENCY_CODE,STRING
HOLD_ALL_PAYMENTS_FLAG,BOOLEAN
HOLD_FUTURE_PAYMENTS_FLAG,BOOLEAN
HOLD_REASON,STRING
HOLD_UNMATCHED_INVOICES_FLAG,BOOLEAN
AP_TAX_ROUNDING_RULE,STRING
AUTO_TAX_CALC_FLAG,STRING
AUTO_TAX_CALC_OVERRIDE,BOOLEAN
AMOUNT_INCLUDES_TAX_FLAG,BOOLEAN
EXCLUSIVE_PAYMENT_FLAG,BOOLEAN
TAX_REPORTING_SITE_FLAG,BOOLEAN
ATTRIBUTE_CATEGORY,STRING
ATTRIBUTE1,STRING
ATTRIBUTE2,STRING
ATTRIBUTE3,STRING
ATTRIBUTE4,STRING
ATTRIBUTE5,STRING
ATTRIBUTE6,STRING
ATTRIBUTE7,STRING
ATTRIBUTE8,STRING
ATTRIBUTE9,STRING
ATTRIBUTE10,STRING
ATTRIBUTE11,STRING
ATTRIBUTE12,STRING
ATTRIBUTE13,STRING
ATTRIBUTE14,STRING
ATTRIBUTE15,STRING
REQUEST_ID,INTEGER
PROGRAM_APPLICATION_ID,INTEGER
PROGRAM_ID,INTEGER
PROGRAM_UPDATE_DATE,TIMESTAMP
VALIDATION_NUMBER,FLOAT
EXCLUDE_FREIGHT_FROM_DISCOUNT,BOOLEAN
VAT_REGISTRATION_NUM,STRING
OFFSET_VAT_CODE,STRING
ORG_ID,INTEGER
CHECK_DIGITS,STRING
BANK_NUMBER,STRING
ADDRESS_LINE4,STRING
COUNTY,STRING
ADDRESS_STYLE,STRING
LANGUAGE,STRING
ALLOW_AWT_FLAG,BOOLEAN
AWT_GROUP_ID,STRING
GLOBAL_ATTRIBUTE1,BOOLEAN
GLOBAL_ATTRIBUTE2,STRING
GLOBAL_ATTRIBUTE3,STRING
GLOBAL_ATTRIBUTE4,STRING
GLOBAL_ATTRIBUTE5,STRING
GLOBAL_ATTRIBUTE6,STRING
GLOBAL_ATTRIBUTE7,STRING
GLOBAL_ATTRIBUTE8,STRING
GLOBAL_ATTRIBUTE9,INTEGER
GLOBAL_ATTRIBUTE10,STRING
GLOBAL_ATTRIBUTE11,INTEGER
GLOBAL_ATTRIBUTE12,INTEGER
GLOBAL_ATTRIBUTE13,STRING
GLOBAL_ATTRIBUTE14,STRING
GLOBAL_ATTRIBUTE15,STRING
GLOBAL_ATTRIBUTE16,STRING
GLOBAL_ATTRIBUTE17,BOOLEAN
GLOBAL_ATTRIBUTE18,BOOLEAN
GLOBAL_ATTRIBUTE19,STRING
GLOBAL_ATTRIBUTE20,STRING
GLOBAL_ATTRIBUTE_CATEGORY,STRING
EDI_TRANSACTION_HANDLING,STRING
EDI_ID_NUMBER,STRING
EDI_PAYMENT_METHOD,STRING
EDI_PAYMENT_FORMAT,STRING
EDI_REMITTANCE_METHOD,STRING
BANK_CHARGE_BEARER,STRING
EDI_REMITTANCE_INSTRUCTION,STRING
BANK_BRANCH_TYPE,STRING
PAY_ON_CODE,STRING
DEFAULT_PAY_SITE_ID,STRING
PAY_ON_RECEIPT_SUMMARY_CODE,STRING
TP_HEADER_ID,STRING
ECE_TP_LOCATION_CODE,STRING
PCARD_SITE_FLAG,BOOLEAN
MATCH_OPTION,STRING
COUNTRY_OF_ORIGIN_CODE,STRING
FUTURE_DATED_PAYMENT_CCID,INTEGER
CREATE_DEBIT_MEMO_FLAG,BOOLEAN
OFFSET_TAX_FLAG,BOOLEAN
SUPPLIER_NOTIF_METHOD,STRING
EMAIL_ADDRESS,STRING
REMITTANCE_EMAIL,STRING
PRIMARY_PAY_SITE_FLAG,BOOLEAN
SHIPPING_CONTROL,STRING
SELLING_COMPANY_IDENTIFIER,STRING
GAPLESS_INV_NUM_FLAG,BOOLEAN
DUNS_NUMBER,STRING
TOLERANCE_ID,INTEGER
LOCATION_ID,INTEGER
PARTY_SITE_ID,INTEGER
SERVICES_TOLERANCE_ID,INTEGER
RETAINAGE_RATE,STRING
TCA_SYNC_STATE,STRING
TCA_SYNC_PROVINCE,STRING
TCA_SYNC_COUNTY,STRING
TCA_SYNC_CITY,STRING
TCA_SYNC_ZIP,STRING
TCA_SYNC_COUNTRY,STRING
PAY_AWT_GROUP_ID,STRING
CAGE_CODE,STRING
LEGAL_BUSINESS_NAME,STRING
DOING_BUS_AS_NAME,STRING
DIVISION_NAME,STRING
SMALL_BUSINESS_CODE,STRING
CCR_COMMENTS,STRING
DEBARMENT_START_DATE,STRING
DEBARMENT_END_DATE,STRING
ACK_LEAD_TIME,STRING
