SourceField,DataType
CASH_RECEIPT_ID,INTEGER
LAST_UPDATED_BY,INTEGER
LAST_UPDATE_DATE,TIMESTAMP
LAST_UPDATE_LOGIN,INTEGER
CREATED_BY,INTEGER
CREATION_DATE,TIMESTAMP
AMOUNT,FLOAT
SET_OF_BOOKS_ID,INTEGER
CURRENCY_CODE,STRING
RECEIVABLES_TRX_ID,INTEGER
PAY_FROM_CUSTOMER,INTEGER
STATUS,STRING
TYPE,STRING
RECEIPT_NUMBER,STRING
RECEIPT_DATE,TIMESTAMP
MISC_PAYMENT_SOURCE,STRING
COMMENTS,STRING
DISTRIBUTION_SET_ID,STRING
REVERSAL_DATE,TIMESTAMP
REVERSAL_CATEGORY,STRING
REVERSAL_REASON_CODE,STRING
REVERSAL_COMMENTS,STRING
EXCHANGE_RATE_TYPE,STRING
EXCHANGE_RATE,FLOAT
EXCHANGE_DATE,TIMESTAMP
ATTRIBUTE_CATEGORY,STRING
ATTRIBUTE1,STRING
ATTRIBUTE2,STRING
ATTRIBUTE3,STRING
ATTRIBUTE4,STRING
ATTRIBUTE5,STRING
ATTRIBUTE6,STRING
ATTRIBUTE7,STRING
ATTRIBUTE8,STRING
ATTRIBUTE9,STRING
ATTRIBUTE10,STRING
REMITTANCE_BANK_ACCOUNT_ID,STRING
ATTRIBUTE11,STRING
ATTRIBUTE12,STRING
ATTRIBUTE13,STRING
ATTRIBUTE14,STRING
ATTRIBUTE15,STRING
CONFIRMED_FLAG,BOOLEAN
CUSTOMER_BANK_ACCOUNT_ID,STRING
CUSTOMER_SITE_USE_ID,INTEGER
DEPOSIT_DATE,TIMESTAMP
PROGRAM_APPLICATION_ID,STRING
PROGRAM_ID,STRING
PROGRAM_UPDATE_DATE,STRING
RECEIPT_METHOD_ID,INTEGER
REQUEST_ID,STRING
SELECTED_FOR_FACTORING_FLAG,STRING
SELECTED_REMITTANCE_BATCH_ID,STRING
FACTOR_DISCOUNT_AMOUNT,INTEGER
USSGL_TRANSACTION_CODE,STRING
USSGL_TRANSACTION_CODE_CONTEXT,STRING
DOC_SEQUENCE_VALUE,INTEGER
DOC_SEQUENCE_ID,INTEGER
VAT_TAX_ID,STRING
REFERENCE_TYPE,STRING
REFERENCE_ID,STRING
CUSTOMER_RECEIPT_REFERENCE,STRING
OVERRIDE_REMIT_ACCOUNT_FLAG,BOOLEAN
ORG_ID,INTEGER
ANTICIPATED_CLEARING_DATE,TIMESTAMP
GLOBAL_ATTRIBUTE1,STRING
GLOBAL_ATTRIBUTE2,STRING
GLOBAL_ATTRIBUTE3,STRING
GLOBAL_ATTRIBUTE4,STRING
GLOBAL_ATTRIBUTE5,STRING
GLOBAL_ATTRIBUTE6,STRING
GLOBAL_ATTRIBUTE7,STRING
GLOBAL_ATTRIBUTE8,STRING
GLOBAL_ATTRIBUTE9,STRING
GLOBAL_ATTRIBUTE10,STRING
GLOBAL_ATTRIBUTE11,STRING
GLOBAL_ATTRIBUTE12,STRING
GLOBAL_ATTRIBUTE13,STRING
GLOBAL_ATTRIBUTE14,STRING
GLOBAL_ATTRIBUTE15,STRING
GLOBAL_ATTRIBUTE16,STRING
GLOBAL_ATTRIBUTE17,STRING
GLOBAL_ATTRIBUTE18,STRING
GLOBAL_ATTRIBUTE19,STRING
GLOBAL_ATTRIBUTE20,STRING
GLOBAL_ATTRIBUTE_CATEGORY,STRING
CUSTOMER_BANK_BRANCH_ID,STRING
ISSUER_NAME,STRING
ISSUE_DATE,STRING
ISSUER_BANK_BRANCH_ID,STRING
MRC_EXCHANGE_RATE_TYPE,STRING
MRC_EXCHANGE_RATE,STRING
MRC_EXCHANGE_DATE,STRING
PAYMENT_SERVER_ORDER_NUM,STRING
APPROVAL_CODE,STRING
ADDRESS_VERIFICATION_CODE,STRING
TAX_RATE,STRING
ACTUAL_VALUE_DATE,TIMESTAMP
POSTMARK_DATE,STRING
APPLICATION_NOTES,STRING
UNIQUE_REFERENCE,STRING
PROMISE_SOURCE,STRING
REC_VERSION_NUMBER,INTEGER
CC_ERROR_CODE,STRING
CC_ERROR_TEXT,STRING
CC_ERROR_FLAG,STRING
REMIT_BANK_ACCT_USE_ID,INTEGER
OLD_CUSTOMER_BANK_BRANCH_ID,STRING
OLD_ISSUER_BANK_BRANCH_ID,STRING
LEGAL_ENTITY_ID,INTEGER
PAYMENT_TRXN_EXTENSION_ID,STRING
AX_ACCOUNTED_FLAG,STRING
OLD_CUSTOMER_BANK_ACCOUNT_ID,STRING
CASH_APPLN_OWNER_ID,STRING
WORK_ITEM_ASSIGNMENT_DATE,STRING
WORK_ITEM_REVIEW_DATE,STRING
WORK_ITEM_STATUS_CODE,STRING
WORK_ITEM_REVIEW_NOTE,STRING
PREV_PAY_FROM_CUSTOMER,STRING
PREV_CUSTOMER_SITE_USE_ID,STRING
WORK_ITEM_EXCEPTION_REASON,STRING
AUTOMATCH_SET_ID,STRING
AUTOAPPLY_FLAG,BOOLEAN
SEQ_TYPE_LAST,STRING
