SourceField,DataType
RECEIVABLE_APPLICATION_ID,INTEGER
LAST_UPDATED_BY,INTEGER
LAST_UPDATE_DATE,TIMESTAMP
CREATED_BY,INTEGER
CREATION_DATE,TIMESTAMP
AMOUNT_APPLIED,FLOAT
GL_DATE,TIMESTAMP
CODE_COMBINATION_ID,INTEGER
SET_OF_BOOKS_ID,INTEGER
DISPLAY,BOOLEAN
APPLY_DATE,TIMESTAMP
APPLICATION_TYPE,STRING
STATUS,STRING
PAYMENT_SCHEDULE_ID,INTEGER
LAST_UPDATE_LOGIN,INTEGER
CASH_RECEIPT_ID,INTEGER
APPLIED_CUSTOMER_TRX_ID,INTEGER
APPLIED_CUSTOMER_TRX_LINE_ID,STRING
APPLIED_PAYMENT_SCHEDULE_ID,INTEGER
CUSTOMER_TRX_ID,INTEGER
LINE_APPLIED,FLOAT
TAX_APPLIED,FLOAT
FREIGHT_APPLIED,INTEGER
RECEIVABLES_CHARGES_APPLIED,INTEGER
ON_ACCOUNT_CUSTOMER,STRING
RECEIVABLES_TRX_ID,STRING
EARNED_DISCOUNT_TAKEN,INTEGER
UNEARNED_DISCOUNT_TAKEN,INTEGER
DAYS_LATE,STRING
APPLICATION_RULE,FLOAT
GL_POSTED_DATE,TIMESTAMP
COMMENTS,STRING
ATTRIBUTE_CATEGORY,STRING
ATTRIBUTE1,STRING
ATTRIBUTE2,STRING
ATTRIBUTE3,STRING
ATTRIBUTE4,STRING
ATTRIBUTE5,STRING
ATTRIBUTE6,STRING
ATTRIBUTE7,STRING
ATTRIBUTE8,STRING
ATTRIBUTE9,STRING
ATTRIBUTE10,STRING
POSTABLE,BOOLEAN
POSTING_CONTROL_ID,INTEGER
ACCTD_AMOUNT_APPLIED_FROM,FLOAT
ACCTD_AMOUNT_APPLIED_TO,FLOAT
ACCTD_EARNED_DISCOUNT_TAKEN,INTEGER
ATTRIBUTE11,STRING
ATTRIBUTE12,STRING
ATTRIBUTE13,STRING
ATTRIBUTE14,STRING
ATTRIBUTE15,STRING
CONFIRMED_FLAG,STRING
PROGRAM_APPLICATION_ID,INTEGER
PROGRAM_ID,INTEGER
PROGRAM_UPDATE_DATE,TIMESTAMP
REQUEST_ID,INTEGER
USSGL_TRANSACTION_CODE,STRING
USSGL_TRANSACTION_CODE_CONTEXT,STRING
EARNED_DISCOUNT_CCID,INTEGER
UNEARNED_DISCOUNT_CCID,INTEGER
ACCTD_UNEARNED_DISCOUNT_TAKEN,INTEGER
REVERSAL_GL_DATE,TIMESTAMP
REVERSAL_GL_DATE_CONTEXT,STRING
CASH_RECEIPT_HISTORY_ID,INTEGER
ORG_ID,INTEGER
TAX_CODE,STRING
GLOBAL_ATTRIBUTE1,STRING
GLOBAL_ATTRIBUTE2,STRING
GLOBAL_ATTRIBUTE3,STRING
GLOBAL_ATTRIBUTE4,STRING
GLOBAL_ATTRIBUTE5,STRING
GLOBAL_ATTRIBUTE6,STRING
GLOBAL_ATTRIBUTE7,STRING
GLOBAL_ATTRIBUTE8,STRING
GLOBAL_ATTRIBUTE9,STRING
GLOBAL_ATTRIBUTE10,STRING
GLOBAL_ATTRIBUTE11,STRING
GLOBAL_ATTRIBUTE12,STRING
GLOBAL_ATTRIBUTE13,STRING
GLOBAL_ATTRIBUTE14,STRING
GLOBAL_ATTRIBUTE15,STRING
GLOBAL_ATTRIBUTE16,STRING
GLOBAL_ATTRIBUTE17,STRING
GLOBAL_ATTRIBUTE18,STRING
GLOBAL_ATTRIBUTE19,STRING
GLOBAL_ATTRIBUTE20,STRING
GLOBAL_ATTRIBUTE_CATEGORY,STRING
CONS_INV_ID,STRING
CONS_INV_ID_TO,STRING
AMOUNT_APPLIED_FROM,STRING
TRANS_TO_RECEIPT_RATE,STRING
RULE_SET_ID,INTEGER
LINE_EDISCOUNTED,INTEGER
TAX_EDISCOUNTED,INTEGER
FREIGHT_EDISCOUNTED,INTEGER
CHARGES_EDISCOUNTED,INTEGER
LINE_UEDISCOUNTED,INTEGER
TAX_UEDISCOUNTED,INTEGER
FREIGHT_UEDISCOUNTED,INTEGER
CHARGES_UEDISCOUNTED,INTEGER
MRC_GL_POSTED_DATE,STRING
MRC_POSTING_CONTROL_ID,STRING
MRC_ACCTD_AMOUNT_APPLIED_FROM,STRING
MRC_ACCTD_AMOUNT_APPLIED_TO,STRING
MRC_ACCTD_EARNED_DISC_TAKEN,STRING
MRC_ACCTD_UNEARNED_DISC_TAKEN,STRING
MRC_AMOUNT_APPLIED,STRING
MRC_AMOUNT_APPLIED_FROM,STRING
MRC_DISPLAY,STRING
MRC_STATUS,STRING
MRC_PAYMENT_SCHEDULE_ID,STRING
MRC_CASH_RECEIPT_ID,STRING
EDISC_TAX_ACCT_RULE,STRING
UNEDISC_TAX_ACCT_RULE,STRING
LINK_TO_TRX_HIST_ID,STRING
LINK_TO_CUSTOMER_TRX_ID,STRING
APPLICATION_REF_TYPE,STRING
APPLICATION_REF_ID,STRING
APPLICATION_REF_NUM,STRING
CHARGEBACK_CUSTOMER_TRX_ID,STRING
SECONDARY_APPLICATION_REF_ID,STRING
PAYMENT_SET_ID,STRING
APPLICATION_REF_REASON,STRING
CUSTOMER_REFERENCE,STRING
CUSTOMER_REASON,STRING
APPLIED_REC_APP_ID,STRING
SECONDARY_APPLICATION_REF_TYPE,STRING
SECONDARY_APPLICATION_REF_NUM,STRING
ON_ACCT_CUST_ID,STRING
ON_ACCT_CUST_SITE_USE_ID,STRING
ON_ACCT_PO_NUM,STRING
EVENT_ID,INTEGER
UPGRADE_METHOD,STRING
AX_ACCOUNTED_FLAG,STRING
INCLUDE_IN_ACCUMULATION,BOOLEAN
