SourceField,DataType
DateId,INTEGER
CalendarEntityId,INTEGER
CalendarDate,DATETIME
CalendarYear,INTEGER
CalendarSemester,INTEGER
CalendarQuarter,INTEGER
CalendarMonth,INTEGER
CalendarDay,INTEGER
YearStartDate,DATETIME
YearEndDate,DATETIME
SemesterStartDate,DATETIME
SemesterEndDate,DATETIME
QuarterStartDate,DATETIME
QuarterEndDate,DATETIME
MonthStartDate,DATETIME
MonthEndDate,DATETIME
WeekSundayStartDate,DATETIME
WeekSaturdayEndDate,DATETIME
WeekMondayStartDate,DATETIME
WeekSundayEndDate,DATETIME
YearElapsedDays,INTEGER
YearRemainingDays,INTEGER
SemesterYear,STRING
SemesterElapsedDays,INTEGER
SemesterRemainingDays,INTEGER
QuarterYear,STRING
QuarterElapsedDays,INTEGER
QuarterRemainingDays,INTEGER
MonthYear,STRING
MonthString,STRING
MonthElapsedDays,INTEGER
MonthRemainingDays,INTEGER
DayOfYear,INTEGER
DayOfMonth,INTEGER
DayOfWeek,INTEGER
DayOfWeekString,STRING
WeekOfYear,INTEGER
DOWOfMonth,INTEGER
BusinessDayInd,BOOLEAN
HolidayInd,BOOLEAN
HolidayString,STRING
