SourceField,DataType
BOOK_TYPE_CODE,STRING
ASSET_ID,NUMERIC
DATE_PLACED_IN_SERVICE,DATETIME
DATE_EFFECTIVE,DATETIME
DEPRN_START_DATE,DATETIME
DEPRN_METHOD_CODE,STRING
LIFE_IN_MONTHS,NUMERIC
RATE_ADJUSTMENT_FACTOR,NUMERIC
ADJUSTED_COST,NUMERIC
COST,NUMERIC
ORIGINAL_COST,NUMERIC
SALVAGE_VALUE,NUMERIC
PRORATE_CONVENTION_CODE,STRING
PRORATE_DATE,DATETIME
COST_CHANGE_FLAG,STRING
ADJUSTMENT_REQUIRED_STATUS,STRING
CAPITALIZE_FLAG,STRING
RETIREMENT_PENDING_FLAG,STRING
DEPRECIATE_FLAG,STRING
LAST_UPDATE_DATE,DATETIME
LAST_UPDATED_BY,NUMERIC
DATE_INEFFECTIVE,DATETIME
TRANSACTION_HEADER_ID_IN,NUMERIC
TRANSACTION_HEADER_ID_OUT,NUMERIC
ITC_AMOUNT_ID,NUMERIC
ITC_AMOUNT,NUMERIC
RETIREMENT_ID,NUMERIC
TAX_REQUEST_ID,NUMERIC
ITC_BASIS,NUMERIC
BASIC_RATE,NUMERIC
ADJUSTED_RATE,NUMERIC
BONUS_RULE,STRING
CEILING_NAME,STRING
RECOVERABLE_COST,NUMERIC
LAST_UPDATE_LOGIN,NUMERIC
ADJUSTED_CAPACITY,NUMERIC
FULLY_RSVD_REVALS_COUNTER,NUMERIC
IDLED_FLAG,STRING
PERIOD_COUNTER_CAPITALIZED,NUMERIC
PERIOD_COUNTER_FULLY_RESERVED,NUMERIC
PERIOD_COUNTER_FULLY_RETIRED,NUMERIC
PRODUCTION_CAPACITY,NUMERIC
REVAL_AMORTIZATION_BASIS,NUMERIC
REVAL_CEILING,NUMERIC
UNIT_OF_MEASURE,STRING
UNREVALUED_COST,NUMERIC
ANNUAL_DEPRN_ROUNDING_FLAG,STRING
PERCENT_SALVAGE_VALUE,NUMERIC
ALLOWED_DEPRN_LIMIT,NUMERIC
ALLOWED_DEPRN_LIMIT_AMOUNT,NUMERIC
ANNUAL_ROUNDING_FLAG,STRING
PERIOD_COUNTER_LIFE_COMPLETE,NUMERIC
ADJUSTED_RECOVERABLE_COST,NUMERIC
GLOBAL_ATTRIBUTE1,STRING
GLOBAL_ATTRIBUTE2,STRING
GLOBAL_ATTRIBUTE3,STRING
GLOBAL_ATTRIBUTE4,STRING
GLOBAL_ATTRIBUTE5,STRING
GLOBAL_ATTRIBUTE6,STRING
GLOBAL_ATTRIBUTE7,STRING
GLOBAL_ATTRIBUTE8,STRING
GLOBAL_ATTRIBUTE9,STRING
GLOBAL_ATTRIBUTE10,STRING
GLOBAL_ATTRIBUTE11,STRING
GLOBAL_ATTRIBUTE12,STRING
GLOBAL_ATTRIBUTE13,STRING
GLOBAL_ATTRIBUTE14,STRING
GLOBAL_ATTRIBUTE15,STRING
GLOBAL_ATTRIBUTE16,STRING
GLOBAL_ATTRIBUTE17,STRING
GLOBAL_ATTRIBUTE18,STRING
GLOBAL_ATTRIBUTE19,STRING
GLOBAL_ATTRIBUTE20,STRING
GLOBAL_ATTRIBUTE_CATEGORY,STRING
EOFY_ADJ_COST,NUMERIC
EOFY_FORMULA_FACTOR,NUMERIC
SHORT_FISCAL_YEAR_FLAG,STRING
CONVERSION_DATE,DATETIME
ORIGINAL_DEPRN_START_DATE,DATETIME
REMAINING_LIFE1,NUMERIC
REMAINING_LIFE2,NUMERIC
OLD_ADJUSTED_COST,NUMERIC
FORMULA_FACTOR,NUMERIC
GROUP_ASSET_ID,NUMERIC
SALVAGE_TYPE,STRING
DEPRN_LIMIT_TYPE,STRING
REDUCTION_RATE,NUMERIC
REDUCE_ADDITION_FLAG,STRING
REDUCE_ADJUSTMENT_FLAG,STRING
REDUCE_RETIREMENT_FLAG,STRING
RECOGNIZE_GAIN_LOSS,STRING
RECAPTURE_RESERVE_FLAG,STRING
LIMIT_PROCEEDS_FLAG,STRING
TERMINAL_GAIN_LOSS,STRING
TRACKING_METHOD,STRING
EXCLUDE_FULLY_RSV_FLAG,STRING
EXCESS_ALLOCATION_OPTION,STRING
DEPRECIATION_OPTION,STRING
MEMBER_ROLLUP_FLAG,STRING
ALLOCATE_TO_FULLY_RSV_FLAG,STRING
ALLOCATE_TO_FULLY_RET_FLAG,STRING
TERMINAL_GAIN_LOSS_AMOUNT,NUMERIC
CIP_COST,NUMERIC
YTD_PROCEEDS,NUMERIC
LTD_PROCEEDS,NUMERIC
LTD_COST_OF_REMOVAL,NUMERIC
EOFY_RESERVE,NUMERIC
PRIOR_EOFY_RESERVE,NUMERIC
EOP_ADJ_COST,NUMERIC
EOP_FORMULA_FACTOR,NUMERIC
EXCLUDE_PROCEEDS_FROM_BASIS,STRING
RETIREMENT_DEPRN_OPTION,STRING
TERMINAL_GAIN_LOSS_FLAG,STRING
SUPER_GROUP_ID,NUMERIC
OVER_DEPRECIATE_OPTION,STRING
DISABLED_FLAG,STRING
OLD_ADJUSTED_CAPACITY,NUMERIC
CASH_GENERATING_UNIT_ID,NUMERIC
RATE_IN_USE,NUMERIC
DRY_HOLE_FLAG,STRING
CONTRACT_ID,NUMERIC
EXTENDED_DEPRN_FLAG,STRING
EXTENDED_DEPRECIATION_PERIOD,NUMERIC
PERIOD_COUNTER_FULLY_EXTENDED,NUMERIC
NBV_AT_SWITCH,NUMERIC
PRIOR_DEPRN_LIMIT_TYPE,STRING
PRIOR_DEPRN_LIMIT_AMOUNT,NUMERIC
PRIOR_DEPRN_LIMIT,NUMERIC
PRIOR_DEPRN_METHOD,STRING
PRIOR_LIFE_IN_MONTHS,NUMERIC
PRIOR_BASIC_RATE,NUMERIC
PRIOR_ADJUSTED_RATE,NUMERIC
