SourceField,DataType
BOOK_TYPE_CODE,STRING
PERIOD_NAME,STRING
PERIOD_COUNTER,NUMERIC
FISCAL_YEAR,NUMERIC
PERIOD_NUM,NUMERIC
PERIOD_OPEN_DATE,DATETIME
PERIOD_CLOSE_DATE,DATETIME
DEPRECIATION_BATCH_ID,NUMERIC
RETIREMENT_BATCH_ID,NUMERIC
RECLASS_BATCH_ID,NUMERIC
TRANSFER_BATCH_ID,NUMERIC
ADDITION_BATCH_ID,NUMERIC
ADJUSTMENT_BATCH_ID,NUMERIC
DEFERRED_DEPRN_BATCH_ID,NUMERIC
CALENDAR_PERIOD_OPEN_DATE,DATETIME
CALENDAR_PERIOD_CLOSE_DATE,DATETIME
CIP_ADDITION_BATCH_ID,NUMERIC
CIP_ADJUSTMENT_BATCH_ID,NUMERIC
CIP_RECLASS_BATCH_ID,NUMERIC
CIP_RETIREMENT_BATCH_ID,NUMERIC
CIP_REVAL_BATCH_ID,NUMERIC
CIP_TRANSFER_BATCH_ID,NUMERIC
REVAL_BATCH_ID,NUMERIC
DEPRN_ADJUSTMENT_BATCH_ID,NUMERIC
DEPRN_RUN,STRING
GL_TRANSFER_FLAG,STRING
XLA_CONVERSION_STATUS,STRING
