SourceField,DataType
DISTRIBUTION_ID,NUMERIC
BOOK_TYPE_CODE,STRING
ASSET_ID,NUMERIC
UNITS_ASSIGNED,NUMERIC
DATE_EFFECTIVE,DATETIME
CODE_COMBINATION_ID,NUMERIC
LOCATION_ID,NUMERIC
TRANSACTION_HEADER_ID_IN,NUMERIC
LAST_UPDATE_DATE,DATETIME
LAST_UPDATED_BY,NUMERIC
DATE_INEFFECTIVE,DATETIME
ASSIGNED_TO,NUMERIC
TRANSACTION_HEADER_ID_OUT,NUMERIC
TRANSACTION_UNITS,NUMERIC
RETIREMENT_ID,NUMERIC
LAST_UPDATE_LOGIN,NUMERIC
CAPITAL_ADJ_ACCOUNT_CCID,NUMERIC
GENERAL_FUND_ACCOUNT_CCID,NUMERIC
