SourceField,DataType
FLEX_VALUE_SET_ID,INTEGER
FLEX_VALUE_SET_NAME,STRING
LAST_UPDATE_DATE,TIMESTAMP
LAST_UPDATED_BY,INTEGER
CREATION_DATE,TIMESTAMP
CREATED_BY,INTEGER
LAST_UPDATE_LOGIN,INTEGER
VALIDATION_TYPE,STRING
PROTECTED_FLAG,BOOLEAN
SECURITY_ENABLED_FLAG,STRING
LONGLIST_FLAG,STRING
FORMAT_TYPE,STRING
MAXIMUM_SIZE,INTEGER
ALPHANUMERIC_ALLOWED_FLAG,BOOLEAN
UPPERCASE_ONLY_FLAG,BOOLEAN
NUMERIC_MODE_ENABLED_FLAG,STRING
DESCRIPTION,STRING
DEPENDANT_DEFAULT_VALUE,STRING
DEPENDANT_DEFAULT_MEANING,STRING
PARENT_FLEX_VALUE_SET_ID,INTEGER
MINIMUM_VALUE,STRING
MAXIMUM_VALUE,STRING
NUMBER_PRECISION,INTEGER
