SourceField,DataType
LOOKUP_TYPE,STRING
LANGUAGE,STRING
LOOKUP_CODE,STRING
MEANING,STRING
DESCRIPTION,STRING
ENABLED_FLAG,BOOLEAN
START_DATE_ACTIVE,TIMESTAMP
END_DATE_ACTIVE,TIMESTAMP
CREATED_BY,INTEGER
CREATION_DATE,TIMESTAMP
LAST_UPDATED_BY,INTEGER
LAST_UPDATE_LOGIN,INTEGER
LAST_UPDATE_DATE,TIMESTAMP
SOURCE_LANG,STRING
SECURITY_GROUP_ID,INTEGER
VIEW_APPLICATION_ID,INTEGER
TERRITORY_CODE,STRING
ATTRIBUTE_CATEGORY,STRING
ATTRIBUTE1,STRING
ATTRIBUTE2,STRING
ATTRIBUTE3,STRING
ATTRIBUTE4,STRING
ATTRIBUTE5,STRING
ATTRIBUTE6,STRING
ATTRIBUTE7,STRING
ATTRIBUTE8,STRING
ATTRIBUTE9,STRING
ATTRIBUTE10,STRING
ATTRIBUTE11,STRING
ATTRIBUTE12,STRING
ATTRIBUTE13,STRING
ATTRIBUTE14,STRING
ATTRIBUTE15,STRING
TAG,STRING
LEAF_NODE,STRING
