SourceField,DataType
USER_ID,INTEGER
USER_NAME,STRING
LAST_UPDATE_DATE,TIMESTAMP
LAST_UPDATED_BY,INTEGER
CREATION_DATE,TIMESTAMP
CREATED_BY,INTEGER
LAST_UPDATE_LOGIN,INTEGER
ENCRYPTED_FOUNDATION_PASSWORD,STRING
ENCRYPTED_USER_PASSWORD,STRING
SESSION_NUMBER,INTEGER
START_DATE,TIMESTAMP
END_DATE,TIMESTAMP
DESCRIPTION,STRING
LAST_LOGON_DATE,TIMESTAMP
PASSWORD_DATE,TIMESTAMP
PASSWORD_ACCESSES_LEFT,STRING
PASSWORD_LIFESPAN_ACCESSES,STRING
PASSWORD_LIFESPAN_DAYS,INTEGER
EMPLOYEE_ID,INTEGER
EMAIL_ADDRESS,STRING
FAX,STRING
CUSTOMER_ID,INTEGER
SUPPLIER_ID,STRING
WEB_PASSWORD,STRING
USER_GUID,STRING
GCN_CODE_COMBINATION_ID,STRING
PERSON_PARTY_ID,INTEGER
