SourceField,DataType
PERIOD_SET_NAME,STRING
PERIOD_NAME,STRING
LAST_UPDATE_DATE,TIMESTAMP
LAST_UPDATED_BY,INTEGER
START_DATE,TIMESTAMP
END_DATE,TIMESTAMP
YEAR_START_DATE,TIMESTAMP
QUARTER_START_DATE,TIMESTAMP
PERIOD_TYPE,STRING
PERIOD_YEAR,INTEGER
PERIOD_NUM,INTEGER
QUARTER_NUM,INTEGER
ENTERED_PERIOD_NAME,STRING
ADJUSTMENT_PERIOD_FLAG,BOOLEAN
CREATION_DATE,TIMESTAMP
CREATED_BY,INTEGER
LAST_UPDATE_LOGIN,INTEGER
DESCRIPTION,STRING
ATTRIBUTE1,STRING
ATTRIBUTE2,STRING
ATTRIBUTE3,STRING
ATTRIBUTE4,STRING
ATTRIBUTE5,STRING
ATTRIBUTE6,STRING
ATTRIBUTE7,STRING
ATTRIBUTE8,STRING
CONTEXT,STRING
