SourceField,DataType
ORGANIZATION_ID,INTEGER
BUSINESS_GROUP_ID,INTEGER
COST_ALLOCATION_KEYFLEX_ID,INTEGER
LOCATION_ID,INTEGER
SOFT_CODING_KEYFLEX_ID,STRING
DATE_FROM,TIMESTAMP
NAME,STRING
DATE_TO,TIMESTAMP
INTERNAL_EXTERNAL_FLAG,STRING
INTERNAL_ADDRESS_LINE,STRING
TYPE,STRING
REQUEST_ID,STRING
PROGRAM_APPLICATION_ID,STRING
PROGRAM_ID,STRING
PROGRAM_UPDATE_DATE,STRING
ATTRIBUTE_CATEGORY,INTEGER
ATTRIBUTE1,STRING
ATTRIBUTE2,STRING
ATTRIBUTE3,STRING
ATTRIBUTE4,STRING
ATTRIBUTE5,STRING
ATTRIBUTE6,STRING
ATTRIBUTE7,STRING
ATTRIBUTE8,STRING
ATTRIBUTE9,STRING
ATTRIBUTE10,STRING
ATTRIBUTE11,STRING
ATTRIBUTE12,STRING
ATTRIBUTE13,STRING
ATTRIBUTE14,STRING
ATTRIBUTE15,STRING
ATTRIBUTE16,STRING
ATTRIBUTE17,STRING
ATTRIBUTE18,STRING
ATTRIBUTE19,BOOLEAN
ATTRIBUTE20,BOOLEAN
LAST_UPDATE_DATE,TIMESTAMP
LAST_UPDATED_BY,INTEGER
LAST_UPDATE_LOGIN,INTEGER
CREATED_BY,INTEGER
CREATION_DATE,TIMESTAMP
OBJECT_VERSION_NUMBER,INTEGER
PARTY_ID,INTEGER
COMMENTS,STRING
ATTRIBUTE21,STRING
ATTRIBUTE22,STRING
ATTRIBUTE23,STRING
ATTRIBUTE24,STRING
ATTRIBUTE25,STRING
ATTRIBUTE26,STRING
ATTRIBUTE27,STRING
ATTRIBUTE28,STRING
ATTRIBUTE29,STRING
ATTRIBUTE30,STRING
