SourceField,DataType
PARTY_ID,INTEGER
PARTY_NUMBER,INTEGER
PARTY_NAME,STRING
PARTY_TYPE,STRING
VALIDATED_FLAG,STRING
LAST_UPDATED_BY,INTEGER
CREATION_DATE,TIMESTAMP
LAST_UPDATE_LOGIN,INTEGER
REQUEST_ID,STRING
PROGRAM_APPLICATION_ID,STRING
CREATED_BY,INTEGER
LAST_UPDATE_DATE,TIMESTAMP
PROGRAM_ID,STRING
PROGRAM_UPDATE_DATE,STRING
WH_UPDATE_DATE,STRING
ATTRIBUTE_CATEGORY,STRING
ATTRIBUTE1,BOOLEAN
ATTRIBUTE2,STRING
ATTRIBUTE3,INTEGER
ATTRIBUTE4,BOOLEAN
ATTRIBUTE5,STRING
ATTRIBUTE6,STRING
ATTRIBUTE7,STRING
ATTRIBUTE8,STRING
ATTRIBUTE9,STRING
ATTRIBUTE10,STRING
ATTRIBUTE11,STRING
ATTRIBUTE12,STRING
ATTRIBUTE13,STRING
ATTRIBUTE14,STRING
ATTRIBUTE15,STRING
ATTRIBUTE16,STRING
ATTRIBUTE17,STRING
ATTRIBUTE18,STRING
ATTRIBUTE19,STRING
ATTRIBUTE20,STRING
ATTRIBUTE21,STRING
ATTRIBUTE22,STRING
ATTRIBUTE23,STRING
ATTRIBUTE24,STRING
GLOBAL_ATTRIBUTE_CATEGORY,STRING
GLOBAL_ATTRIBUTE1,STRING
GLOBAL_ATTRIBUTE2,STRING
GLOBAL_ATTRIBUTE4,STRING
GLOBAL_ATTRIBUTE3,STRING
GLOBAL_ATTRIBUTE5,STRING
GLOBAL_ATTRIBUTE6,STRING
GLOBAL_ATTRIBUTE7,STRING
GLOBAL_ATTRIBUTE8,STRING
GLOBAL_ATTRIBUTE9,STRING
GLOBAL_ATTRIBUTE10,STRING
GLOBAL_ATTRIBUTE11,STRING
GLOBAL_ATTRIBUTE12,STRING
GLOBAL_ATTRIBUTE13,STRING
GLOBAL_ATTRIBUTE14,STRING
GLOBAL_ATTRIBUTE15,STRING
GLOBAL_ATTRIBUTE16,STRING
GLOBAL_ATTRIBUTE17,STRING
GLOBAL_ATTRIBUTE18,STRING
GLOBAL_ATTRIBUTE19,STRING
GLOBAL_ATTRIBUTE20,STRING
ORIG_SYSTEM_REFERENCE,INTEGER
SIC_CODE,STRING
HQ_BRANCH_IND,STRING
CUSTOMER_KEY,STRING
TAX_REFERENCE,STRING
JGZZ_FISCAL_CODE,STRING
DUNS_NUMBER,STRING
TAX_NAME,STRING
PERSON_PRE_NAME_ADJUNCT,STRING
PERSON_FIRST_NAME,STRING
PERSON_MIDDLE_NAME,STRING
PERSON_LAST_NAME,STRING
PERSON_NAME_SUFFIX,STRING
PERSON_TITLE,STRING
PERSON_ACADEMIC_TITLE,STRING
PERSON_PREVIOUS_LAST_NAME,STRING
KNOWN_AS,STRING
PERSON_IDEN_TYPE,STRING
PERSON_IDENTIFIER,STRING
GROUP_TYPE,STRING
COUNTRY,STRING
ADDRESS1,STRING
ADDRESS2,STRING
ADDRESS3,STRING
ADDRESS4,STRING
CITY,STRING
POSTAL_CODE,INTEGER
STATE,STRING
PROVINCE,STRING
STATUS,STRING
COUNTY,STRING
SIC_CODE_TYPE,STRING
TOTAL_NUM_OF_ORDERS,STRING
TOTAL_ORDERED_AMOUNT,STRING
LAST_ORDERED_DATE,STRING
URL,STRING
EMAIL_ADDRESS,STRING
DO_NOT_MAIL_FLAG,STRING
ANALYSIS_FY,STRING
FISCAL_YEAREND_MONTH,STRING
EMPLOYEES_TOTAL,STRING
CURR_FY_POTENTIAL_REVENUE,STRING
NEXT_FY_POTENTIAL_REVENUE,STRING
YEAR_ESTABLISHED,STRING
GSA_INDICATOR_FLAG,STRING
MISSION_STATEMENT,STRING
ORGANIZATION_NAME_PHONETIC,STRING
PERSON_FIRST_NAME_PHONETIC,STRING
PERSON_LAST_NAME_PHONETIC,STRING
LANGUAGE_NAME,STRING
CATEGORY_CODE,STRING
REFERENCE_USE_FLAG,STRING
THIRD_PARTY_FLAG,STRING
COMPETITOR_FLAG,STRING
SALUTATION,STRING
KNOWN_AS2,STRING
KNOWN_AS3,STRING
KNOWN_AS4,STRING
KNOWN_AS5,STRING
DUNS_NUMBER_C,STRING
OBJECT_VERSION_NUMBER,INTEGER
CREATED_BY_MODULE,STRING
APPLICATION_ID,INTEGER
PRIMARY_PHONE_CONTACT_PT_ID,STRING
PRIMARY_PHONE_PURPOSE,STRING
PRIMARY_PHONE_LINE_TYPE,STRING
PRIMARY_PHONE_COUNTRY_CODE,STRING
PRIMARY_PHONE_AREA_CODE,STRING
PRIMARY_PHONE_NUMBER,STRING
PRIMARY_PHONE_EXTENSION,STRING
CERTIFICATION_LEVEL,STRING
CERT_REASON_CODE,STRING
PREFERRED_CONTACT_METHOD,STRING
HOME_COUNTRY,STRING
PERSON_BO_VERSION,STRING
ORG_BO_VERSION,STRING
PERSON_CUST_BO_VERSION,STRING
ORG_CUST_BO_VERSION,STRING
