SourceField,DataType
INVOICE_ID,NUMERIC
LINE_LOCATION_ID,NUMERIC
HOLD_LOOKUP_CODE,STRING
LAST_UPDATE_DATE,DATETIME
LAST_UPDATED_BY,NUMERIC
HELD_BY,NUMERIC
HOLD_DATE,DATETIME
HOLD_REASON,STRING
RELEASE_LOOKUP_CODE,STRING
RELEASE_REASON,STRING
STATUS_FLAG,STRING
LAST_UPDATE_LOGIN,NUMERIC
CREATION_DATE,DATETIME
CREATED_BY,NUMERIC
ATTRIBUTE_CATEGORY,STRING
ATTRIBUTE1,STRING
ATTRIBUTE2,STRING
ATTRIBUTE3,STRING
ATTRIBUTE4,STRING
ATTRIBUTE5,STRING
ATTRIBUTE6,STRING
ATTRIBUTE7,STRING
ATTRIBUTE8,STRING
ATTRIBUTE9,STRING
ATTRIBUTE10,STRING
ATTRIBUTE11,STRING
ATTRIBUTE12,STRING
ATTRIBUTE13,STRING
ATTRIBUTE14,STRING
ATTRIBUTE15,STRING
ORG_ID,NUMERIC
RESPONSIBILITY_ID,NUMERIC
RCV_TRANSACTION_ID,NUMERIC
HOLD_DETAILS,STRING
LINE_NUMBER,NUMERIC
HOLD_ID,NUMERIC
WF_STATUS,STRING
