SourceField,DataType
INVOICE_ID,NUMERIC
LAST_UPDATE_DATE,DATETIME
LAST_UPDATED_BY,NUMERIC
VENDOR_ID,NUMERIC
INVOICE_NUM,STRING
SET_OF_BOOKS_ID,NUMERIC
INVOICE_CURRENCY_CODE,STRING
PAYMENT_CURRENCY_CODE,STRING
PAYMENT_CROSS_RATE,NUMERIC
INVOICE_AMOUNT,NUMERIC
VENDOR_SITE_ID,NUMERIC
AMOUNT_PAID,NUMERIC
DISCOUNT_AMOUNT_TAKEN,NUMERIC
INVOICE_DATE,DATETIME
SOURCE,STRING
INVOICE_TYPE_LOOKUP_CODE,STRING
DESCRIPTION,STRING
BATCH_ID,NUMERIC
AMOUNT_APPLICABLE_TO_DISCOUNT,NUMERIC
TAX_AMOUNT,NUMERIC
TERMS_ID,NUMERIC
TERMS_DATE,DATETIME
PAYMENT_METHOD_LOOKUP_CODE,STRING
PAY_GROUP_LOOKUP_CODE,STRING
ACCTS_PAY_CODE_COMBINATION_ID,NUMERIC
PAYMENT_STATUS_FLAG,STRING
CREATION_DATE,DATETIME
CREATED_BY,NUMERIC
BASE_AMOUNT,NUMERIC
VAT_CODE,STRING
LAST_UPDATE_LOGIN,NUMERIC
EXCLUSIVE_PAYMENT_FLAG,STRING
PO_HEADER_ID,NUMERIC
FREIGHT_AMOUNT,NUMERIC
GOODS_RECEIVED_DATE,DATETIME
INVOICE_RECEIVED_DATE,DATETIME
VOUCHER_NUM,STRING
APPROVED_AMOUNT,NUMERIC
RECURRING_PAYMENT_ID,NUMERIC
EXCHANGE_RATE,NUMERIC
EXCHANGE_RATE_TYPE,STRING
EXCHANGE_DATE,DATETIME
EARLIEST_SETTLEMENT_DATE,DATETIME
ORIGINAL_PREPAYMENT_AMOUNT,NUMERIC
DOC_SEQUENCE_ID,NUMERIC
DOC_SEQUENCE_VALUE,NUMERIC
DOC_CATEGORY_CODE,STRING
ATTRIBUTE1,STRING
ATTRIBUTE2,STRING
ATTRIBUTE3,STRING
ATTRIBUTE4,STRING
ATTRIBUTE5,STRING
ATTRIBUTE6,STRING
ATTRIBUTE7,STRING
ATTRIBUTE8,STRING
ATTRIBUTE9,STRING
ATTRIBUTE10,STRING
ATTRIBUTE11,STRING
ATTRIBUTE12,STRING
ATTRIBUTE13,STRING
ATTRIBUTE14,STRING
ATTRIBUTE15,STRING
ATTRIBUTE_CATEGORY,STRING
APPROVAL_STATUS,STRING
APPROVAL_DESCRIPTION,STRING
INVOICE_DISTRIBUTION_TOTAL,NUMERIC
POSTING_STATUS,STRING
PREPAY_FLAG,STRING
AUTHORIZED_BY,STRING
CANCELLED_DATE,DATETIME
CANCELLED_BY,NUMERIC
