SourceField,DataType
ACCOUNTING_DATE,DATETIME
ACCRUAL_POSTED_FLAG,STRING
ASSETS_ADDITION_FLAG,STRING
ASSETS_TRACKING_FLAG,STRING
CASH_POSTED_FLAG,STRING
DISTRIBUTION_LINE_NUMBER,NUMERIC
DIST_CODE_COMBINATION_ID,NUMERIC
INVOICE_ID,NUMERIC
LAST_UPDATED_BY,NUMERIC
LAST_UPDATE_DATE,DATETIME
LINE_TYPE_LOOKUP_CODE,STRING
PERIOD_NAME,STRING
SET_OF_BOOKS_ID,NUMERIC
ACCTS_PAY_CODE_COMBINATION_ID,NUMERIC
AMOUNT,NUMERIC
BASE_AMOUNT,NUMERIC
BASE_INVOICE_PRICE_VARIANCE,NUMERIC
BATCH_ID,NUMERIC
CREATED_BY,NUMERIC
CREATION_DATE,DATETIME
DESCRIPTION,STRING
EXCHANGE_RATE_VARIANCE,NUMERIC
FINAL_MATCH_FLAG,STRING
INCOME_TAX_REGION,STRING
INVOICE_PRICE_VARIANCE,NUMERIC
LAST_UPDATE_LOGIN,NUMERIC
MATCH_STATUS_FLAG,STRING
POSTED_FLAG,STRING
PO_DISTRIBUTION_ID,NUMERIC
PROGRAM_APPLICATION_ID,NUMERIC
PROGRAM_ID,NUMERIC
PROGRAM_UPDATE_DATE,DATETIME
QUANTITY_INVOICED,NUMERIC
RATE_VAR_CODE_COMBINATION_ID,NUMERIC
REQUEST_ID,NUMERIC
REVERSAL_FLAG,STRING
TYPE_1099,STRING
UNIT_PRICE,NUMERIC
AMOUNT_ENCUMBERED,NUMERIC
BASE_AMOUNT_ENCUMBERED,NUMERIC
ENCUMBERED_FLAG,STRING
EXCHANGE_DATE,DATETIME
EXCHANGE_RATE,NUMERIC
EXCHANGE_RATE_TYPE,STRING
PRICE_ADJUSTMENT_FLAG,STRING
PRICE_VAR_CODE_COMBINATION_ID,NUMERIC
QUANTITY_UNENCUMBERED,NUMERIC
STAT_AMOUNT,NUMERIC
AMOUNT_TO_POST,NUMERIC
ATTRIBUTE1,STRING
ATTRIBUTE10,STRING
ATTRIBUTE11,STRING
ATTRIBUTE12,STRING
ATTRIBUTE13,STRING
ATTRIBUTE14,STRING
ATTRIBUTE15,STRING
ATTRIBUTE2,STRING
ATTRIBUTE3,STRING
ATTRIBUTE4,STRING
ATTRIBUTE5,STRING
ATTRIBUTE6,STRING
ATTRIBUTE7,STRING
ATTRIBUTE8,STRING
ATTRIBUTE9,STRING
ATTRIBUTE_CATEGORY,STRING
BASE_AMOUNT_TO_POST,NUMERIC
CASH_JE_BATCH_ID,NUMERIC
EXPENDITURE_ITEM_DATE,DATETIME
EXPENDITURE_ORGANIZATION_ID,NUMERIC
EXPENDITURE_TYPE,STRING
JE_BATCH_ID,NUMERIC
PARENT_INVOICE_ID,NUMERIC
PA_ADDITION_FLAG,STRING
PA_QUANTITY,NUMERIC
POSTED_AMOUNT,NUMERIC
POSTED_BASE_AMOUNT,NUMERIC
PREPAY_AMOUNT_REMAINING,NUMERIC
PROJECT_ACCOUNTING_CONTEXT,STRING
PROJECT_ID,NUMERIC
TASK_ID,NUMERIC
USSGL_TRANSACTION_CODE,STRING
USSGL_TRX_CODE_CONTEXT,STRING
EARLIEST_SETTLEMENT_DATE,DATETIME
REQ_DISTRIBUTION_ID,NUMERIC
QUANTITY_VARIANCE,NUMERIC
BASE_QUANTITY_VARIANCE,NUMERIC
PACKET_ID,NUMERIC
AWT_FLAG,STRING
AWT_GROUP_ID,NUMERIC
AWT_TAX_RATE_ID,NUMERIC
AWT_GROSS_AMOUNT,NUMERIC
AWT_INVOICE_ID,NUMERIC
AWT_ORIGIN_GROUP_ID,NUMERIC
REFERENCE_1,STRING
REFERENCE_2,STRING
ORG_ID,NUMERIC
OTHER_INVOICE_ID,NUMERIC
AWT_INVOICE_PAYMENT_ID,NUMERIC
GLOBAL_ATTRIBUTE_CATEGORY,STRING
GLOBAL_ATTRIBUTE1,STRING
GLOBAL_ATTRIBUTE2,STRING
GLOBAL_ATTRIBUTE3,STRING
GLOBAL_ATTRIBUTE4,STRING
GLOBAL_ATTRIBUTE5,STRING
GLOBAL_ATTRIBUTE6,STRING
GLOBAL_ATTRIBUTE7,STRING
GLOBAL_ATTRIBUTE8,STRING
GLOBAL_ATTRIBUTE9,STRING
GLOBAL_ATTRIBUTE10,STRING
GLOBAL_ATTRIBUTE11,STRING
GLOBAL_ATTRIBUTE12,STRING
GLOBAL_ATTRIBUTE13,STRING
GLOBAL_ATTRIBUTE14,STRING
GLOBAL_ATTRIBUTE15,STRING
GLOBAL_ATTRIBUTE16,STRING
GLOBAL_ATTRIBUTE17,STRING
GLOBAL_ATTRIBUTE18,STRING
GLOBAL_ATTRIBUTE19,STRING
GLOBAL_ATTRIBUTE20,STRING
LINE_GROUP_NUMBER,NUMERIC
RECEIPT_VERIFIED_FLAG,STRING
RECEIPT_REQUIRED_FLAG,STRING
RECEIPT_MISSING_FLAG,STRING
JUSTIFICATION,STRING
EXPENSE_GROUP,STRING
START_EXPENSE_DATE,DATETIME
END_EXPENSE_DATE,DATETIME
RECEIPT_CURRENCY_CODE,STRING
RECEIPT_CONVERSION_RATE,NUMERIC
RECEIPT_CURRENCY_AMOUNT,NUMERIC
DAILY_AMOUNT,NUMERIC
WEB_PARAMETER_ID,NUMERIC
ADJUSTMENT_REASON,STRING
AWARD_ID,NUMERIC
MRC_ACCRUAL_POSTED_FLAG,STRING
MRC_CASH_POSTED_FLAG,STRING
MRC_DIST_CODE_COMBINATION_ID,STRING
MRC_AMOUNT,STRING
MRC_BASE_AMOUNT,STRING
MRC_BASE_INV_PRICE_VARIANCE,STRING
MRC_EXCHANGE_RATE_VARIANCE,STRING
MRC_POSTED_FLAG,STRING
MRC_PROGRAM_APPLICATION_ID,STRING
MRC_PROGRAM_ID,STRING
MRC_PROGRAM_UPDATE_DATE,STRING
MRC_RATE_VAR_CCID,STRING
MRC_REQUEST_ID,STRING
MRC_EXCHANGE_DATE,STRING
MRC_EXCHANGE_RATE,STRING
MRC_EXCHANGE_RATE_TYPE,STRING
MRC_AMOUNT_TO_POST,STRING
MRC_BASE_AMOUNT_TO_POST,STRING
MRC_CASH_JE_BATCH_ID,STRING
MRC_JE_BATCH_ID,STRING
MRC_POSTED_AMOUNT,STRING
MRC_POSTED_BASE_AMOUNT,STRING
MRC_RECEIPT_CONVERSION_RATE,STRING
CREDIT_CARD_TRX_ID,NUMERIC
DIST_MATCH_TYPE,STRING
RCV_TRANSACTION_ID,NUMERIC
INVOICE_DISTRIBUTION_ID,NUMERIC
PARENT_REVERSAL_ID,NUMERIC
TAX_RECOVERABLE_FLAG,STRING
PA_CC_AR_INVOICE_ID,NUMERIC
PA_CC_AR_INVOICE_LINE_NUM,NUMERIC
PA_CC_PROCESSED_CODE,STRING
MERCHANT_DOCUMENT_NUMBER,STRING
MERCHANT_NAME,STRING
MERCHANT_REFERENCE,STRING
MERCHANT_TAX_REG_NUMBER,STRING
MERCHANT_TAXPAYER_ID,STRING
COUNTRY_OF_SUPPLY,STRING
MATCHED_UOM_LOOKUP_CODE,STRING
