SourceField,DataType
ACCOUNTING_DATE,DATETIME
ACCRUAL_POSTED_FLAG,STRING
AMOUNT,NUMERIC
CASH_POSTED_FLAG,STRING
CHECK_ID,NUMERIC
INVOICE_ID,NUMERIC
INVOICE_PAYMENT_ID,NUMERIC
LAST_UPDATED_BY,NUMERIC
LAST_UPDATE_DATE,DATETIME
PAYMENT_NUM,NUMERIC
PERIOD_NAME,STRING
POSTED_FLAG,STRING
SET_OF_BOOKS_ID,NUMERIC
ACCTS_PAY_CODE_COMBINATION_ID,NUMERIC
ASSET_CODE_COMBINATION_ID,NUMERIC
CREATED_BY,NUMERIC
CREATION_DATE,DATETIME
LAST_UPDATE_LOGIN,NUMERIC
BANK_ACCOUNT_NUM,STRING
BANK_ACCOUNT_TYPE,STRING
BANK_NUM,STRING
DISCOUNT_LOST,NUMERIC
DISCOUNT_TAKEN,NUMERIC
EXCHANGE_DATE,DATETIME
EXCHANGE_RATE,NUMERIC
EXCHANGE_RATE_TYPE,STRING
GAIN_CODE_COMBINATION_ID,NUMERIC
INVOICE_BASE_AMOUNT,NUMERIC
LOSS_CODE_COMBINATION_ID,NUMERIC
PAYMENT_BASE_AMOUNT,NUMERIC
ATTRIBUTE1,STRING
ATTRIBUTE10,STRING
ATTRIBUTE11,STRING
ATTRIBUTE12,STRING
ATTRIBUTE13,STRING
ATTRIBUTE14,STRING
ATTRIBUTE15,STRING
ATTRIBUTE2,STRING
ATTRIBUTE3,STRING
ATTRIBUTE4,STRING
ATTRIBUTE5,STRING
ATTRIBUTE6,STRING
ATTRIBUTE7,STRING
ATTRIBUTE8,STRING
ATTRIBUTE9,STRING
ATTRIBUTE_CATEGORY,STRING
CASH_JE_BATCH_ID,NUMERIC
FUTURE_PAY_CODE_COMBINATION_ID,NUMERIC
FUTURE_PAY_POSTED_FLAG,STRING
JE_BATCH_ID,NUMERIC
ELECTRONIC_TRANSFER_ID,NUMERIC
ASSETS_ADDITION_FLAG,STRING
INVOICE_PAYMENT_TYPE,STRING
OTHER_INVOICE_ID,NUMERIC
ORG_ID,NUMERIC
GLOBAL_ATTRIBUTE_CATEGORY,STRING
GLOBAL_ATTRIBUTE1,STRING
GLOBAL_ATTRIBUTE2,STRING
GLOBAL_ATTRIBUTE3,STRING
GLOBAL_ATTRIBUTE4,STRING
GLOBAL_ATTRIBUTE5,STRING
GLOBAL_ATTRIBUTE6,STRING
GLOBAL_ATTRIBUTE7,STRING
GLOBAL_ATTRIBUTE8,STRING
GLOBAL_ATTRIBUTE9,STRING
GLOBAL_ATTRIBUTE10,STRING
GLOBAL_ATTRIBUTE11,STRING
GLOBAL_ATTRIBUTE12,STRING
GLOBAL_ATTRIBUTE13,STRING
GLOBAL_ATTRIBUTE14,STRING
GLOBAL_ATTRIBUTE15,STRING
GLOBAL_ATTRIBUTE16,STRING
GLOBAL_ATTRIBUTE17,STRING
GLOBAL_ATTRIBUTE18,STRING
GLOBAL_ATTRIBUTE19,STRING
GLOBAL_ATTRIBUTE20,STRING
EXTERNAL_BANK_ACCOUNT_ID,NUMERIC
MRC_ACCRUAL_POSTED_FLAG,STRING
MRC_CASH_POSTED_FLAG,STRING
MRC_POSTED_FLAG,STRING
MRC_EXCHANGE_DATE,STRING
MRC_EXCHANGE_RATE,STRING
MRC_EXCHANGE_RATE_TYPE,STRING
MRC_GAIN_CODE_COMBINATION_ID,STRING
MRC_INVOICE_BASE_AMOUNT,STRING
MRC_LOSS_CODE_COMBINATION_ID,STRING
MRC_PAYMENT_BASE_AMOUNT,STRING
MRC_CASH_JE_BATCH_ID,STRING
MRC_FUTURE_PAY_POSTED_FLAG,STRING
MRC_JE_BATCH_ID,STRING
ACCOUNTING_EVENT_ID,NUMERIC
REVERSAL_FLAG,STRING
REVERSAL_INV_PMT_ID,NUMERIC
IBAN_NUMBER,STRING
INVOICING_PARTY_ID,NUMERIC
INVOICING_PARTY_SITE_ID,NUMERIC
INVOICING_VENDOR_SITE_ID,NUMERIC
REMIT_TO_SUPPLIER_NAME,STRING
REMIT_TO_SUPPLIER_ID,NUMERIC
REMIT_TO_SUPPLIER_SITE,STRING
REMIT_TO_SUPPLIER_SITE_ID,NUMERIC
