SourceField,DataType
VENDOR_SITE_ID,NUMERIC
LAST_UPDATE_DATE,DATETIME
LAST_UPDATED_BY,NUMERIC
VENDOR_ID,NUMERIC
VENDOR_SITE_CODE,STRING
VENDOR_SITE_CODE_ALT,STRING
LAST_UPDATE_LOGIN,NUMERIC
CREATION_DATE,DATETIME
CREATED_BY,NUMERIC
PURCHASING_SITE_FLAG,STRING
RFQ_ONLY_SITE_FLAG,STRING
PAY_SITE_FLAG,STRING
ATTENTION_AR_FLAG,STRING
ADDRESS_LINE1,STRING
ADDRESS_LINES_ALT,STRING
ADDRESS_LINE2,STRING
ADDRESS_LINE3,STRING
CITY,STRING
STATE,STRING
ZIP,STRING
PROVINCE,STRING
COUNTRY,STRING
AREA_CODE,STRING
PHONE,STRING
CUSTOMER_NUM,STRING
SHIP_TO_LOCATION_ID,NUMERIC
BILL_TO_LOCATION_ID,NUMERIC
SHIP_VIA_LOOKUP_CODE,STRING
FREIGHT_TERMS_LOOKUP_CODE,STRING
FOB_LOOKUP_CODE,STRING
INACTIVE_DATE,DATETIME
FAX,STRING
FAX_AREA_CODE,STRING
TELEX,STRING
PAYMENT_METHOD_LOOKUP_CODE,STRING
BANK_ACCOUNT_NAME,STRING
BANK_ACCOUNT_NUM,STRING
BANK_NUM,STRING
BANK_ACCOUNT_TYPE,STRING
TERMS_DATE_BASIS,STRING
CURRENT_CATALOG_NUM,STRING
VAT_CODE,STRING
DISTRIBUTION_SET_ID,NUMERIC
ACCTS_PAY_CODE_COMBINATION_ID,NUMERIC
PREPAY_CODE_COMBINATION_ID,NUMERIC
PAY_GROUP_LOOKUP_CODE,STRING
PAYMENT_PRIORITY,NUMERIC
TERMS_ID,NUMERIC
INVOICE_AMOUNT_LIMIT,NUMERIC
PAY_DATE_BASIS_LOOKUP_CODE,STRING
ALWAYS_TAKE_DISC_FLAG,STRING
INVOICE_CURRENCY_CODE,STRING
PAYMENT_CURRENCY_CODE,STRING
HOLD_ALL_PAYMENTS_FLAG,STRING
HOLD_FUTURE_PAYMENTS_FLAG,STRING
HOLD_REASON,STRING
HOLD_UNMATCHED_INVOICES_FLAG,STRING
AP_TAX_ROUNDING_RULE,STRING
AUTO_TAX_CALC_FLAG,STRING
AUTO_TAX_CALC_OVERRIDE,STRING
