SourceField,DataType
RECEIVABLE_APPLICATION_ID,NUMERIC
LAST_UPDATED_BY,NUMERIC
LAST_UPDATE_DATE,DATETIME
CREATED_BY,NUMERIC
CREATION_DATE,DATETIME
AMOUNT_APPLIED,NUMERIC
GL_DATE,DATETIME
CODE_COMBINATION_ID,NUMERIC
SET_OF_BOOKS_ID,NUMERIC
DISPLAY,STRING
APPLY_DATE,DATETIME
APPLICATION_TYPE,STRING
STATUS,STRING
PAYMENT_SCHEDULE_ID,NUMERIC
LAST_UPDATE_LOGIN,NUMERIC
CASH_RECEIPT_ID,NUMERIC
APPLIED_CUSTOMER_TRX_ID,NUMERIC
APPLIED_CUSTOMER_TRX_LINE_ID,NUMERIC
APPLIED_PAYMENT_SCHEDULE_ID,NUMERIC
CUSTOMER_TRX_ID,NUMERIC
LINE_APPLIED,NUMERIC
TAX_APPLIED,NUMERIC
FREIGHT_APPLIED,NUMERIC
RECEIVABLES_CHARGES_APPLIED,NUMERIC
ON_ACCOUNT_CUSTOMER,NUMERIC
RECEIVABLES_TRX_ID,NUMERIC
EARNED_DISCOUNT_TAKEN,NUMERIC
UNEARNED_DISCOUNT_TAKEN,NUMERIC
DAYS_LATE,NUMERIC
APPLICATION_RULE,STRING
GL_POSTED_DATE,DATETIME
COMMENTS,STRING
ATTRIBUTE_CATEGORY,STRING
ATTRIBUTE1,STRING
ATTRIBUTE2,STRING
ATTRIBUTE3,STRING
ATTRIBUTE4,STRING
ATTRIBUTE5,STRING
ATTRIBUTE6,STRING
ATTRIBUTE7,STRING
ATTRIBUTE8,STRING
ATTRIBUTE9,STRING
ATTRIBUTE10,STRING
POSTABLE,STRING
POSTING_CONTROL_ID,NUMERIC
ACCTD_AMOUNT_APPLIED_FROM,NUMERIC
ACCTD_AMOUNT_APPLIED_TO,NUMERIC
ACCTD_EARNED_DISCOUNT_TAKEN,NUMERIC
ATTRIBUTE11,STRING
ATTRIBUTE12,STRING
ATTRIBUTE13,STRING
ATTRIBUTE14,STRING
ATTRIBUTE15,STRING
CONFIRMED_FLAG,STRING
PROGRAM_APPLICATION_ID,NUMERIC
PROGRAM_ID,NUMERIC
PROGRAM_UPDATE_DATE,DATETIME
REQUEST_ID,NUMERIC
USSGL_TRANSACTION_CODE,STRING
USSGL_TRANSACTION_CODE_CONTEXT,STRING
EARNED_DISCOUNT_CCID,NUMERIC
UNEARNED_DISCOUNT_CCID,NUMERIC
ACCTD_UNEARNED_DISCOUNT_TAKEN,NUMERIC
REVERSAL_GL_DATE,DATETIME
REVERSAL_GL_DATE_CONTEXT,STRING
CASH_RECEIPT_HISTORY_ID,NUMERIC
ORG_ID,NUMERIC
TAX_CODE,STRING
GLOBAL_ATTRIBUTE1,STRING
GLOBAL_ATTRIBUTE2,STRING
GLOBAL_ATTRIBUTE3,STRING
GLOBAL_ATTRIBUTE4,STRING
GLOBAL_ATTRIBUTE5,STRING
GLOBAL_ATTRIBUTE6,STRING
GLOBAL_ATTRIBUTE7,STRING
GLOBAL_ATTRIBUTE8,STRING
GLOBAL_ATTRIBUTE9,STRING
GLOBAL_ATTRIBUTE10,STRING
GLOBAL_ATTRIBUTE11,STRING
GLOBAL_ATTRIBUTE12,STRING
GLOBAL_ATTRIBUTE13,STRING
GLOBAL_ATTRIBUTE14,STRING
GLOBAL_ATTRIBUTE15,STRING
GLOBAL_ATTRIBUTE16,STRING
GLOBAL_ATTRIBUTE17,STRING
GLOBAL_ATTRIBUTE18,STRING
GLOBAL_ATTRIBUTE19,STRING
GLOBAL_ATTRIBUTE20,STRING
GLOBAL_ATTRIBUTE_CATEGORY,STRING
CONS_INV_ID,NUMERIC
CONS_INV_ID_TO,NUMERIC
AMOUNT_APPLIED_FROM,NUMERIC
TRANS_TO_RECEIPT_RATE,NUMERIC
RULE_SET_ID,NUMERIC
LINE_EDISCOUNTED,NUMERIC
TAX_EDISCOUNTED,NUMERIC
FREIGHT_EDISCOUNTED,NUMERIC
CHARGES_EDISCOUNTED,NUMERIC
LINE_UEDISCOUNTED,NUMERIC
TAX_UEDISCOUNTED,NUMERIC
FREIGHT_UEDISCOUNTED,NUMERIC
CHARGES_UEDISCOUNTED,NUMERIC
MRC_GL_POSTED_DATE,STRING
MRC_POSTING_CONTROL_ID,STRING
MRC_ACCTD_AMOUNT_APPLIED_FROM,STRING
MRC_ACCTD_AMOUNT_APPLIED_TO,STRING
MRC_ACCTD_EARNED_DISC_TAKEN,STRING
MRC_ACCTD_UNEARNED_DISC_TAKEN,STRING
MRC_AMOUNT_APPLIED,STRING
MRC_AMOUNT_APPLIED_FROM,STRING
MRC_DISPLAY,STRING
MRC_STATUS,STRING
MRC_PAYMENT_SCHEDULE_ID,STRING
MRC_CASH_RECEIPT_ID,STRING
EDISC_TAX_ACCT_RULE,STRING
UNEDISC_TAX_ACCT_RULE,STRING
LINK_TO_TRX_HIST_ID,NUMERIC
LINK_TO_CUSTOMER_TRX_ID,NUMERIC
APPLICATION_REF_TYPE,STRING
APPLICATION_REF_ID,NUMERIC
APPLICATION_REF_NUM,STRING
CHARGEBACK_CUSTOMER_TRX_ID,NUMERIC
SECONDARY_APPLICATION_REF_ID,NUMERIC
PAYMENT_SET_ID,NUMERIC
APPLICATION_REF_REASON,STRING
CUSTOMER_REFERENCE,STRING
CUSTOMER_REASON,STRING
APPLIED_REC_APP_ID,NUMERIC
SECONDARY_APPLICATION_REF_TYPE,STRING
SECONDARY_APPLICATION_REF_NUM,STRING
ON_ACCT_CUST_ID,NUMERIC
ON_ACCT_CUST_SITE_USE_ID,NUMERIC
ON_ACCT_PO_NUM,STRING
EVENT_ID,NUMERIC
UPGRADE_METHOD,STRING
AX_ACCOUNTED_FLAG,STRING
INCLUDE_IN_ACCUMULATION,STRING
