SourceField,DataType
FLEX_VALUE_SET_ID,NUMERIC
FLEX_VALUE_SET_NAME,STRING
LAST_UPDATE_DATE,DATETIME
LAST_UPDATED_BY,NUMERIC
CREATION_DATE,DATETIME
CREATED_BY,NUMERIC
LAST_UPDATE_LOGIN,NUMERIC
VALIDATION_TYPE,STRING
PROTECTED_FLAG,STRING
SECURITY_ENABLED_FLAG,STRING
LONGLIST_FLAG,STRING
FORMAT_TYPE,STRING
MAXIMUM_SIZE,NUMERIC
ALPHANUMERIC_ALLOWED_FLAG,STRING
UPPERCASE_ONLY_FLAG,STRING
NUMERIC_MODE_ENABLED_FLAG,STRING
DESCRIPTION,STRING
DEPENDANT_DEFAULT_VALUE,STRING
DEPENDANT_DEFAULT_MEANING,STRING
PARENT_FLEX_VALUE_SET_ID,NUMERIC
MINIMUM_VALUE,STRING
MAXIMUM_VALUE,STRING
NUMBER_PRECISION,NUMERIC
