SourceField,DataType
ORGANIZATION_ID,NUMERIC
BUSINESS_GROUP_ID,NUMERIC
COST_ALLOCATION_KEYFLEX_ID,NUMERIC
LOCATION_ID,NUMERIC
SOFT_CODING_KEYFLEX_ID,NUMERIC
DATE_FROM,DATETIME
NAME,STRING
DATE_TO,DATETIME
INTERNAL_EXTERNAL_FLAG,STRING
INTERNAL_ADDRESS_LINE,STRING
TYPE,STRING
REQUEST_ID,NUMERIC
PROGRAM_APPLICATION_ID,NUMERIC
PROGRAM_ID,NUMERIC
PROGRAM_UPDATE_DATE,DATETIME
ATTRIBUTE_CATEGORY,STRING
ATTRIBUTE1,STRING
ATTRIBUTE2,STRING
ATTRIBUTE3,STRING
ATTRIBUTE4,STRING
ATTRIBUTE5,STRING
ATTRIBUTE6,STRING
ATTRIBUTE7,STRING
ATTRIBUTE8,STRING
ATTRIBUTE9,STRING
ATTRIBUTE10,STRING
ATTRIBUTE11,STRING
ATTRIBUTE12,STRING
ATTRIBUTE13,STRING
ATTRIBUTE14,STRING
ATTRIBUTE15,STRING
ATTRIBUTE16,STRING
ATTRIBUTE17,STRING
ATTRIBUTE18,STRING
ATTRIBUTE19,STRING
ATTRIBUTE20,STRING
LAST_UPDATE_DATE,DATETIME
LAST_UPDATED_BY,NUMERIC
LAST_UPDATE_LOGIN,NUMERIC
CREATED_BY,NUMERIC
CREATION_DATE,DATETIME
OBJECT_VERSION_NUMBER,NUMERIC
PARTY_ID,NUMERIC
COMMENTS,STRING
ATTRIBUTE21,STRING
ATTRIBUTE22,STRING
ATTRIBUTE23,STRING
ATTRIBUTE24,STRING
ATTRIBUTE25,STRING
ATTRIBUTE26,STRING
ATTRIBUTE27,STRING
ATTRIBUTE28,STRING
ATTRIBUTE29,STRING
ATTRIBUTE30,STRING
