SourceField,DataType
LOCATION_ID,NUMERIC
ENTERED_BY,NUMERIC
LOCATION_CODE,STRING
ADDRESS_LINE_1,STRING
ADDRESS_LINE_2,STRING
ADDRESS_LINE_3,STRING
BILL_TO_SITE_FLAG,STRING
COUNTRY,STRING
DESCRIPTION,STRING
DESIGNATED_RECEIVER_ID,NUMERIC
IN_ORGANIZATION_FLAG,STRING
INACTIVE_DATE,DATETIME
INVENTORY_ORGANIZATION_ID,NUMERIC
OFFICE_SITE_FLAG,STRING
POSTAL_CODE,STRING
RECEIVING_SITE_FLAG,STRING
REGION_1,STRING
REGION_2,STRING
REGION_3,STRING
SHIP_TO_LOCATION_ID,NUMERIC
SHIP_TO_SITE_FLAG,STRING
STYLE,STRING
TAX_NAME,STRING
TELEPHONE_NUMBER_1,STRING
TELEPHONE_NUMBER_2,STRING
TELEPHONE_NUMBER_3,STRING
TOWN_OR_CITY,STRING
ATTRIBUTE_CATEGORY,STRING
ATTRIBUTE1,STRING
ATTRIBUTE2,STRING
ATTRIBUTE3,STRING
ATTRIBUTE4,STRING
ATTRIBUTE5,STRING
ATTRIBUTE6,STRING
ATTRIBUTE7,STRING
ATTRIBUTE8,STRING
ATTRIBUTE9,STRING
ATTRIBUTE10,STRING
ATTRIBUTE11,STRING
ATTRIBUTE12,STRING
ATTRIBUTE13,STRING
ATTRIBUTE14,STRING
ATTRIBUTE15,STRING
ATTRIBUTE16,STRING
ATTRIBUTE17,STRING
ATTRIBUTE18,STRING
ATTRIBUTE19,STRING
ATTRIBUTE20,STRING
LAST_UPDATE_DATE,DATETIME
LAST_UPDATED_BY,NUMERIC
LAST_UPDATE_LOGIN,NUMERIC
CREATED_BY,NUMERIC
CREATION_DATE,DATETIME
OBJECT_VERSION_NUMBER,NUMERIC
TP_HEADER_ID,NUMERIC
ECE_TP_LOCATION_CODE,STRING
GLOBAL_ATTRIBUTE_CATEGORY,STRING
GLOBAL_ATTRIBUTE1,STRING
GLOBAL_ATTRIBUTE2,STRING
GLOBAL_ATTRIBUTE3,STRING
GLOBAL_ATTRIBUTE4,STRING
GLOBAL_ATTRIBUTE5,STRING
GLOBAL_ATTRIBUTE6,STRING
GLOBAL_ATTRIBUTE7,STRING
GLOBAL_ATTRIBUTE8,STRING
GLOBAL_ATTRIBUTE9,STRING
GLOBAL_ATTRIBUTE10,STRING
GLOBAL_ATTRIBUTE11,STRING
GLOBAL_ATTRIBUTE12,STRING
GLOBAL_ATTRIBUTE13,STRING
GLOBAL_ATTRIBUTE14,STRING
GLOBAL_ATTRIBUTE15,STRING
GLOBAL_ATTRIBUTE16,STRING
GLOBAL_ATTRIBUTE17,STRING
GLOBAL_ATTRIBUTE18,STRING
GLOBAL_ATTRIBUTE19,STRING
GLOBAL_ATTRIBUTE20,STRING
BUSINESS_GROUP_ID,NUMERIC
LOC_INFORMATION13,STRING
LOC_INFORMATION14,STRING
LOC_INFORMATION15,STRING
LOC_INFORMATION16,STRING
LOC_INFORMATION17,STRING
LOC_INFORMATION18,STRING
LOC_INFORMATION19,STRING
LOC_INFORMATION20,STRING
DERIVED_LOCALE,STRING
LEGAL_ADDRESS_FLAG,STRING
TIMEZONE_CODE,STRING
